Lipid,Class,DOD100-M1-WT-cerebellum10x_01202023,DOD99-M2-WT-cerebellum10x_01202023,M5FAD173-WT-Cerebellum10x_01192023,DOD100-M1-WT-diencephalon10x_01202023,DOD99-M2-WT-diencephalon10x_01202023,M5FAD173-WT-Diencephalon10x_01192023,10xBlank_01202023,Title1,Title2,Title,length1,length2,Blank_name
(11Z)-eicoseneoylcarnitine,CAR,1410061.365234375,1453789.9145507812,1548320.9340820312,1300758.2841796875,1356376.1943359375,1553075.8388671875,1770335.1005859375,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
"(11Z,14Z)-eicosadienoylcarnitine",CAR,1408351.625,1448199.4814453125,1567602.6728515625,1332756.2084960938,1313436.7885742188,1536662.2856445312,1833013.6752929688,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
"(13Z,16Z)-docosadienoylcarnitine",CAR,1334500.4373779297,1392547.188293457,2235124.575866699,1284612.1057128906,1277668.0494384766,1509455.984741211,1846519.2565917969,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",CAR,2215148.1447753906,2234323.5102539062,2256080.6622314453,3004035.1204833984,2011026.9294433594,2188599.0122070312,2077579.7651367188,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
"(5Z,8Z)-tetradecadienoylcarnitine",CAR,97017264.08886719,62660995.83984375,69671289.73339844,15439015.444335938,37982357.49316406,18655737.474609375,1785924.2541503906,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
"(7Z,10Z)-hexadecadienoylcarnitine",CAR,1807297.3984375,1819888.0288085938,2113105.662841797,1685194.9013671875,1660596.78125,1881966.8132324219,2578376.0740966797,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",CAR,1186263.4771728516,1201712.4168701172,1592147.222290039,1148186.4895019531,1091271.1774902344,1370722.9538574219,1684194.2908935547,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
(9Z)-3-hydroxyoctadecenoylcarnitine,CAR,14309309.020996094,14130034.278320312,13802748.841796875,25626555.60546875,21029996.708984375,8047711.1728515625,2395006.220703125,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",CAR,5710127.011474609,5824302.9326171875,5732824.095458984,8561014.840332031,7636011.399658203,4199385.319580078,2817110.0759277344,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",CAR,13681185.669433594,13360938.161621094,13065989.963378906,24808766.91748047,19723779.49658203,7436995.044921875,2155070.9477539062,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
1-O-behenoyl-Cer(d18:1/16:0),Cer,36516.56300354004,35957.262645721436,34225.282024383545,41078.122703552246,41187.70300292969,27728.001831054688,22294.401321411133,Genotype: WT | Brain Region: cerebellum,Genotype: WT | Brain Region: diencephalon,Genotype: WT__Brain Region: cerebellum vs Genotype: WT__Brain Region: diencephalonBlank1,3,3,10xBlank_01202023
