lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M3-5xFAD-cerebellum10x_01202023,DOD99-M1-5xFAD-cerebellum10x_01202023,M1FAD173-5xFAD-Cerebellum10x_01182023,M2FAD173-5xFAD-Cerebellum10x_01192023,DOD100-M2-5xFAD-diencephalon10x_01202023,DOD100-M3-5xFAD-diencephalon10x_01202023,DOD99-M1-5xFAD-diencephalon10x_01202023,M1FAD173-5xFAD-Diencephalon10x_01182023,M2FAD173-5xFAD-Diencephalon10x_01192023,10xBlank_01202023
22:3 Campesteryl ester,-3.757662252047482,10.382132831742535,51.47095524511315,7.266421105752232e-13,8.4366014676085e-10,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,CE,128654.78890991212,235293.97583007812,123301.788772583,32028.121990203857,29257.102043151855,4006962.4003601074,2313333.353652954,1145395.0406341553,463608.8536758423,215819.47241592407,78485.72638702393
Lyso_PE(18:4),3.7194735436214996,11.952392478267427,50.609234611778334,1.127134464610354e-12,8.4366014676085e-10,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,PE,130497.98791503906,87590.98681640625,47646.68365478515,113600.64776611328,23387747.104492188,128090.62939453124,98033.467529296875,906425.1446533204,39787.3427734375,602193.0234375,48831.60382080078
22:2 Campesteryl ester,-3.6172498670514264,10.152132106957552,48.32050141357104,3.619482314347966e-12,1.806121674859635e-9,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,CE,100209.36726379396,197735.27307128903,113135.72926330566,48554.28336715698,58030.14366531372,3415261.498123169,1941418.5549240112,950963.794708252,341881.02141952515,226201.93586730957,80835.36569976807
PE (18:4),3.135223430414277,9.86544427345319,37.91232037213922,7.399646859889036e-10,2.769317837313472e-7,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,PE,80714.68505859375,65658.66418457031,53452.603942871094,61294.06396484375,5058780.06439209,90255.46691894533,74922.22467041016,232366.83721923828,41379.38258361816,163642.49169921875,71615.00396728516
"22:1 Cholesteryl ester, 20:0 Stigmasteryl ester, 20:1 Sitosteryl ester",-2.9286939811089394,10.549754803802466,33.678745789133245,6.5007097011875955e-9,1.946312484535566e-6,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,CE,401505.6079406738,279027.41773986816,202002.13383483887,46140.94332122803,56842.763942718506,4263195.970428467,2450399.517211914,1237139.4935913086,480094.97539901733,260850.21912384033,78654.8657836914
"22:0 Cholesteryl ester, 20:0 Sitosteryl ester",-2.9057339256501917,10.535646183062928,33.217590777321675,8.24017220915417e-9,2.055922966183965e-6,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,CE,395209.9066314697,293992.34017944336,204615.7733001709,41977.76301956177,56235.90398788452,4193570.23059082,2436225.9285354614,1227538.8339004517,487762.71195983887,245699.79766082764,79871.64535522461
"Cholesteryl 11-hydroperoxy-eicosatetraenoate, 22:2 Cholesteryl ester, 20:1 Stigmasteryl ester, 20:2 Sitosteryl ester",-2.8421156985700398,10.566033437245164,31.950291315753926,1.5816865114002137e-8,3.382549582237314e-6,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,CE,418094.6909484863,291328.83966064453,229211.5368499756,50162.80352783203,61692.403953552246,4335094.217636108,2424601.445907593,1214155.489013672,473240.09295654297,260224.8973274231,95162.20687866212
Cer(d18:2/22:0),2.613705077963116,13.460249473973798,27.5343927143468,1.543256716071653e-7,2.887819129949081e-5,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,Cer,36221751.033203125,3476697.2163085938,7534093.382080078,1342229.7197265625,1960887.0690917969,1686247.7287597656,1622181.5764160156,1942803.490234375,1863860.666015625,2951488.4926757812,284826.11853027344
PS (32:5),-2.479203684480466,7.499881997225941,25.038240648622377,5.620448254209839e-7,9.348678929502366e-5,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,PS,20535.861328125,28695.981952667236,21116.581661224365,47470.30313110352,48257.66375732422,34273.522399902344,65589.324462890625,26214.4017868042,45109.22280883789,718289.7510681152,43834.64358520508
Cer(d18:2/14:0),2.4507292376254908,10.284439189359311,24.521739003869698,7.347614648173949e-7,9.98584654703522e-5,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,Cer,3884935.4225616455,161394.81140899658,1033011.22555542,216766.83670806885,195495.1930770874,191693.1530609131,273356.99394226074,212708.6515045166,288417.4379119873,270776.73208618164,40619.60283660889
"ecdysone palmitate, 22:3 Cholesteryl ester, 20:2 Stigmasteryl ester, 20:3 Sitosteryl ester",-2.451482609597532,10.676397569908524,24.535408796582487,7.295671936654922e-7,9.98584654703522e-5,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,CE,509853.19427490234,395252.35021972656,341752.60235595703,94177.84733581544,93625.94639587402,4266531.996337891,2546012.7651367188,1304348.4512939453,547096.079498291,299023.34020996094,186491.7528076172
Lyso_PE(19:0),2.4416555036586054,7.5079487901703,24.356723627346355,8.004686610849875e-7,9.98584654703522e-5,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,PE,32638.6025390625,36080.06256103515,31262.64222717285,9018.200611114502,832296.9360809326,41758.44305419922,37557.742584228516,59140.383697509766,2011.3601570129397,35685.502532958984,40591.5235748291
Cer(d18:1/22:0),2.029792953202397,9.312145478976303,17.34939035613934,3.109980177961065e-5,0.00332545737600551,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,Cer,1678337.54813385,350475.44132995605,412625.9516067505,118941.70894622804,150862.49167633057,130642.1097984314,147049.75035858154,207270.29676818848,134136.3509559631,175466.37070465088,49472.7434463501
CerP(d18:1/16:0),2.0342671376376233,9.373512358222692,17.420598874341525,2.9956194463868398e-5,0.00332545737600551,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,Cer,1734354.9717330933,394428.32166671753,426700.7503814697,127977.84979629517,154259.330619812,134544.67080688477,152515.37224578857,215635.6561279297,142268.0097846985,181937.4930496216,51915.16375732422
20:0 Campesteryl ester,-2.0149447478990186,10.893197873773127,17.114055474026827,3.520083277766709e-5,0.0034893143967019776,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,CE,679605.6884765625,570926.6004638672,540973.541015625,174167.41290283203,173933.0126953125,4539166.369384766,2738800.2377929688,1488004.1958007812,631150.6455078125,367630.4270629883,317584.8635253906
22:5 Cholesteryl ester,-2.008000298289828,10.90918414145864,17.00436712949886,3.729394144771653e-5,0.0034893143967019776,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,CE,681358.92822265625,574075.40087890625,548872.98046875,182482.6729736328,182210.3336181641,4551026.404541016,2730467.060913086,1502246.861694336,666926.9046630859,385240.2494506836,343852.4637451172
22:6 Cholesteryl ester,-1.9858144032020093,10.888133844920038,16.655812018259894,4.48127905426464e-5,0.0039461616142553915,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,CE,689877.57080078125,583864.720703125,548383.4206542969,173364.03149414062,170276.5321044922,4458070.431640625,2715212.2209472656,1491101.0864257812,645550.1623535156,377736.9682617187,318345.9444580078
"22:4 Cholesteryl ester, 20:3 Stigmasteryl ester",-1.9439362234044169,10.934491085049821,16.00574894325109,6.315043149592843e-5,0.005252010886078048,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,CE,717614.01171875,602161.724609375,566763.3215332031,203169.11529541016,193636.29321289065,4550953.7470703125,2741932.9650878906,1526239.79296875,680709.7716064453,397991.8699951172,370215.2233886719
Lyso_PE(18:3),1.9210065207585703,7.311442326740092,15.653587017830091,7.606816453671249e-5,0.005993370647971505,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,PE,38985.44259643555,39686.52282714844,30993.122283935547,20712.301467895508,630635.526260376,47031.46322631836,45012.22296142578,57930.7038269043,19605.181365966797,35611.662506103516,40781.843017578125
Cholesteryl nitrolinoleate,-1.9142372216694694,10.876441337098349,15.551050340756774,8.030701918006329e-5,0.006010980385627736,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,CE,676317.4758300781,688197.0075683594,549666.6363525391,168850.0728149414,164718.53118896484,4343857.308349609,2643083.231811523,1497477.1091308594,648281.0699462891,371760.6458129883,321258.66369628906
PG (32:5),-1.8992453165981842,7.715674294628397,15.32304302493958,9.060455303893022e-5,0.006458810280918026,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,PG,51579.42388916016,53168.24328613281,54014.363830566406,49416.28317260742,50647.60369873047,56995.0637512207,66687.0654296875,55179.38348388672,45016.043365478516,738903.2070922852,52170.14404296875
20:1 Campesteryl ester,-1.8812812372260135,10.840592040968454,15.052707581402501,1.0455016935337287e-4,0.007114163796454509,5,5,Genotype_ 5xFAD | Brain Region_ cerebellum,Genotype_ 5xFAD | Brain Region_ diencephalon,CE,676347.58544921875,688799.9445800781,533536.2581787109,168958.17156982422,165176.45068359375,4235422.83215332,2598765.4096679688,1407519.564819336,627173.1862182617,362508.36560058594,310572.0031738281
