lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,DOD100-M2-5xFAD-cortex10x_01202023,DOD99-M1-5xFAD-cortex10x_01202023,M1FAD173-5xFAD-Cortex10x_01182023,M2FAD173-5xFAD-Cortex10x_01192023,DOD100-M2-5xFAD-diencephalon10x_01202023,DOD100-M3-5xFAD-diencephalon10x_01202023,DOD99-M1-5xFAD-diencephalon10x_01202023,M1FAD173-5xFAD-Diencephalon10x_01182023,M2FAD173-5xFAD-Diencephalon10x_01192023,10xBlank_01202023
22:2 Campesteryl ester,-2.1509723340064864,10.47942036438863,18.680203413648997,1.5457907389431823e-5,0.011570243680989719,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,CE,560526.3181762695,350653.6643676758,191685.95164108276,109390.46683120728,3415261.498123169,1941418.5549240112,950963.794708252,341881.02141952515,226201.93586730957,80835.36569976807
22:3 Campesteryl ester,-2.197545072533262,10.712409255669304,19.417170486500254,1.0505825593824876e-5,0.011570243680989719,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,CE,665137.4459533691,401060.3264312744,213215.67528152463,110209.54704284668,4006962.4003601074,2313333.353652954,1145395.0406341553,463608.8536758423,215819.47241592407,78485.72638702393
"22:0 Cholesteryl ester, 20:0 Sitosteryl ester",-1.9868472972401217,10.822161087495923,16.16822605938069,5.795818138875131e-5,0.018849809961516705,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,CE,760646.4669799805,476102.9566268921,238534.7177581787,214955.03761291504,4193570.23059082,2436225.9285354614,1227538.8339004517,487762.71195983887,245699.79766082764,79871.64535522461
"22:1 Cholesteryl ester, 20:0 Stigmasteryl ester, 20:1 Sitosteryl ester",-2.0273887093539282,10.83226536739399,16.776072681153888,4.206032797503835e-5,0.018849809961516705,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,CE,759511.5723876953,460364.1280517578,238796.4598121643,205046.51355743408,4263195.970428467,2450399.517211914,1237139.4935913086,480094.97539901733,260850.21912384033,78654.8657836914
"Cholesteryl 11-hydroperoxy-eicosatetraenoate, 22:2 Cholesteryl ester, 20:1 Stigmasteryl ester, 20:2 Sitosteryl ester",-1.97630137612126,10.846357304300764,16.011508347408377,6.295861710593423e-5,0.018849809961516705,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,CE,785230.433883667,486303.7544708252,242612.57849502563,212423.1340522766,4335094.217636108,2424601.445907593,1214155.489013672,473240.09295654297,260224.8973274231,95162.20687866212
TAG(58:8)_FA 20:0,1.7469661375182337,6.853267389535961,13.854306143751558,1.9754354391269866e-4,0.04928711420621831,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,TAG,34199.32277679443,347220.5799560547,42440.74317932129,25080.001861572266,28455.601776123047,35273.68272399902,40271.56262207031,36963.423263549805,24750.1417388916,27536.982162475582
"ecdysone palmitate, 22:3 Cholesteryl ester, 20:2 Stigmasteryl ester, 20:3 Sitosteryl ester",-1.7646659880568527,10.94165653236248,12.993505052945693,3.1257330634606724e-4,0.06684603422858038,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,CE,886596.4566040039,609977.1625366211,312567.95877075195,252679.2993774414,4266531.996337891,2546012.7651367188,1304348.4512939453,547096.079498291,299023.34020996094,186491.7528076172
PS (32:5),-1.7398346341925932,7.835618948118556,12.655437624533079,3.74474929201119e-4,0.0700736211267594,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,PS,30044.382289886475,21637.281494140625,142611.30975341797,50807.263427734375,34273.522399902344,65589.324462890625,26214.4017868042,45109.22280883789,718289.7510681152,43834.64358520508
20:0 Campesteryl ester,-1.5593353312754934,11.124272196026004,10.311661801009905,0.0013219219329237565,0.18388429581251514,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,CE,1051954.5400390625,802405.31298828125,404391.10778808594,333963.88360595703,4539166.369384766,2738800.2377929688,1488004.1958007812,631150.6455078125,367630.4270629883,317584.8635253906
22:5 Cholesteryl ester,-1.5431169562739724,11.142369574080526,10.110809052217519,0.0014740224113227666,0.18388429581251514,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,CE,1072980.8911132812,829280.7783203125,412156.6676635742,328844.22247314453,4551026.404541016,2730467.060913086,1502246.861694336,666926.9046630859,385240.2494506836,343852.4637451172
22:6 Cholesteryl ester,-1.5498270452432896,11.11575154820426,10.193707571190316,0.001409206930977282,0.18388429581251514,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,CE,1064576.5604248047,808378.1989746094,398871.7492675781,318702.20233154297,4458070.431640625,2715212.2209472656,1491101.0864257812,645550.1623535156,377736.9682617187,318345.9444580078
Cholesteryl nitrolinoleate,-1.5472836702047477,11.09028681346091,10.162251635745633,0.0014334544427434478,0.18388429581251514,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,CE,1035345.849609375,787725.51953125,392853.3888854981,329565.4995727539,4343857.308349609,2643083.231811523,1497477.1091308594,648281.0699462891,371760.6458129883,321258.66369628906
20:1 Campesteryl ester,-1.519252763054141,11.05380634773158,9.818285264453152,0.001727853587677649,0.19843357906838494,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,CE,1035268.6345214844,770815.9124755859,390393.90771484375,324425.34533691406,4235422.83215332,2598765.4096679688,1407519.564819336,627173.1862182617,362508.36560058594,310572.0031738281
"22:4 Cholesteryl ester, 20:3 Stigmasteryl ester",-1.5084454037452568,11.162526525040969,9.68700451485347,0.0018557582544805537,0.19843357906838494,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,CE,1093322.7568359375,861990.7429199219,423409.32794189453,346047.02673339844,4550953.7470703125,2741932.9650878906,1526239.79296875,680709.7716064453,397991.8699951172,370215.2233886719
PG (32:5),-1.4300715861497793,8.009621361984935,8.757247483557876,0.003083741113836071,0.30775736316083985,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,PG,64834.60479736328,61361.8037109375,141260.64776611328,55899.803955078125,56995.0637512207,66687.0654296875,55179.38348388672,45016.043365478516,738903.2070922852,52170.14404296875
"lanosteryl oleate, 20:2 Campesteryl ester",-1.3141406318299547,10.82689608574947,7.457089165225625,0.006318710023305082,0.5911943065554817,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,CE,916787.4792480468,753635.3916015625,374125.9454345703,316658.740234375,3263123.1767578125,2069157.8939208984,1236304.8525390625,569448.6436157227,348855.00384521484,399176.990234375
"(11Z,14Z)-eicosadienoylcarnitine",-0.11219216372927755,11.422355995683102,0.05781532495893771,0.8099828349899428,0.999895263293433,4,5,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ 5xFAD | Brain Region_ diencephalon,CAR,1429124.1762695312,1350856.4809570312,1431788.9677734375,1357653.3920898438,1490627.2612304688,1620460.4702148438,1434255.701171875,1426995.7827148438,1442118.8286132812,1833013.6752929688
