lipid,logFC,logCPM,LR,PValue,FDR,type,DOD93_F4_Female_5xFAD_diencephalon,DOD94_F4_Female_5xFAD_diencephalon,FAD185_M1_Male_5xFAD_diencephalon,FAD185_M3_Male_5xFAD_diencephalon,FAD189_M1_Male_5xFAD_diencephalon,FAD189_M2_Male_5xFAD_diencephalon,DOD94_F3_Female_WT_diencephalon,FAD184_F3_Female_WT_diencephalon,FAD184_F4_Female_WT_diencephalon,FAD185_M4_Male_WT_diencephalon,FAD189_M3_Male_WT_diencephalon,Blank_Blank_Blank_Blank_Blank
LPE(20:2),6.121959253480835,4.939981079576084,186.57324809246845,1.7797211857040348e-42,5.6897686306957994e-39,PE,3022.000156402588,1920.2201385498047,226003.17764282227,729138.6013793945,430594.1723632813,12940.740852355955,2356.520168304444,2146.020137786865,2335.8601570129395,2343.480167388916,2343.980155944824,2000.340129852295
DG(34:0)_C16:0,4.652909485732921,4.369713708199519,124.77470027120307,5.701398385081752e-29,9.11368531855318e-26,DAG,6597.920379638672,118578.6499786377,73266.00559997559,95866.02730560304,144490.35014343262,414169.4259567261,2639.440185546875,2640.200183868408,2658.6001930236816,8512.060558319092,5086.060325622559,3417.0002250671387
DG(35:6)_C16:0,4.059602683349546,3.2012707037582215,100.87386236675847,9.803165603113792e-24,1.0446906811051599e-20,DAG,2627.080173492432,103629.78706359863,3085.680233001709,5064.200336456299,3712.300239562988,222648.13648986816,2628.220165252685,2629.100173950196,2625.400177001953,3154.3002281188965,2700.920185089112,2623.120189666748
LPE(20:1),3.964351268938702,2.99495319284979,97.12661534328956,6.503282259495419e-23,5.197748345901714e-20,PE,2831.940193176269,2187.400154113769,150227.73001861572,110983.9871673584,72857.06577301025,9977.500694274902,2555.080150604248,2524.1201705932617,2451.600170135498,2519.080181121826,2651.940196990967,2031.0601501464844
LPE(20:3),3.718938540525781,2.9809651468727663,87.63168057317318,7.885149679144828e-21,5.041764704845203e-18,PE,11133.740592956545,3423.660217285156,152708.03170776367,103787.7872505188,54969.74362564087,9953.24084854126,3469.9802780151367,2223.3801498413086,2875.400218963623,3391.1402893066406,2833.9001808166504,2059.740146636963
LPE(20:0),3.364745905204594,2.2464827372370926,74.30836599609582,6.681973616023426e-18,3.560378275071149e-15,PE,2368.540168762207,2087.16015625,89018.14569473267,62791.22442626953,34505.16239929199,8640.460594177246,2223.6801376342773,2188.1601524353027,2066.400131225586,2259.120162963867,2313.480182647705,2168.840148925781
LPE(20:4),2.9986401576764896,3.425914670241032,61.21174893772786,5.125474956076355e-15,2.3408776335108725e-12,PE,57183.864097595215,4831.74027633667,170542.79220581055,113329.72869873048,56389.12446975708,6191.500431060791,17986.90118408203,3161.7402305603027,2841.480209350586,3023.8602333068848,4362.080314636231,2961.640182495117
[TG(56:8)|TG(55:1)]_FA20:4,2.8655018182109884,11.720370769820514,56.63710535039594,5.241342724346196e-14,2.0945715862168486e-11,TAG,523222.7221679688,828797.181640625,6815579.649902344,61964373.32421875,49350677.8203125,19740478.2578125,2807184.543701172,651307.5087890625,674853.5511474609,5220897.544921875,1896033.593017578,159430.49194335938
FA(30:1),-2.598281937072004,7.81634331107478,52.40353043843788,4.519108019135833e-13,1.6052875930196952e-10,FA,188318.89324569705,588636.6999969482,232970.9758605957,91610.24841308594,76421.46682739258,84402.92451477051,2216504.223022461,1184442.4351501465,925839.5753631592,1024594.885559082,398587.3764190674,25251.52146911621
[TG(55:11)|TG(54:4)]_FA18:0,2.5914477325222443,11.307415574781281,47.53129283745396,5.413288173159756e-12,1.730628228959174e-9,TAG,477475.259765625,773485.95751953125,5812282.8251953125,47097884.64453125,36150200.33129883,11861102.490234377,2697522.538330078,877217.20166015625,695008.1892089844,3877553.6137695312,1803795.8386230469,142586.51037597656
[TG(54:6)]_FA18:2,2.5571607445281943,11.76992698617122,46.42848925012379,9.502381675331338e-12,2.761737656003117e-9,TAG,672163.7639160156,869891.51708984375,7462910.816894531,62955374.38867188,50233617.5546875,18335232.76660156,3730279.6740722656,1030976.069580078,905514.2253417968,5947622.3974609375,2410375.92578125,172625.4111328125
[TG(56:7)|TG(55:0)]_FA20:4,2.5400860593902803,12.628484695420203,45.88248034822642,1.255638900885504e-11,3.3452313051091307e-9,TAG,1035321.1730957032,1253931.955078125,13150092.05859375,108169870.19921876,88294050.359375,42866012.47265625,6194123.772949219,1351201.0075683594,1102955.0170898438,12554193.486328123,4719165.932861328,337624.623046875
[TG(58:7)|TG(57:0)]_FA20:4,2.5164595407785213,8.143930207717013,45.12997751496914,1.8438123994454445e-11,4.534360185405451e-9,TAG,175251.79272460938,205692.61584472656,1004728.8587646484,4355432.104003906,3790415.492675781,1616543.579711914,224826.7969970703,127190.60919189452,175641.1312866211,381427.88830566406,249859.7368774414,40370.902770996094
[TG(54:5)]_FA18:1,2.5075387802994187,11.608841820983555,44.84760004103731,2.1298175375906807e-11,4.7260176307722514e-9,TAG,625359.5280761719,917541.071044922,6368749.029785156,55766738.40234375,46938048.02734375,14474098.505859377,3325577.0935058594,998358.167236328,788676.44189453125,5603951.59765625,2220438.790283203,124003.70825195312
[TG(54:7)|TG(53:0)]_FA18:3,2.5050468879850083,11.756309757036838,44.76869235171141,2.2173995765274876e-11,4.7260176307722514e-9,TAG,699827.73193359375,940882.544921875,8145893.904785156,60382074.528808594,50936133.54296875,17367123.23046875,3847611.8559570312,1055229.2587890625,965784.68896484375,5938413.4033203125,2528923.203613281,209595.373046875
[TG(56:9)|TG(55:2)]_FA20:4,2.4631501865610117,8.292883129110514,43.448643949086545,4.352331514022226e-11,8.69650240645566e-9,TAG,93511.70654296876,119901.66845703124,710774.0825805664,4966659.476318359,4864657.1708984375,1651173.499267578,437308.7126464844,105789.96746826172,118323.04913330078,432843.5347900391,219826.7360229492,48443.04309082031
