lipid,logFC,logCPM,LR,PValue,FDR,type,DOD93_F4_Female_5xFAD_diencephalon,DOD94_F4_Female_5xFAD_diencephalon,DOD94_F3_Female_WT_diencephalon,FAD184_F3_Female_WT_diencephalon,FAD184_F4_Female_WT_diencephalon,Blank_Blank_Blank_Blank_Blank
DG(34:0)_C16:0,4.546987713855604,3.434967420308747,136.02481904391317,1.970519441538339e-31,6.29975065459807e-28,DAG,6597.920379638672,118578.6499786377,2639.440185546875,2640.200183868408,2658.6001930236816,3417.0002250671387
DG(35:6)_C16:0,4.316188687470029,3.2035124866286195,124.78805617360055,5.663153159195322e-29,9.052550324973722e-26,DAG,2627.080173492432,103629.78706359863,2628.220165252685,2629.100173950196,2625.400177001953,2623.120189666748
[TG(52:6)]_FA22:5,3.3950013064137017,9.024693069680136,82.60354747719248,1.0027693876624749e-19,1.0686179107856441e-16,TAG,4605061.143859863,669193.8102416992,116526.54931640624,489546.51330566406,183918.95449829104,74801.38491821289
[TG(52:7)|TG(51:0)]_FA22:6,3.331336974081578,8.857050022868549,79.8634082491044,4.0120836508232316e-19,3.206657857920468e-16,TAG,3993991.215698242,678522.8654785156,118927.7890625,431782.7353515625,181257.81146240237,70798.38507080078
DG(37:3)_C16:0,3.2215667599973408,9.468402307172811,75.20796099296422,4.236554305286101e-18,2.3081422393234655e-15,DAG,5661513.271759033,1538141.663131714,650873.919631958,530278.8203392029,33508.562324523926,40108.38299560547
FA(40:6),3.2205137649817486,10.16831144242463,75.16405180859147,4.331827787282074e-18,2.3081422393234655e-15,FA,10212013.435913086,1443341.0762557983,98405.02820587158,1635131.960521698,199110.4778251648,13028.760856628418
[TG(43:4)]_FA14:0,3.1103708720136867,5.680313771135071,70.57357683349119,4.4341649389313864e-17,2.0251464728233774e-14,TAG,445725.4569625855,41004.462890625,26912.501922607426,33308.04235839844,30875.48175048828,20904.101501464844
FA(18:3),-3.490084495674792,7.457851190273789,67.56444448881757,2.0391186257125295e-16,8.148827808003697e-14,FA,46584.0634765625,60583.84423828125,385131.8278808594,185322.2326660156,1340801.259765625,165620.63159179688
[TG(54:10)|TG(53:3)]_FA22:6,2.9825240720897725,8.262698496011634,65.38871807118994,6.14899038948744e-16,2.1842580305768162e-13,TAG,2451438.87399292,567742.1510314941,78263.96543884277,401728.8061981201,115273.60787963869,32475.162078857426
[TG(54:9)|TG(53:2)]_FA22:5,2.867339567702344,8.026484461139187,60.82680478785187,6.232351791071061e-15,1.992482867605418e-12,TAG,2020860.1897583008,510316.31259155273,71786.64440917969,361401.7061767578,106893.92752075195,29133.72216796875
DG(O-38:8)|DG(36:1)_C18:2,-3.241601628788603,4.836893218264022,59.818518907221346,1.040199637837148e-14,3.023198401968511e-12,DAG,3236.480224609375,3229.9402389526367,30725.102615356445,3232.700241088867,64114.60453796387,166867.05351257324
FA(18:0),-3.2142246067263613,8.665899076572707,59.06349190877518,1.5266558735000258e-14,4.0672656896496524e-12,FA,68482.8251953125,259828.10064697263,2224399.793029785,784958.4196166992,1641434.0122070312,142626.45068359375
FA(17:2),-3.170630299732958,8.403629964352094,57.74549093721726,2.983231243851243e-14,7.336454066609556e-12,FA,146007.62896728516,126342.54852294922,1265070.9034423828,278741.7575683594,2386183.751464844,116827.54858398438
DG(36:8)|DG(35:1)_C16:1,2.7794067980035,12.595274630019587,57.42423719710132,3.512520584474892e-14,8.021091648975878e-12,DAG,1905404.0719184875,1481716.6491775513,777048.2832336426,2921.0202102661133,2925.180202484131,47492099.30102539
