lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,Transition,type,AK0161-1x_p1-b2,AK0170-1x_p1-b4,AK0139-1x_p1-b6,AK0200-1x_p1-b8,AK0202-2x_p1-c5,AK0204-1x_p1-c1,AK0174-1x_p1-b1,AK0145-1x_p1-b3,AK0175-2x_p1-c3,AK0164-1x_p1-b5,AK0141-1x_p1-b9,Blank-1x_p1 -a2
C20:1,5.885538902829898,7.575369612796239,238.94827623556534,6.668533010897863e-54,1.0009468049357693e-50,6,5,H KO,H WT,309.3 -> 309.3,FFA,3387301.23913207,7954.94052886892,7964.54058074911,8603.7806243895,7946.74052429172,7940.50055694503,7964.84051895023,7976.2805900565,7953.04055786062,11042.1807518017,7953.26052856393,7982.56058883549
Cer(d20:0/26:0),2.269501249055337,7.407351718371775,50.8040349187504,1.0206367968516498e-12,7.659879160371632e-10,6,5,H KO,H WT,708.7 -> 292.4,CER,21008.9413185119,64888.2835158666,122976.509822893,897382.420497895,972553.692996428,22905.541801447,8932.3805961594,12331.6007614135,244944.814976233,41083.2427864527,13559.8808593829,3579.9602546693
C18:4,2.010711575294737,9.527069331329198,40.77258006489137,1.7101591892534938e-10,8.556496476898314e-8,6,5,H KO,H WT,275.3 -> 275.3,FFA,405599.845886232,285829.51916498,2894270.99780178,5712751.57669066,372092.92919934,323099.704040461,571434.277465964,404067.07208252,318459.940124605,266600.918853739,330942.002258292,127843.589340206
C18:2,1.9325118810506223,11.459948455852718,37.90648699007578,7.421805074183902e-10,2.7850323540875094e-7,6,5,H KO,H WT,279.3 -> 279.3,FFA,1749622.04837011,1030637.57336401,30382811.8508301,3706070.33288571,1180134.90665055,1968676.15942486,2530091.04992743,2159391.64373762,1219379.92291274,774634.738770022,1423201.86364764,191511.093414292
Cer(t18:0/26:0(2OH)),1.8272991104231648,5.662520380580436,34.17335184831245,5.041461510534373e-9,1.5134467454624186e-6,6,5,H KO,H WT,712.7 -> 282.4,CER,12692.7809867845,30666.9022064203,10586.8007431033,225540.096862293,276953.33256913,15254.4610900875,5092.1403427123,7124.7204856821,84920.7845993023,20583.5214691121,5493.90037155151,3491.1802482608
C20:0,1.6915349120997965,4.035381976885045,29.583132602715267,5.3569078452349455e-8,1.3401197792829422e-5,6,5,H KO,H WT,311.3 -> 311.3,FFA,129144.510295947,7959.20050430292,7966.26053619351,7964.3405456538,7952.04052734332,7947.50057601942,7970.80055236772,7977.6005783074,7956.64055633482,7975.58057785029,7961.52051162652,7982.38060760419
C24:5,1.3846425567684113,11.736953670275383,20.280491905985407,6.687902512631819e-6,0.0014340773816371943,6,5,H KO,H WT,353.3 -> 353.3,FFA,3050610.21774339,1810146.64462365,28005625.031128,4780553.71636956,1804504.92852799,2821938.8687128,3056002.04570059,3108907.9731445,1619711.47778208,1778013.4094549,3457478.72500564,505308.332206672
C20:4,1.113196884538084,6.302921036325544,13.339638129466039,2.598544888124772e-4,0.043337954189725365,6,5,H KO,H WT,303.3 -> 303.3,FFA,411807.726646499,7953.76056671072,7961.70052719071,557748.587341914,7944.30053710922,7940.78057861243,7965.16057205212,87791.4269142184,7951.84053420962,245836.237342984,7954.08054733273,7981.20063018788
C22:1,1.1169630161756592,10.890312163704492,13.427967788331443,2.47900519768279e-4,0.043337954189725365,6,5,H KO,H WT,337.3 -> 337.3,FFA,1840780.87678886,1091551.63323967,13455427.260315,2633722.08251954,1314462.64010613,2262475.20358261,2300666.79298351,1976226.80560346,1102661.90216013,1072527.11117553,1906310.69055113,229673.779502904
Cer(d18:1/18:1(9Z)),0.9262003468850168,5.143251670421169,9.33371275894751,0.0022497606976697496,0.3376890807202294,6,5,H KO,H WT,564.5 -> 264.3,CER,57608.4438210085,42759.7028999266,22533.6416130151,47108.5232239158,112077.63040535,77266.545104926,44383.5829772734,24061.4817428621,45685.6427764781,19478.6813774062,27100.6819648731,3572.0602531435
