,Class,Transition,Lipid
41,CAR,368.3 -> 85.1,CAR(14:2)
43,CAR,370.3 -> 85.1,CAR(14:1)
45,CAR,372.3 -> 85.1,CAR(14:0)
47,CAR,396.3 -> 85.1,CAR(16:2)
49,CAR,398.3 -> 85.1,CAR(16:1)
51,CAR,400.3 -> 85.1,CAR(16:0)
53,CAR,414.4 -> 85.1,CAR(17:0)
55,CAR,420.3 -> 85.1,CAR(18:4)
59,CAR,424.3 -> 85.1,CAR(18:2)
61,CAR,426.4 -> 85.1,CAR(18:1)
63,CAR,428.4 -> 85.1,CAR(18:0)
65,CAR,448.3 -> 85.1,CAR(20:4)
67,CAR,452.4 -> 85.1,CAR(20:2)
69,CAR,454.4 -> 85.1,CAR(20:1)
71,CAR,456.4 -> 85.1,CAR(20:0)
73,CAR,472.4 -> 85.1,CAR(22:6)
75,CAR,474.4 -> 85.1,CAR(22:5)
77,CAR,476.4 -> 85.1,CAR(22:4)
79,CAR,480.4 -> 85.1,CAR(22:2)
81,CAR,484.4 -> 85.1,CAR(22:0)
83,CAR,540.5 -> 85.1,CAR(26:0)
84,Cer,342.3 -> 264.4,Cer(d18:1/2:0)
85,Cer,422.3 -> 264.4,CerP(d18:1/2:0)
87,Cer,480.4 -> 206.4,"Cer(d14:2(4E,6E)/16:0)"
88,Cer,482.5 -> 264.4,Cer(d18:1/12:0)
91,Cer,506.4 -> 264.4,CerP(d18:1/8:0)
92,Cer,506.5 -> 206.4,"Cer(d14:2(4E,6E)/18:1(9Z))"
93,Cer,508.5 -> 262.4,Cer(d18:2/14:0)
95,Cer,512.5 -> 266.4,Cer(d18:0/14:0)
99,Cer,534.5 -> 206.4,"Cer(d14:2(4E,6E)/20:1(11Z))"
100,Cer,536.5 -> 262.4,Cer(d18:2/16:0)
101,Cer,538.5 -> 264.4,Cer(d18:1/16:0)
102,Cer,540.5 -> 266.4,Cer(d18:0/16:0)
106,Cer,562.4 -> 264.4,CerP(d18:1/12:0)
107,Cer,562.5 -> 262.4,Cer(d18:2/18:1)
108,Cer,564.5 -> 264.4,Cer(d18:1/18:1(9Z))
109,Cer,566.6 -> 264.4,Cer(d18:1/18:0)
110,Cer,568.6 -> 266.4,Cer(d18:0/18:0)
115,Cer,590.5 -> 264.4,CerP(d18:1/14:0)
116,Cer,590.6 -> 262.4,Cer(d18:2/20:1)
117,Cer,592.6 -> 262.4,Cer(d18:2/20:0)
118,Cer,594.6 -> 264.4,Cer(d18:1/20:0)
119,Cer,596.6 -> 266.4,Cer(d18:0/20:0)
123,Cer,618.5 -> 264.4,CerP(d18:1/16:0)
124,Cer,620.5 -> 266.4,CerP(d18:0/16:0)
125,Cer,620.6 -> 262.4,Cer(d18:2/22:0)
126,Cer,622.6 -> 264.4,Cer(d18:1/22:0)
127,Cer,624.6 -> 266.4,Cer(d18:0/22:0)
131,Cer,646.5 -> 264.4,CerP(d18:1/18:0)
133,Cer,648.6 -> 264.4,Cer(d18:1/24:1(15Z))
135,Cer,650.6 -> 264.4,Cer(d18:1/24:0)
136,Cer,652.7 -> 266.4,Cer(d18:0/24:0)
141,Cer,668.7 -> 266.4,Cer(d18:0/h24:0)
143,Cer,674.5 -> 264.4,CerP(d18:1/20:0)
145,Cer,676.7 -> 264.4,Cer(d18:1/26:1(17Z))
147,Cer,678.7 -> 264.4,Cer(d18:1/26:0)
148,Cer,680.7 -> 266.4,Cer(d18:0/26:0)
155,Cer,696.7 -> 266.4,Cer(d18:0/h26:0)
157,Cer,702.6 -> 264.4,CerP(d18:1/22:0)
169,Cer,728.6 -> 264.4,CerP(d18:1/24:1(15Z))
171,Cer,730.6 -> 264.4,CerP(d18:1/24:0)
178,Cer,748.8 -> 264.4,Cer(d18:1/31:0)
181,Cer,756.6 -> 264.4,CerP(d18:1/26:1(17Z))
183,Cer,758.6 -> 264.4,CerP(d18:1/26:0)
192,Cer,776.8 -> 264.4,Cer(d18:1/33:0)
201,Cer,804.8 -> 264.4,Cer(d18:1/35:0)
208,Cer,832.8 -> 264.4,1-O-eicosanoyl-Cer(d18:1/16:0)
212,Cer,860.8 -> 264.4,1-O-behenoyl-Cer(d18:1/16:0)
213,Cer,874.9 -> 264.4,1-O-tricosanoyl-Cer(d18:1/16:0)
214,Cer,888.9 -> 264.4,1-O-lignoceroyl-Cer(d18:1/16:0)
215,Cer,902.9 -> 264.4,1-O-pentacosanoyl-Cer(d18:1/16:0)
216,Cer,916.9 -> 264.4,1-O-cerotoyl-Cer(d18:1/16:0)
217,Cer,944.9 -> 264.4,1-O-cerotoyl-Cer(d18:1/18:0)
221,Cer,973.0 -> 264.4,1-O-carboceroyl-Cer(d18:1/18:0)
226,Cer,1001.0 -> 264.4,1-O-tricosanoyl-Cer(d18:1/18:0)
132,SM,647.5 -> 184.1,SM(d18:1/12:0)
134,SM,649.5 -> 184.1,SM(d16:0/14:0)
142,SM,673.5 -> 184.1,SM(d18:2/14:0)
144,SM,675.5 -> 184.1,SM(d16:1/16:0)
146,SM,677.6 -> 184.1,SM(d16:0/16:0)
156,SM,701.6 -> 184.1,SM(d16:1/18:1)
158,SM,703.6 -> 184.1,SM(d16:1/18:0)
160,SM,705.6 -> 184.1,SM(d16:0/18:0)
168,SM,727.6 -> 184.1,SM(d18:2/18:1)
170,SM,729.6 -> 184.1,SM(d16:1/20:1)
172,SM,731.6 -> 184.1,SM(d16:1/20:0)
174,SM,733.6 -> 184.1,SM(d16:0/20:0)
180,SM,755.6 -> 184.1,SM(d18:2/20:1)
182,SM,757.6 -> 184.1,SM(d16:1/22:1)
184,SM,759.6 -> 184.1,SM(d16:1/22:0)
186,SM,761.7 -> 184.1,SM(d16:0/22:0)
193,SM,783.6 -> 184.1,SM(d18:2/22:1)
194,SM,785.7 -> 184.1,SM(d16:1/24:1)
195,SM,787.7 -> 184.1,SM(d16:1/24:0)
196,SM,789.7 -> 184.1,SM(d16:0/24:0)
202,SM,811.7 -> 184.1,SM(d18:2/24:1)
203,SM,813.7 -> 184.1,SM(d18:1/24:1(15Z))
204,SM,815.7 -> 184.1,SM(d18:0/24:1)
205,SM,817.7 -> 184.1,SM(d18:0/24:0)
209,SM,841.7 -> 184.1,SM(d18:1/26:1(17Z))
210,SM,843.7 -> 184.1,SM(d18:0/26:1(17Z))
211,SM,845.7 -> 184.1,SM(d17:0/27:0)
246,CE,586.6 -> 369.2,CE(12:0)
247,CE,612.6 -> 369.2,CE(14:1)
248,CE,614.6 -> 369.2,CE(14:0)
249,CE,626.6 -> 369.2,CE(15:1)
250,CE,628.6 -> 369.2,CE(15:0)
251,CE,636.6 -> 369.2,CE(16:3)
252,CE,638.6 -> 369.2,CE(16:2)
253,CE,640.6 -> 369.2,CE(16:1)
254,CE,642.6 -> 369.2,CE(16:0)
255,CE,654.6 -> 369.2,CE(17:1)
256,CE,656.6 -> 369.2,CE(17:0)
257,CE,664.6 -> 369.2,CE(18:3)
258,CE,666.6 -> 369.2,CE(18:2)
259,CE,668.6 -> 369.2,CE(18:1)
260,CE,684.7 -> 369.2,CE(19:0)
261,CE,688.6 -> 369.2,CE(20:5)
262,CE,690.6 -> 369.2,CE(20:4)
263,CE,692.6 -> 369.2,CE(20:3)
264,CE,696.7 -> 369.2,CE(20:1)
265,CE,698.7 -> 369.2,CE(20:0)
266,CE,714.6 -> 369.2,CE(22:6)
267,CE,716.6 -> 369.2,CE(22:5)
269,CE,722.7 -> 369.2,CE(22:2)
270,CE,724.7 -> 369.2,CE(22:1)
271,CE,726.7 -> 369.2,CE(22:0)
272,CE,752.7 -> 369.2,CE(24:1)
791,FA,197.2 -> 197.1,FA(12:1)
792,FA,199.2 -> 199.2,FA(12:0)
801,FA,225.2 -> 225.2,FA(14:1)
802,FA,227.2 -> 227.2,FA(14:0)
807,FA,239.2 -> 239.2,FA(15:1)
809,FA,241.2 -> 241.2,FA(15:0) | FA(16:7)
815,FA,253.2 -> 253.2,FA(16:1)
816,FA,255.2 -> 255.2,FA(16:0)
821,FA,267.2 -> 267.2,FA(17:1)
823,FA,269.2 -> 269.2,FA(17:0) | FA(18:7)
826,FA,275.2 -> 275.2,FA(18:4)
827,FA,277.2 -> 277.2,FA(18:3)
828,FA,279.2 -> 279.2,FA(18:2)
829,FA,281.2 -> 281.2,FA(18:1)
830,FA,283.3 -> 283.3,FA(18:0)
836,FA,297.3 -> 297.3,FA(19:0)
838,FA,301.2 -> 301.2,FA(20:5)
839,FA,303.2 -> 303.2,FA(20:4)
840,FA,305.2 -> 305.2,FA(20:3)
842,FA,309.3 -> 309.3,FA(20:1)
843,FA,311.3 -> 311.3,FA(20:0)
850,FA,327.2 -> 327.2,FA(22:6)
851,FA,329.2 -> 329.2,FA(22:5)
852,FA,331.3 -> 331.3,FA(22:4)
855,FA,337.3 -> 337.3,FA(22:1)
856,FA,339.3 -> 339.3,FA(22:0)
861,FA,353.2 -> 353.2,FA(24:7)
862,FA,353.3 -> 353.3,FA(23:0)
863,FA,355.3 -> 355.3,FA(24:6)
868,FA,365.3 -> 365.3,FA(24:1)
869,FA,367.4 -> 367.4,FA(24:0)
878,FA,393.4 -> 393.4,FA(26:1)
879,FA,395.4 -> 395.4,FA(26:0)
892,FA,423.4 -> 423.4,FA(28:0)
908,FA,479.5 -> 479.5,FA(32:0)
913,FA,507.5 -> 507.5,FA(34:0)
926,PC,300.1 -> 184.1,LPC(2:0)
927,PC,312.1 -> 184.1,LPC(3:1)
928,PC,314.1 -> 184.1,LPC(3:0)|PC(O-3:0)
929,PC,328.2 -> 184.1,LPC(4:0)|PC(O-4:0)|PC(O-5:0)
930,PC,342.2 -> 184.1,PC(4:0)|LPC(5:0)
931,PC,356.2 -> 184.1,LPC(6:0)
932,PC,370.2 -> 184.1,PC(6:0)|LPC(7:0)
933,PC,384.2 -> 184.1,LPC(8:0)
935,PC,398.2 -> 184.1,PC(8:0)|LPC(9:0)
936,PC,412.2 -> 184.1,LPC(10:0)|PC(O-10:0)
937,PC,426.3 -> 184.1,PC(10:0)|LPC(11:0)
939,PC,440.3 -> 184.1,LPC(12:0)
942,PC,454.3 -> 184.1,PC(12:0)|LPC(13:0)|LPC(O-14:0)
943,PC,466.3 -> 184.1,LPC(14:1)|LPC(P-15:0)
944,PC,468.3 -> 184.1,LPC(14:0)|PC(O-14:0)|LPC(O-15:0)
