,Lipid,Parent_Ion,Product_Ion,Retention_Time,OzESI_Intensity,Sample_ID,Transition,Group,Cluster_Label
70374,Unknown,870.8,599.5,0.0073666666666666,41.94000244140625,11282023_DOD94_F3_WT_cereb_O3off_01,870.8 -> 599.5,0,1
70375,Unknown,870.8,599.5,0.05175,41.9800033569336,11282023_DOD94_F3_WT_cereb_O3off_01,870.8 -> 599.5,0,1
70376,Unknown,870.8,599.5,0.0961166666666666,41.70000457763672,11282023_DOD94_F3_WT_cereb_O3off_01,870.8 -> 599.5,0,1
70377,Unknown,870.8,599.5,0.1405333333333333,41.900001525878906,11282023_DOD94_F3_WT_cereb_O3off_01,870.8 -> 599.5,0,1
70378,Unknown,870.8,599.5,0.1849333333333333,41.80000305175781,11282023_DOD94_F3_WT_cereb_O3off_01,870.8 -> 599.5,0,1
70379,Unknown,870.8,599.5,0.22935,41.880001068115234,11282023_DOD94_F3_WT_cereb_O3off_01,870.8 -> 599.5,0,1
70380,Unknown,870.8,599.5,0.27375,41.70000457763672,11282023_DOD94_F3_WT_cereb_O3off_01,870.8 -> 599.5,0,1
70381,Unknown,870.8,599.5,0.3181666666666667,41.6400032043457,11282023_DOD94_F3_WT_cereb_O3off_01,870.8 -> 599.5,0,1
70382,Unknown,870.8,599.5,0.3625666666666667,41.720001220703125,11282023_DOD94_F3_WT_cereb_O3off_01,870.8 -> 599.5,0,1
70383,Unknown,870.8,599.5,0.4069833333333333,42.00000381469727,11282023_DOD94_F3_WT_cereb_O3off_01,870.8 -> 599.5,0,1
70384,Unknown,870.8,599.5,0.4513833333333333,41.7400016784668,11282023_DOD94_F3_WT_cereb_O3off_01,870.8 -> 599.5,0,1
70385,Unknown,870.8,599.5,0.4957833333333333,41.76000213623047,11282023_DOD94_F3_WT_cereb_O3off_01,870.8 -> 599.5,0,1
70386,Unknown,870.8,599.5,0.5402,41.86000442504883,11282023_DOD94_F3_WT_cereb_O3off_01,870.8 -> 599.5,0,1
70387,Unknown,870.8,599.5,0.5846,41.96000289916992,11282023_DOD94_F3_WT_cereb_O3off_01,870.8 -> 599.5,0,1
70388,Unknown,870.8,599.5,0.6290166666666667,41.96000289916992,11282023_DOD94_F3_WT_cereb_O3off_01,870.8 -> 599.5,0,1
70389,Unknown,870.8,599.5,0.6734166666666667,41.9800033569336,11282023_DOD94_F3_WT_cereb_O3off_01,870.8 -> 599.5,0,1
70390,Unknown,870.8,599.5,0.7178166666666667,41.86000442504883,11282023_DOD94_F3_WT_cereb_O3off_01,870.8 -> 599.5,0,1
70391,Unknown,870.8,599.5,0.7622333333333333,41.82000350952149,11282023_DOD94_F3_WT_cereb_O3off_01,870.8 -> 599.5,0,1
70392,Unknown,870.8,599.5,0.8066500000000001,41.7400016784668,11282023_DOD94_F3_WT_cereb_O3off_01,870.8 -> 599.5,0,1
70393,Unknown,870.8,599.5,0.8510500000000001,41.84000396728516,11282023_DOD94_F3_WT_cereb_O3off_01,870.8 -> 599.5,0,1
70394,Unknown,870.8,599.5,0.8954500000000001,42.060001373291016,11282023_DOD94_F3_WT_cereb_O3off_01,870.8 -> 599.5,0,1
70395,Unknown,870.8,599.5,0.9398666666666669,41.62000274658203,11282023_DOD94_F3_WT_cereb_O3off_01,870.8 -> 599.5,0,1
70396,Unknown,870.8,599.5,0.9842666666666668,41.68000411987305,11282023_DOD94_F3_WT_cereb_O3off_01,870.8 -> 599.5,0,1
70397,Unknown,870.8,599.5,1.0286833333333334,41.900001525878906,11282023_DOD94_F3_WT_cereb_O3off_01,870.8 -> 599.5,0,1
70398,Unknown,870.8,599.5,1.0730833333333334,41.7400016784668,11282023_DOD94_F3_WT_cereb_O3off_01,870.8 -> 599.5,0,1
70399,Unknown,870.8,599.5,1.1174833333333334,41.660003662109375,11282023_DOD94_F3_WT_cereb_O3off_01,870.8 -> 599.5,0,1
70400,Unknown,870.8,599.5,1.1619000000000002,41.70000457763672,11282023_DOD94_F3_WT_cereb_O3off_01,870.8 -> 599.5,0,1
70401,Unknown,870.8,599.5,1.2063,41.880001068115234,11282023_DOD94_F3_WT_cereb_O3off_01,870.8 -> 599.5,0,1
70402,Unknown,870.8,599.5,1.2507166666666667,42.1400032043457,11282023_DOD94_F3_WT_cereb_O3off_01,870.8 -> 599.5,0,1
70403,Unknown,870.8,599.5,1.2951166666666667,41.86000442504883,11282023_DOD94_F3_WT_cereb_O3off_01,870.8 -> 599.5,0,1
70404,Unknown,870.8,599.5,1.339516666666667,41.96000289916992,11282023_DOD94_F3_WT_cereb_O3off_01,870.8 -> 599.5,0,1
70405,Unknown,870.8,599.5,1.3839333333333337,41.76000213623047,11282023_DOD94_F3_WT_cereb_O3off_01,870.8 -> 599.5,0,1
70406,Unknown,870.8,599.5,1.42835,41.78000259399414,11282023_DOD94_F3_WT_cereb_O3off_01,870.8 -> 599.5,0,1
70407,Unknown,870.8,599.5,1.47275,41.720001220703125,11282023_DOD94_F3_WT_cereb_O3off_01,870.8 -> 599.5,0,1
70408,Unknown,870.8,599.5,1.51715,41.84000396728516,11282023_DOD94_F3_WT_cereb_O3off_01,870.8 -> 599.5,1,1
70409,Unknown,870.8,599.5,1.5615666666666668,41.70000457763672,11282023_DOD94_F3_WT_cereb_O3off_01,870.8 -> 599.5,1,1
70410,Unknown,870.8,599.5,1.6059666666666668,41.6400032043457,11282023_DOD94_F3_WT_cereb_O3off_01,870.8 -> 599.5,1,1
70411,Unknown,870.8,599.5,1.650383333333333,41.84000396728516,11282023_DOD94_F3_WT_cereb_O3off_01,870.8 -> 599.5,1,1
70412,Unknown,870.8,599.5,1.6947833333333333,41.86000442504883,11282023_DOD94_F3_WT_cereb_O3off_01,870.8 -> 599.5,1,1
70413,Unknown,870.8,599.5,1.7391833333333335,41.82000350952149,11282023_DOD94_F3_WT_cereb_O3off_01,870.8 -> 599.5,1,1
70414,Unknown,870.8,599.5,1.7836,41.68000411987305,11282023_DOD94_F3_WT_cereb_O3off_01,870.8 -> 599.5,1,1
70415,Unknown,870.8,599.5,1.828,41.7400016784668,11282023_DOD94_F3_WT_cereb_O3off_01,870.8 -> 599.5,1,1
70416,Unknown,870.8,599.5,1.8724166666666668,41.84000396728516,11282023_DOD94_F3_WT_cereb_O3off_01,870.8 -> 599.5,1,1
70417,Unknown,870.8,599.5,1.9168166666666668,41.80000305175781,11282023_DOD94_F3_WT_cereb_O3off_01,870.8 -> 599.5,1,1
70418,Unknown,870.8,599.5,1.9612166666666668,41.80000305175781,11282023_DOD94_F3_WT_cereb_O3off_01,870.8 -> 599.5,1,1
