Reaction,Gene Code,Gene,Lipid 1,Lipid 2,T-Statistic,P-Value,Z-Score
52,30049,SCD3,FA(16:0),FA(16:1),1.0831201788803808,0.2901301772688659,1.0578360873980144
53,60481,ELOVL5,FA(16:1),FA(18:1),0.8751334428208233,0.39165130484794675,0.8566265553233149
53,79071,ELOVL6,FA(16:1),FA(18:1),0.8751334428208233,0.39165130484794675,0.8566265553233149
55,9415,FADS2,FA(18:2),FA(18:3),-2.8770106938362865,0.00838017302831653,2.6363561224369687
56,60481,ELOVL5,FA(18:3),FA(20:3),-0.7396862182261322,0.466673652521992,0.727901879588224
56,79993,ELOVL7,FA(18:3),FA(20:3),-0.7396862182261322,0.466673652521992,0.727901879588224
57,79071,ELOVL6,FA(16:0),FA(18:0),0.6426621034439476,0.5269169374733413,0.6327193408006029
58,6319,SCD1,FA(18:0),FA(18:1),0.30488938301782004,0.7633117637798138,0.30113472336861785
59,9415,FADS2,FA(18:1),FA(18:2),2.422856089148486,0.02479612683626405,2.2445641428650704
62,83401,ELOVL3,FA(18:1),FA(20:1),0.46164999893843384,0.6483938999613287,0.45599454629583347
63,83401,ELOVL3,FA(20:1),FA(22:1),-0.5346608242987547,0.5975060163517153,0.5279903750407294
64,83401,ELOVL3,FA(22:1),FA(24:1),0.6092555526625083,0.548919227501097,0.5993804249976039
65,64834,ELOVL1,FA(18:0),FA(20:0),1.9393865387275349,0.06424132823177464,1.8505013181439491
65,79993,ELOVL7,FA(18:0),FA(20:0),1.9393865387275349,0.06424132823177464,1.8505013181439491
65,83401,ELOVL3,FA(18:0),FA(20:0),1.9393865387275349,0.06424132823177464,1.8505013181439491
66,64834,ELOVL1,FA(20:0),FA(22:0),-0.5169399277742067,0.6096671801049871,0.5105485931775414
66,79993,ELOVL7,FA(20:0),FA(22:0),-0.5169399277742067,0.6096671801049871,0.5105485931775414
66,83401,ELOVL3,FA(20:0),FA(22:0),-0.5169399277742067,0.6096671801049871,0.5105485931775414
67,64834,ELOVL1,FA(22:0),FA(24:0),0.1707025169819136,0.8661051844743722,0.16860774968502262
67,79993,ELOVL7,FA(22:0),FA(24:0),0.1707025169819136,0.8661051844743722,0.16860774968502262
67,83401,ELOVL3,FA(22:0),FA(24:0),0.1707025169819136,0.8661051844743722,0.16860774968502262
68,64834,ELOVL1,FA(24:0),FA(26:0),-0.3372018595341183,0.7389226925891372,0.3332803210779249
68,83401,ELOVL3,FA(24:0),FA(26:0),-0.3372018595341183,0.7389226925891372,0.3332803210779249
69,6785,ELOVL4,FA(26:0),FA(28:0),-1.3723627491540256,0.18737795509447394,1.318375568860127
70,6785,ELOVL4,FA(28:0),FA(30:0),-0.4514433040701114,0.6553536374831841,0.4463372710051551
71,3992,FADS1,FA(20:3),FA(20:4),1.3268757144658136,0.19926149825623118,1.2836584224167882
72,60481,ELOVL5,FA(20:4),FA(22:4),0.4679324491700042,0.6442382305896506,0.461781204804933
72,54898,ELOVL2,FA(20:4),FA(22:4),0.4679324491700042,0.6442382305896506,0.461781204804933
75,9415,FADS2,FA(18:3),FA(18:4),0.42391587269352377,0.6759620852038253,0.41797952791571646
76,60481,ELOVL5,FA(18:4),FA(20:4),-0.8559556585623121,0.40405262213789817,0.8344053168909346
77,3992,FADS1,FA(20:4),FA(20:5),-0.08215142526085102,0.9352369007205785,0.0812578414512317
78,60481,ELOVL5,FA(20:5),FA(22:5),-0.24071781636603817,0.8122018890211534,0.2375864138282022
78,54898,ELOVL2,FA(20:5),FA(22:5),-0.24071781636603817,0.8122018890211534,0.2375864138282022
79,54898,ELOVL2,FA(22:5),FA(24:5),-0.649968494853673,0.5210929614526956,0.6416615471698941
80,9415,FADS2,FA(24:5),FA(24:6),-0.578834209976201,0.5672901602082795,0.5720469609877806
