Lipid,Genotype_5xFAD__Brain_Region_cerebellum,Genotype_5xFAD__Brain_Region_cerebellum,Genotype_5xFAD__Brain_Region_cerebellum,Genotype_5xFAD__Brain_Region_cerebellum,Genotype_5xFAD__Brain_Region_cerebellum,Genotype__WT___Brain_Region__cerebellum,Genotype__WT___Brain_Region__cerebellum,Genotype__WT___Brain_Region__cerebellum
(11Z)-eicoseneoylcarnitine,1256930.4736328125,1313193.267578125,1370506.4516601562,1476902.5249023438,1624465.5419921875,1410061.365234375,1453789.9145507812,1548320.9340820312
"(11Z,14Z)-eicosadienoylcarnitine",1262933.6362304688,1288290.3208007812,1349906.3383789062,1447970.6625976562,1569963.0502929688,1408351.625,1448199.4814453125,1567602.6728515625
"(13Z,16Z)-docosadienoylcarnitine",1200177.8431396484,1229167.669921875,1293432.1517333984,1486547.2768554688,1530059.8298339844,1334500.4373779297,1392547.188293457,2235124.575866699
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",1939767.9885253904,2430496.0634765625,2140645.078491211,2665311.731689453,2279392.241455078,2215148.1447753906,2234323.5102539062,2256080.6622314453
"(5Z,8Z)-tetradecadienoylcarnitine",154140949.5595703,92351915.6875,63344919.2109375,16220704.654785156,24353723.305664062,97017264.0888672,62660995.83984375,69671289.73339844
"(7Z,10Z)-hexadecadienoylcarnitine",1559599.7697753906,1588900.268798828,1693150.3903808594,1906106.0573730469,1901348.182861328,1807297.3984375,1819888.0288085935,2113105.662841797
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",1049124.5791015625,1070540.3215332031,1140392.4146728516,1251955.5372314453,1374031.0412597656,1186263.4771728516,1201712.4168701172,1592147.222290039
(9Z)-3-hydroxyoctadecenoylcarnitine,10822962.869628906,19673378.95703125,18254947.068847656,15744826.903320312,13176578.10888672,14309309.020996094,14130034.278320312,13802748.841796877
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",4548090.254638672,7191994.978515625,7154281.061279297,6230783.154052734,5983506.459472656,5710127.011474609,5824302.932617188,5732824.095458984
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",10354077.518066406,18743120.12353516,17230450.004882812,14976742.081542969,12457421.822753906,13681185.669433594,13360938.161621094,13065989.963378906
1-O-behenoyl-Cer(d18:1/16:0),29398.342208862305,33126.942710876465,46202.78359985352,39305.7628326416,36187.02255249024,36516.56300354004,35957.26264572144,34225.282024383545
1-O-carboceroyl-Cer(d18:1/16:0),68731.26498031616,46299.72317123413,75554.60557937622,168528.36987304688,99853.7479057312,92730.02653503418,82360.3857345581,87016.90506744385
1-O-carboceroyl-Cer(d18:1/18:0),23379.941871643063,18910.121425628666,23674.221508026123,19387.24150085449,22414.021717071533,23910.721534729004,21830.84148788452,21737.88181304932
1-O-cerotoyl-Cer(d18:1/16:0),80859.80527496338,67606.82591247559,69276.28416442871,121797.58711624146,102118.72706985474,97478.24760437012,85335.76477050781,105676.1282157898
1-O-cerotoyl-Cer(d18:1/18:0),286598.67964172363,210867.73253631592,259933.4981918335,272286.04024124146,300706.4411582947,305559.53926086426,284533.3180465698,315078.30672073364
1-O-eicosanoyl-Cer(d18:1/16:0),32220.22254562378,144073.01107406616,48475.983406066895,49439.16363525391,50599.06323242188,50221.2636795044,97699.06726837158,35528.922370910645
1-O-lignoceroyl-Cer(d18:1/16:0),52082.28335571289,42169.38264846802,64451.98418426514,151543.98889923096,89210.56663894653,77242.60544967651,81890.94709014893,73431.82516098022
1-O-myristoyl-Cer(d18:1/16:0),54386.303718566895,80557.88554382324,58228.62457275391,50704.183753967285,50433.8034324646,55769.94352340698,59503.92415237427,51984.18327713013
1-O-palmitoyl-Cer(d18:1/16:0),35647.702491760254,75182.80504226685,49120.04314041138,46163.84300994873,45528.64307785034,42922.682651519775,68184.54487991333,40714.48252868652
1-O-stearoyl-Cer(d18:1/16:0),40163.10260391235,200401.791885376,58489.64445877075,65201.24501800537,57285.90365982056,61475.42427444458,137949.04893875122,43658.14338684082
1-O-tricosanoyl-Cer(d18:1/16:0),31280.9020614624,36101.58243179321,44575.183376312256,82565.64527130127,42070.66318130493,43802.02247619629,44314.10312652588,45363.443408966064
1-O-tricosanoyl-Cer(d18:1/18:0),10099.880729675291,10180.240703582764,11458.880809783936,12517.040855407717,10831.58073425293,11110.9609375,11287.780799865724,10400.820728302002
12-Hydroxy-12-octadecanoylcarnitine | 3-hydroxyoctadecanoylcarnitine,3269997.2236328125,4893907.564453125,4660732.620117188,4206026.020996094,3740109.557617188,4113421.935546875,4024964.0034179688,4172629.2885742183
15:0 Campesteryl ester_simulated | CE(16:0),247360.9578857422,266253.2185058594,280976.87927246094,103361.62686157228,103570.74768066406,273822.9802246094,280063.2983398437,99011.74743652344
