Lipid,Genotype_5xFAD__Brain_Region_cortex,Genotype_5xFAD__Brain_Region_cortex,Genotype_5xFAD__Brain_Region_cortex,Genotype_5xFAD__Brain_Region_cortex,Genotype__WT___Brain_Region__cortex,Genotype__WT___Brain_Region__cortex,Genotype__WT___Brain_Region__cortex
(11Z)-eicoseneoylcarnitine,1461574.3852539062,1395572.740234375,1457662.7182617188,1408961.5532226562,1450974.412109375,1446175.0439453125,1469500.5795898438
"(11Z,14Z)-eicosadienoylcarnitine",1429124.1762695312,1350856.4809570312,1431788.9677734375,1357653.3920898438,1464825.83203125,1445031.9301757812,1422254.4301757812
"(13Z,16Z)-docosadienoylcarnitine",1420361.1004638672,1281745.7750854492,1508125.2795410156,1349872.0334472656,1547859.026428223,1384342.3704833984,1401085.4095458984
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",2184246.087890625,2205746.576171875,2470854.001464844,2018780.2897949216,2341072.076904297,2281951.5776367188,2132253.7890625
"(5Z,8Z)-tetradecadienoylcarnitine",29948597.337890625,26648913.84375,16632944.549316406,65346110.588378906,75825428.85351562,29749622.64453125,40969587.21484375
"(7Z,10Z)-hexadecadienoylcarnitine",1770713.409423828,1717515.307861328,1811327.671875,1667394.3842773438,1808904.2744140625,1820135.4990234373,1873401.7072753904
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",1260946.1431884766,1137990.1825561523,1271184.7647705078,1143505.6591796875,1355693.1580810547,1244091.2459716797,1216621.2817382812
(9Z)-3-hydroxyoctadecenoylcarnitine,17311510.770996094,20298427.10791016,20722991.56201172,21033323.51171875,11026079.612304688,19093728.143554688,15453683.57763672
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",6556788.756103516,7579394.700439453,7847061.452392578,7985043.280273437,4689957.828857422,7210002.552490234,6411734.287353516
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",16470506.173828123,19040901.25390625,19527801.96728516,19669121.095703125,10508922.293945312,17918375.471679688,14634731.657226562
1-O-behenoyl-Cer(d18:1/16:0),36692.462463378906,37616.98265457153,47163.46329879761,38684.44284820557,33323.14264297485,36546.822441101074,39283.802684783936
1-O-carboceroyl-Cer(d18:1/16:0),94097.04789352416,71634.02543640137,152652.411567688,90605.04538345335,119585.8681526184,86770.38639831543,115558.20627593994
1-O-carboceroyl-Cer(d18:1/18:0),24564.40146255493,21907.801445007324,21279.241298675537,21167.64161300659,24480.88187408448,23461.22156906128,21810.941791534424
1-O-cerotoyl-Cer(d18:1/16:0),77182.18599319458,67614.68476867676,112079.00816345216,75406.60494613647,100954.5672607422,83571.66579055786,98255.28512954712
1-O-cerotoyl-Cer(d18:1/18:0),261576.97959136963,228328.8583450317,223601.6531028748,227696.1364517212,304801.284576416,276514.4203910828,285917.71657562256
1-O-eicosanoyl-Cer(d18:1/16:0),36027.762283325195,42948.363021850586,42736.36308288574,30331.58203125,38517.28271102905,40629.2631149292,37163.8623008728
1-O-lignoceroyl-Cer(d18:1/16:0),84782.36605834961,66330.18539047241,144407.71041107178,81413.10648345947,104923.82834243774,79647.96742630005,97751.66666412354
1-O-myristoyl-Cer(d18:1/16:0),54183.54351043701,53711.363929748535,49155.66358947754,50361.16374969482,55029.08363342285,50479.26407623291,45911.8233833313
1-O-palmitoyl-Cer(d18:1/16:0),42159.56315231323,46103.00323486328,43331.863063812256,40639.18308258057,41975.34289932251,43672.76354598999,43771.94339752197
1-O-stearoyl-Cer(d18:1/16:0),41978.90271377564,47592.20374298096,53856.84366226196,37718.002490997314,44340.32306671143,49289.16366195679,44351.12351226807
1-O-tricosanoyl-Cer(d18:1/16:0),47917.14291381836,44551.78361511231,79700.04627227783,46306.86296844482,45042.482692718506,47179.88382720947,49861.92351913452
1-O-tricosanoyl-Cer(d18:1/18:0),11874.98077774048,11112.440662384031,11614.500896453856,10037.64073562622,13229.820877075195,10774.420791625977,11459.260730743408
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",4612804.606933594,5059683.297363281,5089087.544433594,4672021.863769531,3537992.9995117188,4869216.183105469,3993657.2543945312
12:0 Cholesteryl ester,206443.9545135498,187842.8329925537,54702.86418151856,53449.14390563965,184184.01274108887,194290.03338623047,57300.26417160034
12:0 Cholesteryl ester_2,198899.3538360596,189600.5742797852,50913.96357727051,49618.86361312866,194223.2352294922,194121.27363967896,55628.72424697876
14:0 Cholesteryl ester,107908.76762390137,103784.52690124512,43653.82319641113,49058.56335067749,174361.71353149414,103502.50770568848,44501.42287063599
14:1 Cholesteryl ester,101516.40711975098,103069.94741821288,42685.24269104004,45816.14336395264,167934.35008239746,103306.90727233888,43761.02275466919
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester,289878.5213623047,287886.201171875,121756.2882385254,94190.34649658205,292253.8006591797,309868.7003173828,101925.20712280272
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester_2,292477.3010253906,290238.6412353516,120988.00839233398,93845.26657104492,288007.4022216797,308109.24353027344,105516.18823242188
15:0 Cholesteryl ester,259193.8380126953,259023.73706054688,110598.20782470705,99013.02743530272,253107.4787597656,264173.32067871094,101124.08694458008
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester,296957.74169921875,290135.00103759766,120349.36853027344,108678.26788330078,278878.5386352539,308956.20349121094,115424.5080871582
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester_2,299675.64099121094,298718.8214111328,121086.38803100586,111295.56848144533,286760.6004638672,295662.2412109375,118771.74865722656
15:1 Cholesteryl ester,268055.0593261719,267581.09765625,112505.0086364746,97831.46688842772,279110.23876953125,272599.61767578125,109607.08767700195
16:0 Campesteryl ester | 17:0 Cholesteryl ester,482661.26905822754,230368.095413208,157669.31104660034,44475.38328170776,181109.19328308103,438289.16777038574,77134.06510925293
16:0 Campesteryl ester | 17:0 Cholesteryl ester_2,457017.1744232178,232697.2156829834,162404.1529197693,42214.92322540283,187184.9127502441,443183.8342895508,79354.32606506348
16:2 Campesteryl ester,468778.7299804688,229844.91590881348,165206.61423492432,43435.38317108154,167781.59133911133,418315.46867370605,74919.82628250122
"16:2 Cholesteryl ester, zymosteryl palmitoleate",286850.72009277344,293157.0216064453,113731.94830322266,101456.2074584961,292551.71875,297439.0616455078,110140.7073059082
16:3 Campesteryl ester,456562.5186233521,217033.97341918945,160582.991481781,41053.32256317139,170507.59172058103,427672.8699798584,75315.50601577759
16:3 Cholesteryl ester,273550.51916503906,280845.88049316406,118023.78784179688,104182.76788330078,270792.63830566406,275931.4796142578,110097.02749633788
16:3 Stigmasteryl ester,542890.2322692871,303466.01583862305,177535.57064819336,70479.92538833618,238233.19439697263,491452.9175415039,112134.6275253296
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester",609582.4785461426,339927.88663482666,196164.55129241943,63067.42455291748,269417.33947753906,589933.1188049316,103941.22734069824
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester_2",612892.9210205078,352186.2632141113,199214.2363128662,66339.54444122314,275774.5595397949,578218.7215881348,105990.80756378174
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester",604201.1010437012,344977.4267883301,195620.6760406494,66619.54499816895,272276.99826049805,578229.0800170898,104960.36757659912
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester_2",601233.5832366943,331640.3845214844,200966.05520629883,63674.6642036438,282595.2204284668,584872.5077514648,106163.54775619508
17:1 Cholesteryl ester; 16:1 Campesteryl ester,471428.01194763184,218880.09548187256,165967.61249160767,46261.54291534424,172803.25178527832,436325.7263793945,77847.66497421265
17:1 Cholesteryl ester; 16:1 Campesteryl ester_2,460792.76985168457,206078.07276916504,160566.41161346436,45343.34331130981,165014.77180480957,415234.27352905273,75341.58574676514
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated",278488.0610809326,250274.46084594727,88312.66635894775,66861.42481994629,238098.9970092773,265711.5782318115,72586.16502380371
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated_2",273423.89978027344,259398.0389404297,92443.26620483398,70337.48574829102,234472.71701049805,270909.55950927734,68150.66487884521
18:1 Campesteryl ester,263904.27825927734,252689.3544921875,82409.8259010315,56984.78404998779,233450.5391235352,261731.28118896484,63951.22497558594
"18:2 Cholesteryl ester, zymosteryl oleate, 16:1 Stigmasteryl ester, 16:2 Sitosteryl ester",604406.4444274902,375458.106048584,202646.0722885132,67644.66412353516,289138.4790649414,585151.3779449463,102739.50680541992
18:3 Campesteryl ester,233462.63381958008,232237.91787719727,76780.36492156982,65536.76523590088,213127.35446166992,242607.49642944336,66174.2045288086
"18:3 Cholesteryl ester, 16:2 Stigmasteryl ester, 16:3 Sitosteryl ester",619175.6261291504,365628.6613922119,202318.07664489743,71515.98536682129,315847.1044616699,595870.3013763428,103495.5284690857
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester",447091.572631836,447873.4123535156,205471.35342407227,140569.51007080078,419422.98986816406,415310.3869628906,146106.55047607422
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester_2",443882.2932128906,452466.95568847656,199821.99346923828,138753.42993164062,427756.9488525391,430666.9284667969,150386.73071289062
"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine",1195290.807861328,1194065.662109375,1239282.0832519531,1133090.1042480469,1218044.2957763672,1240025.518798828,1244585.4881591797
20:0 Campesteryl ester,1051954.5400390625,802405.3129882812,404391.10778808594,333963.88360595703,944354.227294922,799106.8182373047,242206.25750732425
20:1 Campesteryl ester,1035268.6345214844,770815.9124755859,390393.90771484375,324425.34533691406,922340.9077148438,768436.0723876953,229859.89709472656
"20:1 Cholesteryl ester, 18:0 Stigmasteryl ester, 18:1 Sitosteryl ester",445063.4099121094,438793.0089111328,196959.5145874024,143887.10974121094,420065.7504882813,422728.80859375,149125.32971191406
"20:2 Cholesteryl ester, 18:1 Stigmasteryl ester, 18:2 Sitosteryl ester",442481.4721679688,434864.9537353516,198226.1947631836,142786.26989746094,420005.0883789063,413933.3474121094,152263.0704345703
