Start,End,Path,Edge_Genes,Edge_Reactions,Num_Reactions,Combo_Zscore
Cer,Cer1P,Cer -> Cer1P,CERK,41,1,0.6748520918273131
Cer,SM,Cer -> SM,"CERT1,SGMS1,SGMS2",17,1,0.2410249737922859
PE,PC,PE -> PC,PEMT,8,1,0.751070683266361
PE,PS,PE -> PC -> PS,PEMT ; PTDSS1,8 ; 9,2,1.229369647528085
PE,PS,PE -> PS,PTDSS2,7,1,0.4750309175153806
PS,PE,PS -> PE,PISD,6,1,0.4046389806284133
PS,PC,PS -> PE -> PC,PISD ; PEMT,6 ; 8,2,0.8172101404228204
PC,PS,PC -> PS,PTDSS1,9,1,0.9875205454376886
PC,PE,PC -> PS -> PE,PTDSS1 ; PISD,9 ; 6,2,0.9844054413747908
Cer1P,Cer,Cer1P -> Cer,PTPA,42,1,0.7214782805742385
Cer1P,SM,Cer1P -> Cer -> SM,"PTPA ; CERT1,SGMS1,SGMS2",42 ; 17,2,0.6805925780766898
SM,Cer,SM -> Cer,"SMPD1,SMPD2,SMPD3",18,1,0.1513154636147868
SM,Cer1P,SM -> Cer -> Cer1P,"SMPD1,SMPD2,SMPD3 ; CERK",18 ; 41,2,0.5841886808494218
