Start,End,Path,Edge_Genes,Edge_Reactions,Num_Reactions,Combo_Zscore
Cer,Cer1P,Cer -> Cer1P,CERK,41,1,0.8998193325017143
Cer,SM,Cer -> SM,"CERT1,SGMS1,SGMS2",17,1,0.5855982786263794
PE,PC,PE -> PC,PEMT,8,1,0.2148269060825077
PE,PS,PE -> PC -> PS,PEMT ; PTDSS1,8 ; 9,2,0.38874348890264154
PE,PS,PE -> PS,PTDSS2,7,1,0.0496988852880067
PS,PE,PS -> PE,PISD,6,1,0.2668726891103967
PS,PC,PS -> PE -> PC,PISD ; PEMT,6 ; 8,2,0.34061305025571753
PC,PS,PC -> PS,PTDSS1,9,1,0.3349394082078428
PC,PE,PC -> PS -> PE,PTDSS1 ; PISD,9 ; 6,2,0.4255454150138256
Cer1P,Cer,Cer1P -> Cer,PTPA,42,1,0.9302013697853286
Cer1P,SM,Cer1P -> Cer -> SM,"PTPA ; CERT1,SGMS1,SGMS2",42 ; 17,2,1.0718322103121032
SM,Cer,SM -> Cer,"SMPD1,SMPD2,SMPD3",18,1,0.4489070532234383
SM,Cer1P,SM -> Cer -> Cer1P,"SMPD1,SMPD2,SMPD3 ; CERK",18 ; 41,2,0.9536935733114785
