lipid,logFC,logCPM,LR,PValue,FDR,type,DOD100-M2-5xFAD-cerebellum10x_01202023,DOD100-M3-5xFAD-cerebellum10x_01202023,DOD99-M1-5xFAD-cerebellum10x_01202023,M1FAD173-5xFAD-Cerebellum10x_01182023,M2FAD173-5xFAD-Cerebellum10x_01192023,DOD100-M2-5xFAD-cortex10x_01202023,DOD99-M1-5xFAD-cortex10x_01202023,M1FAD173-5xFAD-Cortex10x_01182023,M2FAD173-5xFAD-Cortex10x_01192023,10xBlank_01202023
Lyso_PE(18:4),3.627222859332246,12.04316208275685,36.84920770259819,1.27627945131796e-9,1.9105903386229862e-6,PE,130497.98791503906,87590.98681640625,47646.68365478515,113600.64776611328,23387747.104492188,132420.98950195312,49292.863525390625,50390.56359863281,1178031.4189453125,48831.60382080078
PE (18:4),2.9777917241348413,9.954215416387704,26.518087272248522,2.6108214800869396e-7,1.9541998778450744e-4,PE,80714.68505859375,65658.66418457031,53452.603942871094,61294.06396484375,5058780.06439209,106586.30676269533,56710.06466674805,53976.02392578125,289116.10205078125,71615.00396728516
Lyso_PE(19:0),2.421714583512366,7.568276411649974,18.500982733209646,1.6981671575062002e-5,0.008473854115955939,PE,32638.6025390625,36080.06256103515,31262.64222717285,9018.200611114502,832296.9360809326,46659.203216552734,29181.46206665039,2494.2202072143555,53879.12384033203,40591.5235748291
Lyso_PE(18:3),1.9571191657271414,7.347563797938559,12.59471574977215,3.8683888068506104e-4,0.1447744510963841,PE,38985.44259643555,39686.52282714844,30993.122283935547,20712.301467895508,630635.526260376,50200.14392089844,30487.08233642578,22128.90167236328,48090.983459472656,40781.843017578125
TAG(58:8)_FA 20:0,-1.79680424527931,6.850727994775906,11.712918494147289,6.206769877704052e-4,0.1858306901384593,TAG,30205.502349853516,33076.06234741211,35389.32247924805,34072.86198425293,33213.64287567139,34199.32277679443,347220.5799560547,42440.74317932129,25080.001861572266,27536.982162475582
22:3 Campesteryl ester,-1.6262754970045656,8.465717911074009,9.659930375076328,0.0018833075810508163,0.46988524147217864,CE,128654.78890991212,235293.97583007812,123301.788772583,32028.121990203857,29257.102043151855,665137.4459533691,401060.3264312744,213215.67528152463,110209.54704284668,78485.72638702393
22:2 Campesteryl ester,-1.5301404369216953,8.307632778784113,8.580307417159931,0.0033981799434727135,0.7267250536255218,CE,100209.36726379396,197735.27307128903,113135.72926330566,48554.28336715698,58030.14366531372,560526.3181762695,350653.6643676758,191685.95164108276,109390.46683120728,80835.36569976807
"(11Z,14Z)-eicosadienoylcarnitine",0.007209396408998077,11.30866544204504,1.9174521003151312e-4,0.9889518784276916,0.9997100298088456,CAR,1262933.6362304688,1288290.3208007812,1349906.3383789062,1447970.6625976562,1569963.0502929688,1429124.1762695312,1350856.4809570312,1431788.9677734375,1357653.3920898438,1833013.6752929688
(11Z)-eicoseneoylcarnitine,-0.009248038555107295,11.328409094946222,3.156525344820693e-4,0.985825039588075,0.9997100298088456,CAR,1256930.4736328125,1313193.267578125,1370506.4516601562,1476902.5249023438,1624465.5419921875,1461574.3852539062,1395572.740234375,1457662.7182617188,1408961.5532226562,1770335.1005859375
"(13Z,16Z)-docosadienoylcarnitine",-0.027974220019179114,11.288674224655834,0.002889547438826412,0.9571307521513981,0.9997100298088456,CAR,1200177.8431396484,1229167.669921875,1293432.1517333984,1486547.2768554688,1530059.8298339844,1420361.1004638672,1281745.7750854492,1508125.2795410156,1349872.0334472656,1846519.2565917969
