lipid,logFC,logCPM,LR,PValue,FDR,type,DOD100-M2-5xFAD-hippo10x_01202023,DOD100-M3-5xFAD-hippo10x_01202023,DOD99-M1-5xFAD-hippo10x_01202023,M1FAD173-5xFAD-Hippo10x_01182023,M2FAD173-5xFAD-Hippo10x_01192023,DOD100-M1-WT-hippo10x_01202023,DOD99-M2-WT-hippo10x_01202023,M5FAD173-WT-Hippo10x_01192023,10xBlank_01202023
PG (32:5),-3.4297760296807205,8.649066225180864,32.91638702859973,9.620887056940606e-9,1.4402467924240088e-5,PG,28723.361907958984,67011.54473876953,24903.141830444336,50010.76354980469,53159.36410522461,1390551.1256103516,58263.66400146485,52151.98425292969,52170.14404296875
C24:6,-2.2319442318065206,6.49662368130418,14.69811118255302,1.26172806155273e-4,0.06296023027148122,FA,14555.08102798462,13046.480945587158,12623.040897369385,47890.763412475586,9405.680633544922,13269.780883789062,13179.320930480955,258853.2403793335,15041.60111618042
PS (32:5),-2.2738422887973,7.597381682029616,15.237805373235915,9.478679806473894e-5,0.06296023027148122,PS,42006.22310256958,20760.681663513184,32196.062271118164,48801.88397216797,47388.063537597656,526516.2245483398,33125.182247161865,46853.883239746094,43834.64358520508
PGp (34:4),-1.8494082866381714,7.175818162246257,10.172784558551259,0.001425288551281272,0.533414240317016,PG,24384.581859588623,59920.22482299805,15333.101131439207,43121.02276611328,45261.66339111328,322507.24548339844,46082.003356933594,43702.40301513672,39228.48287963867
PG (34:6),-1.7881846369680492,7.484587036187564,9.518080060101056,0.002034573310099803,0.609151249043881,PG,24153.501556396484,81264.82537841797,15447.06103515625,58262.48403930664,63944.04525756836,377565.8013305664,64470.34359741211,61105.563903808594,49891.1640625
"(11Z,14Z)-eicosadienoylcarnitine",0.2581484235046996,11.659608779923799,0.18732186992565403,0.6651550121238154,0.9999800194571477,CAR,1322329.38671875,1437470.2348632812,1481437.8369140625,1510009.1274414062,1611557.333984375,1450859.4833984375,1382104.2397460938,1351883.9409179688,1833013.6752929688
(11Z)-eicoseneoylcarnitine,0.22946521696626265,11.669035912396957,0.1482887368874799,0.7001760958422236,0.9999800194571477,CAR,1324620.29296875,1469218.4106445312,1479341.6264648438,1496397.3359375,1650848.89453125,1456478.2348632812,1413134.9760742188,1427365.9682617188,1770335.1005859375
"(13Z,16Z)-docosadienoylcarnitine",0.254031587762768,11.646581698917768,0.1814446189564478,0.6701346860409002,0.9999800194571477,CAR,1265010.6803588867,1427897.3614501953,1472655.911315918,1561466.8793945312,1541192.444946289,1468483.6235961914,1328693.3626708984,1344775.7668457031,1846519.2565917969
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",0.22407599587509938,12.285450184514714,0.14145525827188976,0.7068385534243445,0.9999800194571477,CAR,2194784.690185547,2492220.4825439453,2412503.1643066406,2579735.21484375,2093678.0153808591,2338786.489624023,2207064.514526367,2303434.271972656,2077579.7651367188
"(5Z,8Z)-tetradecadienoylcarnitine",0.407825876345484,16.830423702072714,0.46270573442015106,0.49636215214480994,0.9999800194571477,CAR,30582186.538085938,28337082.129882812,139608184.45239258,26376597.729492188,25367756.57104492,26782130.583007812,71101793.19970703,66282272.07910156,1785924.2541503906
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",0.28708661991746875,11.457546039200185,0.23122298666294228,0.6306184813998887,0.9999800194571477,CAR,1110796.737915039,1253343.1610107422,1276397.7185058594,1314163.553955078,1433375.403076172,1245549.2482910156,1155280.1492919922,1153606.4608154297,1684194.2908935547
"(7Z,10Z)-hexadecadienoylcarnitine",0.24651636795057907,12.013787425992941,0.17095318499195855,0.679266067743579,0.9999800194571477,CAR,1606353.2426757812,1873921.4216308591,1902876.1496582031,2005393.249267578,1818268.425048828,1825433.856201172,1740083.2781982422,1721781.189453125,2578376.0740966797
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",0.21454694676652297,14.984743948364052,0.12976097884130366,0.7186799930225294,0.9999800194571477,CAR,22132601.1640625,12139073.696289062,18102972.64501953,15758916.81298828,14440797.770507812,16027996.416015623,16234431.17919922,16859631.28076172,2155070.9477539062
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",0.2482219855348817,13.767015763101876,0.1733075030813187,0.6771888993147748,0.9999800194571477,CAR,8245887.214111328,5412256.6162109375,7534727.410644531,6695696.98828125,6682941.8681640625,6432831.161865234,6656555.244384766,6981670.763916016,2817110.0759277344
(9Z)-3-hydroxyoctadecenoylcarnitine,0.218793508613454,15.06574041668805,0.1349111576250297,0.7133933578961823,0.9999800194571477,CAR,23314671.77001953,12741658.96826172,19088064.09716797,16634745.890625,15611679.19482422,16846448.53515625,17096836.13671875,17868681.639160156,2395006.220703125
1-O-behenoyl-Cer(d18:1/16:0),0.021393894151919817,6.114881847675384,0.0013056750985924737,0.9711754110678912,0.9999800194571477,Cer,42416.122787475586,30153.32243347168,25673.94190979004,38013.282623291016,29481.562602996823,31600.96230316162,38293.782245635986,37147.423122406006,22294.401321411133
1-O-carboceroyl-Cer(d18:1/16:0),-0.1004590704618102,7.45430984891512,0.02898932029484058,0.864803698068948,0.9999800194571477,Cer,63292.42442703247,81261.78657150269,59303.043910980225,157176.4503211975,59104.12437057495,61262.46444320679,92696.36716842651,134329.46858596802,49086.90395736694
1-O-carboceroyl-Cer(d18:1/18:0),0.10974752934974562,5.614509115838274,0.034175683759514186,0.853333617905541,0.9999800194571477,Cer,23518.86159515381,24620.98153686523,18542.74126815796,20872.98154449463,19351.66135406494,21668.40147781372,23203.34190750122,21004.281448364258,32565.38228225708
1-O-cerotoyl-Cer(d18:1/16:0),-0.06270002963823523,7.571249227310828,0.011269295048691674,0.9154578379532897,0.9999800194571477,Cer,71531.56502151489,94600.40604019164,48290.72343444824,129686.40884780884,90206.18699645996,82006.22617340088,104129.10850906372,99503.34856796265,104272.36771011353
1-O-cerotoyl-Cer(d18:1/18:0),-4.405842588648328e-4,9.306942394435643,5.544989107875153e-7,0.999405857840987,0.9999800194571477,Cer,242689.6378440857,319763.26332473755,188144.5944366455,290259.72340393066,254315.69579315183,280969.05976486206,300359.0815124512,259670.51651763916,544596.580368042
1-O-eicosanoyl-Cer(d18:1/16:0),0.05862597848321487,6.0770428044403095,0.00978309771024044,0.9212100917904134,0.9999800194571477,Cer,38312.82266235352,32873.5220451355,24691.961532592773,32300.022270202637,30083.80215072632,29833.582180023193,35027.162464141846,34894.54271697998,28402.641986846924
1-O-lignoceroyl-Cer(d18:1/16:0),-0.09856934994278614,7.184992186720864,0.027905946446026064,0.8673301327964915,0.9999800194571477,Cer,61918.36474227905,70929.20533752441,51119.96410369873,132110.53005218506,46688.28359603882,54778.02419662475,81422.12617874146,112472.52647018433,19274.341342926025
1-O-myristoyl-Cer(d18:1/16:0),-0.02845299186866547,6.588645267112011,0.002316161797538796,0.9616154118603232,0.9999800194571477,Cer,52282.40361404419,51031.74311065674,29999.60227203369,47704.262954711914,41838.42319107056,46942.16307449341,50195.963748931885,49277.52336502075,43334.30277252197
1-O-palmitoyl-Cer(d18:1/16:0),-0.007986012851359001,6.420888846513315,1.822469369017199e-4,0.9892289761133621,0.9999800194571477,Cer,37671.40256881714,41503.562911987305,30627.382152557373,38626.942794799805,38395.3628578186,41863.74258804321,41158.282787323,40904.52328491211,50665.82361602783
1-O-stearoyl-Cer(d18:1/16:0),0.09255329132866931,6.2515700660533815,0.02433290691203638,0.8760408358325575,0.9999800194571477,Cer,39907.92282104492,41409.22291183472,24739.361751556396,39577.362842559814,37099.262493133545,34317.60231781006,35969.52249908447,40138.9030418396,32940.40257644653
1-O-tricosanoyl-Cer(d18:1/16:0),0.12594561379524757,6.403935743881481,0.044966384182615116,0.8320658530762495,0.9999800194571477,Cer,46462.44305038452,36770.78251647949,26529.861740112305,74690.7049446106,34747.30205154419,36280.562450408936,43573.80286026001,47277.84367752075,21537.66153717041
1-O-tricosanoyl-Cer(d18:1/18:0),0.09709331924500159,4.577259687767924,0.026766121548234878,0.8700432499277551,0.9999800194571477,Cer,12337.640785217283,10196.060813903809,9660.040676116943,10959.840721130371,10466.840755462646,10864.320823669434,11811.08076095581,10880.9607963562,12759.900817871094
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",0.25605855761542373,13.192112621932646,0.184327101232453,0.6676806705096948,0.9999800194571477,CAR,5415979.7744140625,3846312.868652344,4968330.218261719,4577722.708984375,4138307.3325195312,4530618.3974609375,4468202.2490234375,4224210.512207031,2428656.8916015625
12:0 Cholesteryl ester,0.24610439653204563,8.298147476294613,0.17038357874116627,0.6797711339120214,0.9999800194571477,CE,200241.51499938965,196464.39416503903,191143.31437683103,48828.74309921265,50371.44329452515,186232.6936645508,183007.07179260257,49461.103244781494,158999.98956298828
12:0 Cholesteryl ester_2,0.16498178028149915,8.267013719688897,0.07697474401356885,0.7814397937548266,0.9999800194571477,CE,185237.65446472168,194796.03422546387,182998.5949554443,46823.283615112305,44904.20314788818,189840.21322631836,177894.63215637207,54207.28388977051,163044.15301513672
14:0 Cholesteryl ester,0.4129551570948649,7.701036544326363,0.474228339876845,0.4910483388635886,0.9999800194571477,CE,105610.56730651855,107985.74781799316,168315.25177001953,36109.662437438965,35977.82231903076,104420.42792510986,109004.62704467772,49358.223373413086,85346.74568939209
14:1 Cholesteryl ester,0.3804688991477788,7.697478866538733,0.40348237927264563,0.5252962691616659,0.9999800194571477,CE,109536.30744934082,108556.44799804688,160008.3309020996,36776.74267196655,35528.5424118042,103682.6265411377,112287.36878967284,47979.98323059082,91728.62675476074
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester,0.31737712179455096,8.97646191055752,0.2820038021709479,0.5953908515932657,0.9999800194571477,CE,306373.8005371094,299731.0216064453,295858.30310058594,112840.5672302246,105376.86743164062,274064.7186279297,268143.77795410156,100182.9266052246,268696.0985107422
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester_2,0.32002977591155535,8.994250072079286,0.286685280239908,0.5923525529877085,0.9999800194571477,CE,303455.8826904297,299659.14196777344,302988.9415283203,112044.8677368164,106071.48748779295,278048.1408691406,271687.5393066406,96428.72689819336,281328.5203857422
15:0 Cholesteryl ester,0.2752515047218322,8.871160585494026,0.21271888315277465,0.6446446666665154,0.9999800194571477,CE,266860.19885253906,267613.71813964844,272503.86083984375,114434.50775146484,111157.34732055664,258305.59765625,248950.81713867188,102162.18740844728,248100.27880859375
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester,0.27935040811537676,9.026165538535295,0.21904129583799659,0.6397713756882635,0.9999800194571477,CE,297769.2003173828,290351.58154296875,308943.9620361328,124084.7282409668,119824.3484802246,286384.1994628906,276976.9796142578,111654.76879882812,282264.8193359375
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester_2,0.2576938350307139,9.035898548722447,0.1866663474993402,0.6657057926701985,0.9999800194571477,CE,301401.74060058594,287615.060546875,309998.6005859375,119055.92895507812,120952.50833129884,293948.66052246094,278041.7590332031,112872.2681274414,287922.24072265625
15:1 Cholesteryl ester,0.31791495276085663,8.91678651652894,0.28294977725664694,0.5947743140760081,0.9999800194571477,CE,284971.76025390625,274811.8981933594,285592.7198486328,114059.18821716309,115133.86862182616,261043.47790527344,247970.59814453125,107635.2876586914,255572.7781982422
16:0 Campesteryl ester | 17:0 Cholesteryl ester,1.0685112903049965,8.92421440777546,3.0104580634870217,0.08272890953603819,0.9999800194571477,CE,351679.80712890625,393651.0072021485,180673.55206298828,528545.7402648926,78532.206298828125,249489.0998535156,160506.25076293945,47949.46321105957,121273.30940246582
16:0 Campesteryl ester | 17:0 Cholesteryl ester_2,1.0972792968727787,8.900634686493444,3.1665252578969785,0.07516219699588997,0.9999800194571477,CE,337068.3601837158,390498.6081542969,178450.37184143066,527734.0662574768,75855.20571899414,240007.47801208496,151672.46923828125,50140.58383560181,125768.08905029295
16:2 Campesteryl ester,1.1075103918909905,8.873479655377224,3.2228626365033506,0.07261653544400598,0.9999800194571477,CE,337974.6212387085,383311.68368530273,173929.8528137207,523835.7752380371,71962.5654296875,239180.9777069092,147526.39030456543,45947.08301925659,117353.56846618652
"16:2 Cholesteryl ester, zymosteryl palmitoleate",0.3247492007712215,9.00656940627418,0.295107213081792,0.5869661434887837,0.9999800194571477,CE,297905.1613769531,287947.70153808594,311092.66162109375,121413.6282043457,118804.1879272461,276360.1994628906,269447.4189453125,107576.0082397461,274790.7999267578
16:3 Campesteryl ester,1.1113711363774237,8.851338260314177,3.2442343809357226,0.07167517022592615,0.9999800194571477,CE,331275.62284851074,373961.9270172119,172677.89218139648,515711.15589141846,74763.10524368286,234669.65798187256,144066.910446167,46587.88315200806,114802.70822143556
16:3 Cholesteryl ester,0.3049239878878486,8.967984720099945,0.26052958632408263,0.6097565551940701,0.9999800194571477,CE,294535.90087890625,284794.66064453125,298385.6613769531,113194.88842773438,113224.94805908205,274137.7209472656,262840.2385253906,104622.92736816406,268572.4782714844
16:3 Stigmasteryl ester,0.9460678648050557,9.210671852994471,2.3856979777374363,0.12245019036070406,0.9999800194571477,CE,411188.2872314453,460511.33279418945,242870.8171234131,562328.8849334717,103573.42597198486,301400.6235656738,207753.87649536133,79884.74600219727,174687.61349487305
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester",0.9467705432951335,9.419587305786813,2.389100882503044,0.12218388479543518,0.9999800194571477,CE,499268.83602905273,530913.7354736328,301160.1184692383,602502.1294021606,107037.6085472107,360051.70681762695,252912.35702514648,69250.00426864624,197711.39486694336
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester_2",0.9029635201883999,9.400990019249951,2.1813571842576494,0.13969122945303672,0.9999800194571477,CE,479157.2927246094,521070.05615234375,297985.96279907227,599676.2238388062,98678.10720062256,372578.784576416,249793.495513916,65956.20474243164,197452.61389160156
