lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,DOD100-M1-WT-cerebellum10x_01202023,DOD99-M2-WT-cerebellum10x_01202023,M5FAD173-WT-Cerebellum10x_01192023,DOD100-M1-WT-diencephalon10x_01202023,DOD99-M2-WT-diencephalon10x_01202023,M5FAD173-WT-Diencephalon10x_01192023,10xBlank_01202023
Lyso_PE(18:4),3.2536875412558866,10.774826595332954,22.11144027332557,2.5727194852244534e-6,0.0038513610693810068,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,PE,83877.54577636719,6150566.934814453,200389.6328125,79140.36560058594,356090.884765625,173677.85327148438,48831.60382080078
Cer(d18:2/14:0),3.1011616866582528,10.450062460578783,20.359093020435466,6.418734673294817e-6,0.004804422902961171,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,Cer,2201829.3760795593,159849.03102111816,1778216.844497681,174427.89269256592,152164.46856689453,190887.815322876,40619.60283660889
Cer(d18:2/22:0),2.9863156542061025,13.50383037035268,19.068139522057987,1.2613311969497872e-5,0.006294042672779438,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,Cer,18541628.17749023,3105733.204589844,12921832.19946289,1038344.095703125,2183185.178466797,1487201.7111816406,284826.11853027344
Lyso_PS(20:2) | PS (20:2)_2,-2.6795139111363016,9.224012755074531,15.751432122153345,7.223323528356112e-5,0.027033288304872748,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,PS,31775.56214904785,66992.96417236328,164607.43182373047,162181.99141311646,1324859.714050293,366582.3260498047,80939.62471008301
Lyso_PS(20:2) | PS (20:2),-2.502943164123971,9.180471248878803,13.939783663292474,1.8876072129984727e-4,0.05651495995717427,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,PS,32369.82244873047,81246.446533203125,172152.21444702148,53945.304470062256,1309739.403869629,406250.045715332,78611.82608032227
Cer(d18:1/22:0),2.2963056549805834,9.3135194417553,11.920559663789618,5.551779909004178e-4,0.12523994814238437,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,Cer,870953.7059364319,265908.45905303955,623142.6586608887,100939.0463218689,160411.19227600098,119152.56928253174,49472.7434463501
CerP(d18:1/16:0),2.285813458697973,9.383117357217506,11.821125989648863,5.856243400111494e-4,0.12523994814238437,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,Cer,915789.8233413696,289944.86196136475,641735.2017593384,105640.08877563477,175879.49389648438,121013.00926208496,51915.16375732422
PE (18:4),2.1760368126161915,8.90127641861023,10.79948457498449,0.0010152835877630534,0.18998494136016136,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,PE,74175.2445678711,1346482.1478881836,78917.62585449219,75838.524658203125,128224.16918945312,94541.1865234375,71615.00396728516
"(11Z,14Z)-eicosadienoylcarnitine",0.10324761008732518,11.577048169252015,0.026493763616599608,0.8707002778171183,0.9998095645404647,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,CAR,1408351.625,1448199.4814453125,1567602.6728515625,1332756.2084960938,1313436.7885742188,1536662.2856445312,1833013.6752929688
(11Z)-eicoseneoylcarnitine,0.09011570095129745,11.567941284400746,0.020183971497317543,0.8870244735827961,0.9998095645404647,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,CAR,1410061.365234375,1453789.9145507812,1548320.9340820312,1300758.2841796875,1356376.1943359375,1553075.8388671875,1770335.1005859375
"(13Z,16Z)-docosadienoylcarnitine",0.3292224387795775,11.645083866377366,0.2688531424209941,0.6041021334938779,0.9998095645404647,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,CAR,1334500.4373779297,1392547.188293457,2235124.575866699,1284612.1057128906,1277668.0494384766,1509455.984741211,1846519.2565917969
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",-0.08612558379313519,12.175559928025914,0.01843641723098699,0.8919945943623466,0.9998095645404647,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,CAR,2215148.1447753906,2234323.5102539062,2256080.6622314453,3004035.1204833984,2011026.9294433591,2188599.0122070312,2077579.7651367188
"(5Z,8Z)-tetradecadienoylcarnitine",1.7382107760895746,16.384515250160067,7.096074353808685,0.00772529698567074,0.9998095645404647,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,CAR,97017264.0888672,62660995.83984375,69671289.73339844,15439015.444335938,37982357.49316406,18655737.474609375,1785924.2541503906
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",0.17199561450785386,11.41393865462064,0.07349434147909051,0.7863153535544523,0.9998095645404647,3,3,Genotype_ WT | Brain Region_ cerebellum,Genotype_ WT | Brain Region_ diencephalon,CAR,1186263.4771728516,1201712.4168701172,1592147.222290039,1148186.4895019531,1091271.1774902344,1370722.953857422,1684194.2908935547
