Lipid,Class,DOD73-5xFAD-M2liver,FAD131-5xFAD-M1liver,FAD131-5xFAD-M2liver,FAD131-5xFAD-M4liver,FAD173-5xFAD-M1liver,DOD93_F4_Female_5xFAD_cerebellum,DOD93_F4_Female_5xFAD_cortex ,DOD93_F4_Female_5xFAD_diencephalon,DOD93_F4_Female_5xFAD_hippocampus,DOD94_F4_Female_5xFAD_cerebellum,DOD94_F4_Female_5xFAD_cortex ,DOD94_F4_Female_5xFAD_diencephalon,DOD94_F4_Female_5xFAD_hippocampus,FAD185_M1_Male_5xFAD_cerebellum,FAD185_M1_Male_5xFAD_cortex ,FAD185_M1_Male_5xFAD_diencephalon,FAD185_M1_Male_5xFAD_hippocampus,FAD185_M3_Male_5xFAD_cerebellum,FAD185_M3_Male_5xFAD_cortex ,FAD185_M3_Male_5xFAD_diencephalon,FAD185_M3_Male_5xFAD_hippocampus,FAD189_M1_Male_5xFAD_cerebellum,FAD189_M1_Male_5xFAD_cortex ,FAD189_M1_Male_5xFAD_diencephalon,FAD189_M1_Male_5xFAD_hippocampus,FAD189_M2_Male_5xFAD_cerebellum,FAD189_M2_Male_5xFAD_cortex ,FAD189_M2_Male_5xFAD_diencephalon,FAD189_M2_Male_5xFAD_hippocampus,Blank_Blank_Blank_Blank_Blank,Title1,Title2,Title,length1,length2,Blank_name
1-O-behenoyl-Cer(d18:1/16:0),Cer,34993.262214660645,49269.7829246521,65962.30405426025,11506.880954742432,35531.70199584961,9689.680694580078,8577.140621185303,8721.760601043701,8568.220588684082,8318.060626983643,8411.740604400635,7482.000534057617,7539.040561676025,6651.2405128479,8606.400630950928,8591.540615081787,9422.880630493164,8121.900547027588,8032.560604095459,8456.700565338135,8103.28050994873,8728.280662536621,9455.100658416748,7244.800518035889,7853.820575714111,9943.4807472229,8996.280673980713,7988.360569000244,7526.620525360107,13441.081062316896,Genotype: 5xFAD | Brain Region: Liver,Genotype: 5xFAD | Brain Region: hippocampus cortex  cerebellum diencephalon,Genotype: 5xFAD__Brain Region: Liver vs Genotype: 5xFAD__Brain Region: hippocampus cortex  cerebellum diencephalon,5,24,Blank_Blank_Blank_Blank_Blank
1-O-carboceroyl-Cer(d18:1/18:0),Cer,7887.820468902588,10345.180625915527,10388.600868225098,4972.780319213867,8970.620422363281,5799.040378570557,5413.460395812988,5578.660442352295,6196.2203941345215,5115.880325317383,5130.460311889648,5487.040382385254,5558.380397796631,5350.420387268066,5083.880325317383,4904.220375061035,4728.700328826904,5962.440380096436,4992.280368804932,5379.720378875732,5426.940364837647,5874.600440979004,5169.540332794189,5725.460376739502,4840.38032913208,5175.200336456299,5385.900367736816,5644.440383911133,6039.360454559326,10754.940727233889,Genotype: 5xFAD | Brain Region: Liver,Genotype: 5xFAD | Brain Region: hippocampus cortex  cerebellum diencephalon,Genotype: 5xFAD__Brain Region: Liver vs Genotype: 5xFAD__Brain Region: hippocampus cortex  cerebellum diencephalon,5,24,Blank_Blank_Blank_Blank_Blank
1-O-cerotoyl-Cer(d18:1/16:0),Cer,56626.68326950073,118284.70900344849,124009.04661560059,21522.681526184082,91505.28868865967,7474.940441131592,7802.7805519104,7981.360595703125,8040.980537414551,8573.660594940186,8101.120586395264,8647.680599212646,8830.200618743896,7565.280529022217,7682.240562438965,7001.560474395752,7963.640594482422,7315.440525054932,7889.780548095703,7538.640537261963,7556.000484466553,7504.920520782471,7599.900527954102,7471.060592651367,8617.040580749512,7392.36047744751,8540.080627441406,8155.760627746582,7841.540504455566,27056.321769714355,Genotype: 5xFAD | Brain Region: Liver,Genotype: 5xFAD | Brain Region: hippocampus cortex  cerebellum diencephalon,Genotype: 5xFAD__Brain Region: Liver vs Genotype: 5xFAD__Brain Region: hippocampus cortex  cerebellum diencephalon,5,24,Blank_Blank_Blank_Blank_Blank
1-O-cerotoyl-Cer(d18:1/18:0),Cer,16180.161041259766,30063.662281036377,28952.962230682373,10819.9807472229,29125.741970062256,7792.660556793213,7725.420509338379,6294.140449523926,8824.200637817383,7122.800559997559,7911.000511169434,6836.120529174805,6892.3405113220215,6531.320476531982,6025.6804122924805,7272.500537872314,7387.7204666137695,6674.2204513549805,6531.6804122924805,6505.300563812256,6929.780529022217,6680.120403289795,6861.660495758057,7301.840469360352,7407.040462493896,6891.000469207764,6835.160507202148,6282.000431060791,7077.020511627197,68355.16482543945,Genotype: 5xFAD | Brain Region: Liver,Genotype: 5xFAD | Brain Region: hippocampus cortex  cerebellum diencephalon,Genotype: 5xFAD__Brain Region: Liver vs Genotype: 5xFAD__Brain Region: hippocampus cortex  cerebellum diencephalon,5,24,Blank_Blank_Blank_Blank_Blank
1-O-eicosanoyl-Cer(d18:1/16:0),Cer,11178.260723114014,12303.560836791992,12328.060791015625,9729.480697631836,11770.480796813965,9364.940658569336,9810.380699157717,9463.600631713867,9922.920711517334,9801.420639038086,10066.900783538818,10230.800720214844,10515.620750427246,9414.240657806396,10164.000652313232,9587.62073135376,9144.52071762085,8958.880603790283,9522.38064956665,9831.780689239502,9044.040603637695,9010.560565948486,9627.140628814695,9431.900661468506,9532.360694885254,10723.620670318604,8906.200630187988,11028.820724487305,7362.540512084961,13193.50090789795,Genotype: 5xFAD | Brain Region: Liver,Genotype: 5xFAD | Brain Region: hippocampus cortex  cerebellum diencephalon,Genotype: 5xFAD__Brain Region: Liver vs Genotype: 5xFAD__Brain Region: hippocampus cortex  cerebellum diencephalon,5,24,Blank_Blank_Blank_Blank_Blank
1-O-lignoceroyl-Cer(d18:1/16:0),Cer,128046.36904907227,237023.6909790039,280851.90058898926,27560.402072906494,214795.79314422607,6948.380500793457,7057.380542755127,9130.20064163208,9591.080646514893,9086.820735931396,9158.640632629396,7684.760482788086,9780.680618286133,7164.900501251221,8036.820648193359,6957.680545806885,8497.62064743042,7889.580490112305,7571.140548706055,8124.060531616211,6567.540424346924,9662.620708465576,8321.620628356934,9102.000686645508,8389.480564117432,8948.160636901855,8472.860595703125,7994.120590209961,8646.800594329834,13192.94090270996,Genotype: 5xFAD | Brain Region: Liver,Genotype: 5xFAD | Brain Region: hippocampus cortex  cerebellum diencephalon,Genotype: 5xFAD__Brain Region: Liver vs Genotype: 5xFAD__Brain Region: hippocampus cortex  cerebellum diencephalon,5,24,Blank_Blank_Blank_Blank_Blank
1-O-pentacosanoyl-Cer(d18:1/16:0),Cer,113573.20904159546,235828.2760810852,286637.5709724426,26846.222297668457,188823.78869247437,9166.600620269775,8940.48063659668,7604.800563812256,8188.280567169189,7844.560554504394,9711.52070236206,8546.240688323975,8967.700687408447,7688.400592803955,7200.280479431152,8537.620693206787,9095.020606994629,7641.720508575439,7675.76053237915,9896.980716705322,7373.140491485596,8867.580646514893,7982.120601654053,7627.180492401123,8424.600608825684,8476.04061126709,8871.46057510376,8867.140655517578,8506.620639801025,12938.94090270996,Genotype: 5xFAD | Brain Region: Liver,Genotype: 5xFAD | Brain Region: hippocampus cortex  cerebellum diencephalon,Genotype: 5xFAD__Brain Region: Liver vs Genotype: 5xFAD__Brain Region: hippocampus cortex  cerebellum diencephalon,5,24,Blank_Blank_Blank_Blank_Blank
1-O-tricosanoyl-Cer(d18:1/16:0),Cer,135550.37031173706,242584.0573272705,295372.82263565063,26276.462158203125,214653.89820480347,9683.500770568848,9297.44063949585,9360.44066619873,9959.060760498049,8104.660575866699,8682.920627593994,8225.540557861328,9261.020671844482,8411.940547943115,9140.360649108889,8683.720638275146,7998.040481567383,9123.76065826416,8521.640590667725,8911.160659790039,8090.720592498779,8241.660564422607,7924.540603637695,8944.500610351562,8871.680603027344,9300.860637664797,8394.86054611206,9326.140670776367,10224.440731048584,13541.00082397461,Genotype: 5xFAD | Brain Region: Liver,Genotype: 5xFAD | Brain Region: hippocampus cortex  cerebellum diencephalon,Genotype: 5xFAD__Brain Region: Liver vs Genotype: 5xFAD__Brain Region: hippocampus cortex  cerebellum diencephalon,5,24,Blank_Blank_Blank_Blank_Blank
1-O-tricosanoyl-Cer(d18:1/18:0),Cer,5155.200401306152,5557.080352783203,5012.480361938477,4540.9603271484375,4959.780361175537,5406.7203941345215,5353.00036239624,5483.860397338867,4845.380363464356,5042.760368347168,4756.000324249268,5524.400386810303,5247.520420074463,5538.38037109375,4806.460300445557,4302.840286254883,4462.100303649902,4207.600303649902,4541.100345611572,4359.140319824219,4042.78031539917,4185.040294647217,4736.000328063965,5430.340396881104,4141.960292816162,4203.360305786133,4317.760311126709,4872.92036819458,4958.100357055664,7750.14049911499,Genotype: 5xFAD | Brain Region: Liver,Genotype: 5xFAD | Brain Region: hippocampus cortex  cerebellum diencephalon,Genotype: 5xFAD__Brain Region: Liver vs Genotype: 5xFAD__Brain Region: hippocampus cortex  cerebellum diencephalon,5,24,Blank_Blank_Blank_Blank_Blank
CAR,CAR,43697.62292480469,44859.34295654297,48166.002868652344,44927.50329589844,63015.04455566406,48045.42339324951,44588.18323516846,43833.5830078125,44582.10324859619,44804.78328704834,45051.662799835205,46375.6432800293,44112.16289901733,42941.82299804688,45573.5832824707,43133.10283660889,44156.24300765991,45300.703125,43828.32273101807,44140.14300537109,43946.92301940918,44319.92311859131,42878.10280609131,43654.66324234009,44124.86301803589,44849.38299560547,45222.9833984375,45301.8030090332,42652.34308624268,43366.06298828125,Genotype: 5xFAD | Brain Region: Liver,Genotype: 5xFAD | Brain Region: hippocampus cortex  cerebellum diencephalon,Genotype: 5xFAD__Brain Region: Liver vs Genotype: 5xFAD__Brain Region: hippocampus cortex  cerebellum diencephalon,5,24,Blank_Blank_Blank_Blank_Blank
