Lipid,Class,DOD93_F4_Female_5xFAD_cerebellum,DOD93_F4_Female_5xFAD_cortex ,DOD93_F4_Female_5xFAD_diencephalon,DOD93_F4_Female_5xFAD_hippocampus,DOD94_F4_Female_5xFAD_cerebellum,DOD94_F4_Female_5xFAD_cortex ,DOD94_F4_Female_5xFAD_diencephalon,DOD94_F4_Female_5xFAD_hippocampus,FAD185_M1_Male_5xFAD_cerebellum,FAD185_M1_Male_5xFAD_cortex ,FAD185_M1_Male_5xFAD_diencephalon,FAD185_M1_Male_5xFAD_hippocampus,FAD185_M3_Male_5xFAD_cerebellum,FAD185_M3_Male_5xFAD_cortex ,FAD185_M3_Male_5xFAD_diencephalon,FAD185_M3_Male_5xFAD_hippocampus,FAD189_M1_Male_5xFAD_cerebellum,FAD189_M1_Male_5xFAD_cortex ,FAD189_M1_Male_5xFAD_diencephalon,FAD189_M1_Male_5xFAD_hippocampus,FAD189_M2_Male_5xFAD_cerebellum,FAD189_M2_Male_5xFAD_cortex ,FAD189_M2_Male_5xFAD_diencephalon,FAD189_M2_Male_5xFAD_hippocampus,DOD94_F3_Female_WT_cerebellum,DOD94_F3_Female_WT_cortex ,DOD94_F3_Female_WT_diencephalon,DOD94_F3_Female_WT_hippocampus,FAD184_F3_Female_WT_cerebellum,FAD184_F3_Female_WT_cortex ,FAD184_F3_Female_WT_diencephalon,FAD184_F3_Female_WT_hippocampus,FAD184_F4_Female_WT_cerebellum,FAD184_F4_Female_WT_cortex ,FAD184_F4_Female_WT_diencephalon,FAD184_F4_Female_WT_hippocampus,FAD185_M4_Male_WT_cerebellum,FAD185_M4_Male_WT_cortex ,FAD185_M4_Male_WT_diencephalon,FAD185_M4_Male_WT_hippocampus,FAD189_M3_Male_WT_cerebellum,FAD189_M3_Male_WT_cortex ,FAD189_M3_Male_WT_diencephalon,FAD189_M3_Male_WT_hippocampus,Blank_Blank_Blank_Blank_Blank,Title1,Title2,Title,length1,length2,Blank_name
1-O-behenoyl-Cer(d18:1/16:0),Cer,9689.680694580078,8577.140621185303,8721.760601043701,8568.220588684082,8318.060626983643,8411.740604400635,7482.000534057617,7539.040561676025,6651.2405128479,8606.400630950928,8591.540615081787,9422.880630493164,8121.900547027588,8032.560604095459,8456.700565338135,8103.2805099487305,8728.280662536621,9455.100658416748,7244.800518035889,7853.820575714111,9943.4807472229,8996.280673980713,7988.360569000244,7526.620525360107,9103.68058013916,8556.320613861084,8496.220573425293,9405.820568084717,9683.860694885254,9057.300678253174,7950.900543212891,9459.980648040771,8625.36058807373,9157.600639343262,7859.120552062988,10246.540729522705,8661.080646514893,8372.62056350708,7816.26053237915,9328.74059677124,9001.020645141602,7941.820571899414,8907.860569000244,8502.580646514893,13441.081062316895,Dilution Factor: 2x | Genotype: 5xFAD,Dilution Factor: 2x | Genotype: WT,Dilution Factor: 2x__Genotype: 5xFAD vs Dilution Factor: 2x__Genotype: WT,24,20,Blank_Blank_Blank_Blank_Blank
1-O-carboceroyl-Cer(d18:1/18:0),Cer,5799.040378570557,5413.460395812988,5578.660442352295,6196.2203941345215,5115.880325317383,5130.460311889648,5487.040382385254,5558.380397796631,5350.420387268066,5083.880325317383,4904.220375061035,4728.700328826904,5962.440380096436,4992.280368804932,5379.720378875732,5426.9403648376465,5874.600440979004,5169.540332794189,5725.460376739502,4840.38032913208,5175.200336456299,5385.900367736816,5644.440383911133,6039.360454559326,5613.700408935547,5586.460422515869,5174.560375213623,6342.060436248779,5562.780384063721,5187.240390777588,4784.540294647217,6090.04044342041,4875.940368652344,5140.6403884887695,5014.100399017334,4964.380420684814,5883.54044342041,5207.060371398926,5258.760345458984,6087.420398712158,5280.9404220581055,5650.460433959961,5710.500385284424,4769.1403160095215,10754.940727233887,Dilution Factor: 2x | Genotype: 5xFAD,Dilution Factor: 2x | Genotype: WT,Dilution Factor: 2x__Genotype: 5xFAD vs Dilution Factor: 2x__Genotype: WT,24,20,Blank_Blank_Blank_Blank_Blank
1-O-cerotoyl-Cer(d18:1/16:0),Cer,7474.940441131592,7802.7805519104,7981.360595703125,8040.980537414551,8573.660594940186,8101.120586395264,8647.680599212646,8830.200618743896,7565.280529022217,7682.240562438965,7001.560474395752,7963.640594482422,7315.440525054932,7889.780548095703,7538.640537261963,7556.000484466553,7504.920520782471,7599.900527954102,7471.060592651367,8617.040580749512,7392.36047744751,8540.080627441406,8155.760627746582,7841.540504455566,9730.06069946289,8935.140686035156,7649.420539855957,8820.540557861328,8437.140621185303,7529.460517883301,8817.300662994385,8016.700466156006,7827.200603485107,7177.440525054932,7100.140510559082,6966.1005210876465,8735.280536651611,9290.400688171387,8148.64066696167,8501.54056930542,8516.400615692139,7143.50057220459,7521.940540313721,9123.6806640625,27056.321769714355,Dilution Factor: 2x | Genotype: 5xFAD,Dilution Factor: 2x | Genotype: WT,Dilution Factor: 2x__Genotype: 5xFAD vs Dilution Factor: 2x__Genotype: WT,24,20,Blank_Blank_Blank_Blank_Blank
1-O-cerotoyl-Cer(d18:1/18:0),Cer,7792.660556793213,7725.420509338379,6294.140449523926,8824.200637817383,7122.800559997559,7911.000511169434,6836.120529174805,6892.3405113220215,6531.320476531982,6025.6804122924805,7272.500537872314,7387.7204666137695,6674.2204513549805,6531.6804122924805,6505.300563812256,6929.780529022217,6680.120403289795,6861.660495758057,7301.840469360352,7407.0404624938965,6891.000469207764,6835.160507202148,6282.000431060791,7077.020511627197,8455.640617370605,7825.100547790527,7492.200531005859,8471.44058227539,7462.060451507568,7308.280502319336,6579.980453491211,8289.540588378906,7081.580478668213,7817.520641326904,7610.340576171875,7708.760517120361,6981.180500030518,6837.580448150635,6925.360507965088,7972.80057144165,7391.100601196289,5950.34041595459,7045.340488433838,7738.960517883301,68355.16482543945,Dilution Factor: 2x | Genotype: 5xFAD,Dilution Factor: 2x | Genotype: WT,Dilution Factor: 2x__Genotype: 5xFAD vs Dilution Factor: 2x__Genotype: WT,24,20,Blank_Blank_Blank_Blank_Blank
1-O-eicosanoyl-Cer(d18:1/16:0),Cer,9364.940658569336,9810.380699157715,9463.600631713867,9922.920711517334,9801.420639038086,10066.900783538818,10230.800720214844,10515.620750427246,9414.240657806396,10164.000652313232,9587.62073135376,9144.52071762085,8958.880603790283,9522.38064956665,9831.780689239502,9044.040603637695,9010.560565948486,9627.140628814697,9431.900661468506,9532.360694885254,10723.620670318604,8906.200630187988,11028.820724487305,7362.540512084961,10079.72078704834,11419.08081817627,10387.820693969727,11664.580917358398,11471.380874633789,8188.940574645996,9513.240711212158,11893.50090789795,9993.420696258545,9193.160587310791,10665.660808563232,10403.620761871338,10219.000663757324,9565.300636291504,8926.260597229004,10325.38069152832,10520.740711212158,8808.120651245117,10403.060832977295,9717.960689544678,13193.50090789795,Dilution Factor: 2x | Genotype: 5xFAD,Dilution Factor: 2x | Genotype: WT,Dilution Factor: 2x__Genotype: 5xFAD vs Dilution Factor: 2x__Genotype: WT,24,20,Blank_Blank_Blank_Blank_Blank
1-O-lignoceroyl-Cer(d18:1/16:0),Cer,6948.380500793457,7057.380542755127,9130.20064163208,9591.080646514893,9086.820735931396,9158.640632629395,7684.760482788086,9780.680618286133,7164.900501251221,8036.820648193359,6957.680545806885,8497.62064743042,7889.580490112305,7571.140548706055,8124.060531616211,6567.540424346924,9662.620708465576,8321.620628356934,9102.000686645508,8389.480564117432,8948.160636901855,8472.860595703125,7994.120590209961,8646.800594329834,8531.740585327148,9121.740673065186,8720.80062866211,8999.600646972656,8534.840595245361,7323.460487365723,8613.98063659668,7377.740520477295,8146.100612640381,8253.400569915771,7778.780536651611,6880.700462341309,6952.5604820251465,8650.720581054688,8245.660610198975,8535.900554656982,7945.700611114502,9187.500675201416,8062.280567169189,9617.800693511963,13192.940902709961,Dilution Factor: 2x | Genotype: 5xFAD,Dilution Factor: 2x | Genotype: WT,Dilution Factor: 2x__Genotype: 5xFAD vs Dilution Factor: 2x__Genotype: WT,24,20,Blank_Blank_Blank_Blank_Blank
1-O-pentacosanoyl-Cer(d18:1/16:0),Cer,9166.600620269775,8940.48063659668,7604.800563812256,8188.280567169189,7844.5605545043945,9711.52070236206,8546.240688323975,8967.700687408447,7688.400592803955,7200.280479431152,8537.620693206787,9095.020606994629,7641.720508575439,7675.76053237915,9896.980716705322,7373.140491485596,8867.580646514893,7982.120601654053,7627.180492401123,8424.600608825684,8476.04061126709,8871.46057510376,8867.140655517578,8506.620639801025,8585.500629425049,8972.260669708252,8967.060626983643,9322.560707092285,8184.160671234131,9798.38064956665,8897.120693206787,8441.600650787354,7845.4605140686035,7844.500450134277,9009.400581359863,8661.54063796997,8179.280578613281,9663.680641174316,8450.26053237915,8803.960636138916,8828.020603179932,7633.620571136475,6795.100513458252,7818.540576934814,12938.940902709961,Dilution Factor: 2x | Genotype: 5xFAD,Dilution Factor: 2x | Genotype: WT,Dilution Factor: 2x__Genotype: 5xFAD vs Dilution Factor: 2x__Genotype: WT,24,20,Blank_Blank_Blank_Blank_Blank
1-O-tricosanoyl-Cer(d18:1/16:0),Cer,9683.500770568848,9297.44063949585,9360.44066619873,9959.060760498047,8104.660575866699,8682.920627593994,8225.540557861328,9261.020671844482,8411.940547943115,9140.360649108887,8683.720638275146,7998.040481567383,9123.76065826416,8521.640590667725,8911.160659790039,8090.720592498779,8241.660564422607,7924.540603637695,8944.500610351562,8871.680603027344,9300.860637664795,8394.86054611206,9326.140670776367,10224.440731048584,9094.540645599365,9035.960704803467,10158.96078491211,9305.840671539307,9039.380615234375,7791.880554199219,9446.380672454834,8322.800582885742,8792.560592651367,7576.020568847656,7974.500499725342,7525.360569000244,9397.540691375732,9130.02063369751,8991.360679626465,9259.840599060059,9237.920612335205,8344.720603942871,7866.760555267334,8220.380592346191,13541.00082397461,Dilution Factor: 2x | Genotype: 5xFAD,Dilution Factor: 2x | Genotype: WT,Dilution Factor: 2x__Genotype: 5xFAD vs Dilution Factor: 2x__Genotype: WT,24,20,Blank_Blank_Blank_Blank_Blank
1-O-tricosanoyl-Cer(d18:1/18:0),Cer,5406.7203941345215,5353.00036239624,5483.860397338867,4845.3803634643555,5042.760368347168,4756.000324249268,5524.400386810303,5247.520420074463,5538.38037109375,4806.460300445557,4302.840286254883,4462.100303649902,4207.600303649902,4541.100345611572,4359.140319824219,4042.78031539917,4185.040294647217,4736.000328063965,5430.3403968811035,4141.960292816162,4203.360305786133,4317.760311126709,4872.92036819458,4958.100357055664,4893.760341644287,5664.36043548584,4514.820331573486,5088.340351104736,4238.9403076171875,5018.540355682373,5031.420360565186,5432.660427093506,4325.000301361084,4554.840305328369,4816.900321960449,4244.940311431885,4082.3402976989746,4670.720272064209,4763.640342712402,4582.320308685303,5002.220348358154,4828.840335845947,5930.140460968018,4383.0402908325195,7750.14049911499,Dilution Factor: 2x | Genotype: 5xFAD,Dilution Factor: 2x | Genotype: WT,Dilution Factor: 2x__Genotype: 5xFAD vs Dilution Factor: 2x__Genotype: WT,24,20,Blank_Blank_Blank_Blank_Blank
CAR,CAR,48045.42339324951,44588.18323516846,43833.5830078125,44582.10324859619,44804.78328704834,45051.662799835205,46375.6432800293,44112.162899017334,42941.822998046875,45573.5832824707,43133.10283660889,44156.24300765991,45300.703125,43828.32273101807,44140.143005371094,43946.92301940918,44319.92311859131,42878.10280609131,43654.66324234009,44124.86301803589,44849.38299560547,45222.9833984375,45301.8030090332,42652.343086242676,44239.42311859131,46690.843338012695,43585.40316390991,45458.96347427368,45977.123149871826,45878.46336364746,45474.48294067383,45654.92342758179,44137.56300354004,44235.50297164917,45143.28335571289,44922.58319091797,46440.56329345703,47234.3635559082,43209.50308227539,45818.92294692993,44907.54349899292,45410.30307006836,43425.30322265625,44214.12307739258,43366.06298828125,Dilution Factor: 2x | Genotype: 5xFAD,Dilution Factor: 2x | Genotype: WT,Dilution Factor: 2x__Genotype: 5xFAD vs Dilution Factor: 2x__Genotype: WT,24,20,Blank_Blank_Blank_Blank_Blank
