Lipid,Class,DOD93_F4_Female_5xFAD_hippocampus,DOD94_F4_Female_5xFAD_hippocampus,FAD185_M1_Male_5xFAD_hippocampus,FAD185_M3_Male_5xFAD_hippocampus,FAD189_M1_Male_5xFAD_hippocampus,FAD189_M2_Male_5xFAD_hippocampus,DOD94_F3_Female_WT_hippocampus,FAD184_F3_Female_WT_hippocampus,FAD184_F4_Female_WT_hippocampus,FAD185_M4_Male_WT_hippocampus,FAD189_M3_Male_WT_hippocampus,Blank_Blank_Blank_Blank_Blank,Title1,Title2,Title,length1,length2,Blank_name
1-O-behenoyl-Cer(d18:1/16:0),Cer,8568.220588684082,7539.040561676025,9422.880630493164,8103.28050994873,7853.820575714111,7526.620525360107,9405.820568084717,9459.980648040771,10246.540729522703,9328.74059677124,8502.580646514893,13441.081062316896,Genotype: 5xFAD | Brain Region: hippocampus,Genotype: WT | Brain Region: hippocampus,Genotype: 5xFAD__Brain Region: hippocampus vs Genotype: WT__Brain Region: hippocampusAveraging_All_Across_methods2,6,5,Blank_Blank_Blank_Blank_Blank
1-O-carboceroyl-Cer(d18:1/18:0),Cer,6196.2203941345215,5558.380397796631,4728.700328826904,5426.940364837647,4840.38032913208,6039.360454559326,6342.060436248779,6090.04044342041,4964.380420684814,6087.420398712158,4769.1403160095215,10754.940727233889,Genotype: 5xFAD | Brain Region: hippocampus,Genotype: WT | Brain Region: hippocampus,Genotype: 5xFAD__Brain Region: hippocampus vs Genotype: WT__Brain Region: hippocampusAveraging_All_Across_methods2,6,5,Blank_Blank_Blank_Blank_Blank
1-O-cerotoyl-Cer(d18:1/16:0),Cer,8040.980537414551,8830.200618743896,7963.640594482422,7556.000484466553,8617.040580749512,7841.540504455566,8820.540557861328,8016.700466156006,6966.100521087647,8501.54056930542,9123.6806640625,27056.321769714355,Genotype: 5xFAD | Brain Region: hippocampus,Genotype: WT | Brain Region: hippocampus,Genotype: 5xFAD__Brain Region: hippocampus vs Genotype: WT__Brain Region: hippocampusAveraging_All_Across_methods2,6,5,Blank_Blank_Blank_Blank_Blank
1-O-cerotoyl-Cer(d18:1/18:0),Cer,8824.200637817383,6892.3405113220215,7387.7204666137695,6929.780529022217,7407.040462493896,7077.020511627197,8471.44058227539,8289.540588378906,7708.760517120361,7972.80057144165,7738.960517883301,68355.16482543945,Genotype: 5xFAD | Brain Region: hippocampus,Genotype: WT | Brain Region: hippocampus,Genotype: 5xFAD__Brain Region: hippocampus vs Genotype: WT__Brain Region: hippocampusAveraging_All_Across_methods2,6,5,Blank_Blank_Blank_Blank_Blank
1-O-eicosanoyl-Cer(d18:1/16:0),Cer,9922.920711517334,10515.620750427246,9144.52071762085,9044.040603637695,9532.360694885254,7362.540512084961,11664.580917358398,11893.50090789795,10403.620761871338,10325.38069152832,9717.960689544678,13193.50090789795,Genotype: 5xFAD | Brain Region: hippocampus,Genotype: WT | Brain Region: hippocampus,Genotype: 5xFAD__Brain Region: hippocampus vs Genotype: WT__Brain Region: hippocampusAveraging_All_Across_methods2,6,5,Blank_Blank_Blank_Blank_Blank
1-O-lignoceroyl-Cer(d18:1/16:0),Cer,9591.080646514893,9780.680618286133,8497.62064743042,6567.540424346924,8389.480564117432,8646.800594329834,8999.600646972656,7377.740520477295,6880.700462341309,8535.900554656982,9617.800693511965,13192.94090270996,Genotype: 5xFAD | Brain Region: hippocampus,Genotype: WT | Brain Region: hippocampus,Genotype: 5xFAD__Brain Region: hippocampus vs Genotype: WT__Brain Region: hippocampusAveraging_All_Across_methods2,6,5,Blank_Blank_Blank_Blank_Blank
1-O-pentacosanoyl-Cer(d18:1/16:0),Cer,8188.280567169189,8967.700687408447,9095.020606994629,7373.140491485596,8424.600608825684,8506.620639801025,9322.560707092283,8441.600650787354,8661.54063796997,8803.960636138916,7818.540576934814,12938.94090270996,Genotype: 5xFAD | Brain Region: hippocampus,Genotype: WT | Brain Region: hippocampus,Genotype: 5xFAD__Brain Region: hippocampus vs Genotype: WT__Brain Region: hippocampusAveraging_All_Across_methods2,6,5,Blank_Blank_Blank_Blank_Blank
1-O-tricosanoyl-Cer(d18:1/16:0),Cer,9959.060760498049,9261.020671844482,7998.040481567383,8090.720592498779,8871.680603027344,10224.440731048584,9305.840671539308,8322.800582885742,7525.360569000244,9259.84059906006,8220.380592346191,13541.00082397461,Genotype: 5xFAD | Brain Region: hippocampus,Genotype: WT | Brain Region: hippocampus,Genotype: 5xFAD__Brain Region: hippocampus vs Genotype: WT__Brain Region: hippocampusAveraging_All_Across_methods2,6,5,Blank_Blank_Blank_Blank_Blank
1-O-tricosanoyl-Cer(d18:1/18:0),Cer,4845.380363464356,5247.520420074463,4462.100303649902,4042.78031539917,4141.960292816162,4958.100357055664,5088.340351104736,5432.660427093506,4244.940311431885,4582.320308685303,4383.04029083252,7750.14049911499,Genotype: 5xFAD | Brain Region: hippocampus,Genotype: WT | Brain Region: hippocampus,Genotype: 5xFAD__Brain Region: hippocampus vs Genotype: WT__Brain Region: hippocampusAveraging_All_Across_methods2,6,5,Blank_Blank_Blank_Blank_Blank
CAR,CAR,44582.10324859619,44112.16289901733,44156.24300765991,43946.92301940918,44124.86301803589,42652.34308624268,45458.96347427368,45654.92342758179,44922.58319091797,45818.92294692993,44214.12307739258,43366.06298828125,Genotype: 5xFAD | Brain Region: hippocampus,Genotype: WT | Brain Region: hippocampus,Genotype: 5xFAD__Brain Region: hippocampus vs Genotype: WT__Brain Region: hippocampusAveraging_All_Across_methods2,6,5,Blank_Blank_Blank_Blank_Blank
CAR(10:0),CAR,328526.9641685486,326398.12439346313,326331.7841949463,331767.6450653076,330886.32358551025,325895.88430023193,319079.502620697,327427.4649581909,334062.26458358765,336500.48387146,331624.142780304,359584.1459960937,Genotype: 5xFAD | Brain Region: hippocampus,Genotype: WT | Brain Region: hippocampus,Genotype: 5xFAD__Brain Region: hippocampus vs Genotype: WT__Brain Region: hippocampusAveraging_All_Across_methods2,6,5,Blank_Blank_Blank_Blank_Blank
CAR(10:0)_QUAL,CAR,1526646.446876526,1534155.6398582458,1446191.0229263306,1478430.7510223389,1461154.143615723,1464119.9964790344,1443624.825706482,1555859.494808197,1537578.8140449524,1510906.8490447998,1524739.723186493,1358931.08203125,Genotype: 5xFAD | Brain Region: hippocampus,Genotype: WT | Brain Region: hippocampus,Genotype: 5xFAD__Brain Region: hippocampus vs Genotype: WT__Brain Region: hippocampusAveraging_All_Across_methods2,6,5,Blank_Blank_Blank_Blank_Blank
CAR(10:1),CAR,467289.0961074829,460732.27390289307,459563.1962890625,463854.8551826477,466560.0566825866,459266.55598831177,452015.5874633789,457359.2110366821,461435.9306182861,469846.89278793335,470096.8910675049,634009.9052734375,Genotype: 5xFAD | Brain Region: hippocampus,Genotype: WT | Brain Region: hippocampus,Genotype: 5xFAD__Brain Region: hippocampus vs Genotype: WT__Brain Region: hippocampusAveraging_All_Across_methods2,6,5,Blank_Blank_Blank_Blank_Blank
CAR(10:1)_QUAL,CAR,1211028.4854125977,1209521.085735321,1166871.539199829,1152066.73777771,1125648.4397773745,1163263.6423950195,1129619.7618408203,1225619.9038009644,1212440.6102485657,1188577.2490234375,1172517.3888130188,1046036.49609375,Genotype: 5xFAD | Brain Region: hippocampus,Genotype: WT | Brain Region: hippocampus,Genotype: 5xFAD__Brain Region: hippocampus vs Genotype: WT__Brain Region: hippocampusAveraging_All_Across_methods2,6,5,Blank_Blank_Blank_Blank_Blank
CAR(10:2),CAR,468795.7157020569,465215.4316825866,469187.1918334961,474116.2724838257,466608.2280311585,471062.3940734863,459875.91410446167,479465.876625061,478198.3722686768,478029.55585098267,465915.6570625305,642041.1708984375,Genotype: 5xFAD | Brain Region: hippocampus,Genotype: WT | Brain Region: hippocampus,Genotype: 5xFAD__Brain Region: hippocampus vs Genotype: WT__Brain Region: hippocampusAveraging_All_Across_methods2,6,5,Blank_Blank_Blank_Blank_Blank
CAR(10:2)_QUAL,CAR,606911.8633232117,648264.1270751953,579629.7597045898,602506.7243499756,600880.6587142944,653109.3824653625,619634.5055885315,630418.004322052,656310.4880371094,633082.9434432983,606192.3217468262,585456.421875,Genotype: 5xFAD | Brain Region: hippocampus,Genotype: WT | Brain Region: hippocampus,Genotype: 5xFAD__Brain Region: hippocampus vs Genotype: WT__Brain Region: hippocampusAveraging_All_Across_methods2,6,5,Blank_Blank_Blank_Blank_Blank
CAR(10:3),CAR,469241.8908691406,465557.135383606,468108.49212265015,470671.4733543396,470697.6712036133,460852.37074661255,452145.2126464844,474205.2722167969,469740.2858848572,473136.5139160156,473883.7734375,611447.3291015625,Genotype: 5xFAD | Brain Region: hippocampus,Genotype: WT | Brain Region: hippocampus,Genotype: 5xFAD__Brain Region: hippocampus vs Genotype: WT__Brain Region: hippocampusAveraging_All_Across_methods2,6,5,Blank_Blank_Blank_Blank_Blank
CAR(10:3)_QUAL,CAR,659826.9465866089,645827.4847717285,647800.7481269836,666427.1296043396,641976.5270996094,678101.4078559875,665620.6653213501,678421.726776123,654040.244216919,647108.7614135742,663728.0073547363,633677.9819335938,Genotype: 5xFAD | Brain Region: hippocampus,Genotype: WT | Brain Region: hippocampus,Genotype: 5xFAD__Brain Region: hippocampus vs Genotype: WT__Brain Region: hippocampusAveraging_All_Across_methods2,6,5,Blank_Blank_Blank_Blank_Blank
CAR(11:0),CAR,228777.53755569455,221750.31714248657,219353.91617584229,220078.1758270264,216354.03619003296,213329.99577713013,223195.856300354,225887.83601379397,224918.15712356567,230991.2163734436,220441.4962081909,307762.5842285156,Genotype: 5xFAD | Brain Region: hippocampus,Genotype: WT | Brain Region: hippocampus,Genotype: 5xFAD__Brain Region: hippocampus vs Genotype: WT__Brain Region: hippocampusAveraging_All_Across_methods2,6,5,Blank_Blank_Blank_Blank_Blank
