Lipid,Class,DOD93_F4_Female_5xFAD_cerebellum,DOD93_F4_Female_5xFAD_cortex ,DOD93_F4_Female_5xFAD_diencephalon,DOD93_F4_Female_5xFAD_hippocampus,DOD94_F4_Female_5xFAD_cerebellum,DOD94_F4_Female_5xFAD_cortex ,DOD94_F4_Female_5xFAD_diencephalon,DOD94_F4_Female_5xFAD_hippocampus,DOD94_F3_Female_WT_cerebellum,DOD94_F3_Female_WT_cortex ,DOD94_F3_Female_WT_diencephalon,DOD94_F3_Female_WT_hippocampus,FAD184_F3_Female_WT_cerebellum,FAD184_F3_Female_WT_cortex ,FAD184_F3_Female_WT_diencephalon,FAD184_F3_Female_WT_hippocampus,FAD184_F4_Female_WT_cerebellum,FAD184_F4_Female_WT_cortex ,FAD184_F4_Female_WT_diencephalon,FAD184_F4_Female_WT_hippocampus,Blank_Blank_Blank_Blank_Blank,Title1,Title2,Title,length1,length2,Blank_name
1-O-behenoyl-Cer(d18:1/16:0),Cer,9689.680694580078,8577.140621185303,8721.760601043701,8568.220588684082,8318.060626983643,8411.740604400635,7482.000534057617,7539.040561676025,9103.68058013916,8556.320613861084,8496.220573425293,9405.820568084717,9683.860694885254,9057.300678253174,7950.900543212891,9459.980648040771,8625.36058807373,9157.600639343262,7859.120552062988,10246.540729522703,13441.081062316896,Genotype: 5xFAD | Sex: Female,Genotype: WT | Sex: Female,Genotype: 5xFAD__Sex: Female vs Genotype: WT__Sex: FemaleAveraging_All_Across_methods2,8,12,Blank_Blank_Blank_Blank_Blank
1-O-carboceroyl-Cer(d18:1/18:0),Cer,5799.040378570557,5413.460395812988,5578.660442352295,6196.2203941345215,5115.880325317383,5130.460311889648,5487.040382385254,5558.380397796631,5613.700408935547,5586.460422515869,5174.560375213623,6342.060436248779,5562.780384063721,5187.240390777588,4784.540294647217,6090.04044342041,4875.940368652344,5140.6403884887695,5014.100399017334,4964.380420684814,10754.940727233889,Genotype: 5xFAD | Sex: Female,Genotype: WT | Sex: Female,Genotype: 5xFAD__Sex: Female vs Genotype: WT__Sex: FemaleAveraging_All_Across_methods2,8,12,Blank_Blank_Blank_Blank_Blank
1-O-cerotoyl-Cer(d18:1/16:0),Cer,7474.940441131592,7802.7805519104,7981.360595703125,8040.980537414551,8573.660594940186,8101.120586395264,8647.680599212646,8830.200618743896,9730.06069946289,8935.140686035156,7649.420539855957,8820.540557861328,8437.140621185303,7529.460517883301,8817.300662994385,8016.700466156006,7827.200603485107,7177.440525054932,7100.140510559082,6966.100521087647,27056.321769714355,Genotype: 5xFAD | Sex: Female,Genotype: WT | Sex: Female,Genotype: 5xFAD__Sex: Female vs Genotype: WT__Sex: FemaleAveraging_All_Across_methods2,8,12,Blank_Blank_Blank_Blank_Blank
1-O-cerotoyl-Cer(d18:1/18:0),Cer,7792.660556793213,7725.420509338379,6294.140449523926,8824.200637817383,7122.800559997559,7911.000511169434,6836.120529174805,6892.3405113220215,8455.640617370605,7825.100547790527,7492.200531005859,8471.44058227539,7462.060451507568,7308.280502319336,6579.980453491211,8289.540588378906,7081.580478668213,7817.520641326904,7610.340576171875,7708.760517120361,68355.16482543945,Genotype: 5xFAD | Sex: Female,Genotype: WT | Sex: Female,Genotype: 5xFAD__Sex: Female vs Genotype: WT__Sex: FemaleAveraging_All_Across_methods2,8,12,Blank_Blank_Blank_Blank_Blank
1-O-eicosanoyl-Cer(d18:1/16:0),Cer,9364.940658569336,9810.380699157717,9463.600631713867,9922.920711517334,9801.420639038086,10066.900783538818,10230.800720214844,10515.620750427246,10079.72078704834,11419.08081817627,10387.820693969728,11664.580917358398,11471.380874633787,8188.940574645996,9513.240711212158,11893.50090789795,9993.420696258543,9193.160587310793,10665.660808563232,10403.620761871338,13193.50090789795,Genotype: 5xFAD | Sex: Female,Genotype: WT | Sex: Female,Genotype: 5xFAD__Sex: Female vs Genotype: WT__Sex: FemaleAveraging_All_Across_methods2,8,12,Blank_Blank_Blank_Blank_Blank
1-O-lignoceroyl-Cer(d18:1/16:0),Cer,6948.380500793457,7057.380542755127,9130.20064163208,9591.080646514893,9086.820735931396,9158.640632629396,7684.760482788086,9780.680618286133,8531.740585327148,9121.740673065186,8720.80062866211,8999.600646972656,8534.840595245361,7323.460487365723,8613.98063659668,7377.740520477295,8146.100612640381,8253.400569915771,7778.780536651611,6880.700462341309,13192.94090270996,Genotype: 5xFAD | Sex: Female,Genotype: WT | Sex: Female,Genotype: 5xFAD__Sex: Female vs Genotype: WT__Sex: FemaleAveraging_All_Across_methods2,8,12,Blank_Blank_Blank_Blank_Blank
1-O-pentacosanoyl-Cer(d18:1/16:0),Cer,9166.600620269775,8940.48063659668,7604.800563812256,8188.280567169189,7844.560554504394,9711.52070236206,8546.240688323975,8967.700687408447,8585.500629425049,8972.260669708252,8967.060626983643,9322.560707092283,8184.160671234131,9798.38064956665,8897.120693206787,8441.600650787354,7845.4605140686035,7844.500450134277,9009.400581359863,8661.54063796997,12938.94090270996,Genotype: 5xFAD | Sex: Female,Genotype: WT | Sex: Female,Genotype: 5xFAD__Sex: Female vs Genotype: WT__Sex: FemaleAveraging_All_Across_methods2,8,12,Blank_Blank_Blank_Blank_Blank
1-O-tricosanoyl-Cer(d18:1/16:0),Cer,9683.500770568848,9297.44063949585,9360.44066619873,9959.060760498049,8104.660575866699,8682.920627593994,8225.540557861328,9261.020671844482,9094.540645599363,9035.960704803469,10158.96078491211,9305.840671539308,9039.380615234377,7791.880554199219,9446.380672454834,8322.800582885742,8792.560592651367,7576.020568847656,7974.500499725342,7525.360569000244,13541.00082397461,Genotype: 5xFAD | Sex: Female,Genotype: WT | Sex: Female,Genotype: 5xFAD__Sex: Female vs Genotype: WT__Sex: FemaleAveraging_All_Across_methods2,8,12,Blank_Blank_Blank_Blank_Blank
1-O-tricosanoyl-Cer(d18:1/18:0),Cer,5406.7203941345215,5353.00036239624,5483.860397338867,4845.380363464356,5042.760368347168,4756.000324249268,5524.400386810303,5247.520420074463,4893.760341644287,5664.36043548584,4514.820331573486,5088.340351104736,4238.940307617188,5018.540355682373,5031.420360565186,5432.660427093506,4325.000301361084,4554.840305328369,4816.900321960449,4244.940311431885,7750.14049911499,Genotype: 5xFAD | Sex: Female,Genotype: WT | Sex: Female,Genotype: 5xFAD__Sex: Female vs Genotype: WT__Sex: FemaleAveraging_All_Across_methods2,8,12,Blank_Blank_Blank_Blank_Blank
CAR,CAR,48045.42339324951,44588.18323516846,43833.5830078125,44582.10324859619,44804.78328704834,45051.662799835205,46375.6432800293,44112.16289901733,44239.42311859131,46690.843338012695,43585.40316390991,45458.96347427368,45977.12314987183,45878.46336364746,45474.48294067383,45654.92342758179,44137.56300354004,44235.50297164917,45143.28335571289,44922.58319091797,43366.06298828125,Genotype: 5xFAD | Sex: Female,Genotype: WT | Sex: Female,Genotype: 5xFAD__Sex: Female vs Genotype: WT__Sex: FemaleAveraging_All_Across_methods2,8,12,Blank_Blank_Blank_Blank_Blank
CAR(10:0),CAR,359375.3847541809,326281.06273651123,338427.2018623352,328526.9641685486,338570.24422836304,331376.14420318604,334789.2228088379,326398.12439346313,329625.3434448242,325325.32315444946,324203.98277282715,319079.502620697,335095.484539032,335961.30155944824,335300.2035102844,327427.4649581909,328984.103061676,335777.3225479126,334215.18283462524,334062.26458358765,359584.1459960937,Genotype: 5xFAD | Sex: Female,Genotype: WT | Sex: Female,Genotype: 5xFAD__Sex: Female vs Genotype: WT__Sex: FemaleAveraging_All_Across_methods2,8,12,Blank_Blank_Blank_Blank_Blank
