lipid,logFC,logCPM,LR,PValue,FDR,type,DOD93_F4_Female_5xFAD_cerebellum,DOD94_F4_Female_5xFAD_cerebellum,DOD94_F3_Female_WT_cerebellum,FAD184_F3_Female_WT_cerebellum,FAD184_F4_Female_WT_cerebellum,Blank_Blank_Blank_Blank_Blank
DG(35:6)_C16:0,5.948526447927346,4.768575149925424,137.0834398161902,1.1562307750314632e-31,3.696469787775588e-28,DAG,334638.4625053406,2941.7801933288574,2695.0801887512207,2628.8401794433594,2632.840171813965,2623.120189666748
DG(34:0)_C16:0,5.37249910668571,4.310123823948942,117.31809259252921,2.445295484439329e-27,3.9088048318762675e-24,DAG,235700.91619110107,5100.6403465271,3189.440223693848,2628.3801918029785,2631.440196990967,3417.0002250671387
DG(34:1)_C16:0,4.189209822391383,4.876657245210342,78.46061856310735,8.160905491448761e-19,8.696804952053897e-16,DAG,107350.76652526855,253799.51736450195,4183.460300445557,9291.960651397703,13285.021026611328,11391.08073425293
DG(O-38:9)|DG(36:2)_C18:2,-3.8676596317728196,7.335088052844337,52.55797186009477,4.1773366730474333e-13,3.338736335933161e-10,DAG,19451.301349639893,3650.600257873535,225685.57572555545,233708.99546432492,3231.3002319335938,940433.7267990112
[TG(45:4)]_FA16:1,3.1355965462359743,11.875523425039194,47.29362666552339,6.1110592967712915e-12,3.9074113143555635e-9,TAG,5892542.677490234,6688223.224609375,1527614.0837402344,201859.4140625,229297.83325195312,20843483.146850582
[TG(45:3)]_FA16:1,2.8775416362715016,9.997553644644347,40.427851162261504,2.0401210297247632e-10,1.0058326503192249e-7,TAG,1665384.770263672,1911822.678955078,454612.6278076172,84018.2060546875,130126.00970458984,5501317.548217773
DG(41:5)_C16:0,2.8717392072224994,14.25583187749938,40.27838323259477,2.2023236009491943e-10,1.0058326503192249e-7,DAG,23320561.83972931,57783027.388916016,6184170.3427734375,4349201.729457855,4236692.446502686,97858455.88134766
DG(42:11)|DG(41:4)_C16:0,2.8461792240387047,12.899324161314084,39.61968694992241,3.085570717813905e-10,1.2330711981063818e-7,DAG,6397373.657211304,15675656.850952148,1702038.0168457031,1171928.4338989258,1226164.0675849917,44577926.87664795
[TG(51:8)|TG(50:1)]_FA22:5,2.7407876702752234,10.283286873268835,36.94517369690584,1.2149806989241735e-9,4.157476399915327e-7,TAG,1682325.5158691406,2211683.857910156,354913.64532470703,260008.2769165039,169015.9116821289,6991643.872253418
DG(35:5)_C16:1,-3.1059639235120984,2.6699724572311743,36.81265983259175,1.3004305285940966e-9,4.157476399915327e-7,DAG,2930.4601821899414,2939.920196533203,2930.020195007324,34895.44244766235,31042.52216720581,2927.8002281188965
