lipid,logFC,logCPM,LR,PValue,FDR,type,FAD185_M1_Male_5xFAD_diencephalon,FAD185_M3_Male_5xFAD_diencephalon,FAD189_M1_Male_5xFAD_diencephalon,FAD189_M2_Male_5xFAD_diencephalon,FAD185_M4_Male_WT_diencephalon,FAD189_M3_Male_WT_diencephalon,Blank_Blank_Blank_Blank_Blank
LPE(20:2),6.831436882208846,5.595858892376515,113.3754507738455,1.7855196763020858e-26,5.708306405137768e-23,PE,226003.17764282227,729138.6013793945,430594.1723632813,12940.740852355955,2343.480167388916,2343.980155944824,2000.340129852295
DG(36:8)|DG(35:1)_C16:1,-4.700342261691711,12.053362317680437,110.51185579785715,7.569137091031317e-26,1.209926564001356e-22,DAG,2927.500198364258,9304.880458831787,3550.7402381896973,3436.740257263184,172521.23169326782,2926.340209960937,47492099.30102539
[TG(51:5)]_FA16:0,-4.591451760591269,7.654031112394384,106.24590911130508,6.513018121521775e-25,6.940706311501705e-22,TAG,166181.71142578125,111385.56838989258,93078.70654296876,81872.58630371094,2950756.5749206543,938144.8584594728,39190.08248901367
[TG(51:6)]_FA16:1,-4.566158265926303,7.83065160523774,105.25052063905605,1.0763045626446405e-24,8.60236421693729e-22,TAG,172532.13250732422,138761.81018066406,107613.30712890624,100200.18768310548,3389315.184692383,995255.1878051758,41019.22302246094
[TG(51:4)]_FA14:0,-4.205217507819661,7.154763141540368,91.2896518880932,1.241079692151093e-21,7.935463551614088e-19,TAG,117844.72747802734,99326.88732910156,99680.28631591795,76457.48529052734,1981017.0781860352,610275.0083618164,82697.70608520508
[TG(53:8)|TG(52:1)]_FA18:3,-3.9531244735243556,7.418329304579865,81.84982493288044,1.4682993331916673e-19,7.823588280356268e-17,TAG,181652.83142089844,147479.34893798828,129976.0692138672,112296.96783447266,2401105.703460694,761810.2095947266,35997.24267578125
[TG(38:1)]_FA14:0,-3.810312018987792,8.819853719570972,76.63236333720852,2.059370158501742e-18,8.229757995912587e-16,TAG,325234.1418457031,296264.59619140625,829413.27197265625,212055.51403808597,6064029.424804688,2319518.920654297,49943.38360595703
[TG(53:7)|TG(52:0)]_FA18:2,-3.812526558289556,7.088102346002768,76.71138849780073,1.978590856377216e-18,8.229757995912587e-16,TAG,145006.17120361328,134619.36779785156,117874.2080078125,95468.10729980467,1821234.3555297847,670443.1457519531,32808.362396240234
LPE(O-20:0),-3.7566997117520513,3.3476357893417283,74.6608440902578,5.589377241830675e-18,1.9854710046814076e-15,PE,4368.780349731445,3315.66019821167,4267.680324554443,7879.760631561279,53033.44366455078,46478.84331512451,56186.56405639648
DG(O-38:9)|DG(36:2)_C18:2,4.661588067618297,6.628699545947198,66.55393486796697,3.404497973638026e-16,1.0884180021720769e-13,DAG,445839.3322410584,3256.8202323913574,3230.220230102539,3233.040241241455,3228.000232696533,3228.100234985352,940433.7267990112
LPE(20:1),4.637983435692772,3.579956107218745,66.05059023873542,4.3949622588748023e-16,1.2773358492384312e-13,PE,150227.73001861572,110983.9871673584,72857.06577301025,9977.500694274902,2519.080181121826,2651.940196990967,2031.0601501464844
[TG(46:6)]_FA22:5,-3.4308559906072404,11.342935325056017,63.28963138003262,1.7844112228950906e-15,4.753968899663004e-13,TAG,1052505.6763916016,1656050.192993164,8131261.190246582,1224064.9336547852,31357751.630981445,15949538.212646484,55422.98370361328
PE(44:1),-3.4211925903589635,6.788306458559444,62.959143663059876,2.1103906790601403e-15,5.189937693042514e-13,PE,178593.91080474854,122981.56964492798,97484.12687683104,92591.4865951538,1365767.571559906,523998.86211013794,64799.24423217773
[TG(52:5)]_FA18:0,-3.379167742162473,6.458153481495612,61.53487633403893,4.349698556630732e-15,9.93284734682032e-13,TAG,112303.24731445312,104985.80673217772,104271.56704711914,88370.465576171875,1117137.2780151367,417737.1564636231,26629.72183227539
DG(34:0)_C16:0,4.2931463064794775,4.668044750997197,58.912798078475134,1.648167135658633e-14,3.512793555133766e-12,DAG,73266.00559997559,95866.02730560304,144490.35014343262,414169.4259567261,8512.060558319092,5086.060325622559,3417.0002250671387
LPE(20:3),4.2555322502196224,3.4901531627342752,58.11971463091717,2.4664214278759842e-14,4.928218315574701e-12,PE,152708.03170776367,103787.7872505188,54969.74362564087,9953.24084854126,3391.1402893066406,2833.9001808166504,2059.740146636963
LPE(20:4),4.151099709382056,3.6083019275054267,55.98518649532786,7.301912807828126e-14,1.3731891321545012e-11,PE,170542.79220581055,113329.72869873048,56389.12446975708,6191.500431060791,3023.8602333068848,4362.080314636231,2961.640182495117
[TG(52:6)]_FA18:1,-3.198513692117209,6.439609916695424,55.54240802353161,9.146439204005468e-14,1.624509229733638e-11,TAG,112425.6277770996,120684.38989257812,116571.5085144043,99112.92694091795,1108807.2388916016,370840.7465820313,25199.92176818848
LPC(24:0),-3.170173681487758,8.771329260407676,54.62324656707642,1.459983740300459e-13,2.3337840088702836e-11,PC,666926.3883056641,511769.99645996094,763118.4753417969,378214.8869628906,4683242.953125,2960505.8759765625,98562.5264892578
LPC(24:1),-3.1716692959320203,8.758745372954436,54.67167994011834,1.4244423085693287e-13,2.3337840088702836e-11,PC,659611.7663574219,511728.5339355469,757552.439453125,368480.0861816406,4639278.119140625,2939402.4326171875,98224.22705078124
LPE(20:0),3.9931624035567816,2.794280775277243,52.75682711558909,3.775088311631073e-13,5.485889696492973e-11,PE,89018.14569473267,62791.22442626953,34505.16239929199,8640.460594177246,2259.120162963867,2313.480182647705,2168.840148925781
PC(22:0),-3.113149702764468,8.435049303367107,52.78800973206671,3.715626432242668e-13,5.485889696492973e-11,PC,588671.8991699219,426230.734375,569792.064453125,304280.3046875,3582096.779296875,2412463.18359375,98047.44714355467
DG(35:6)_C16:0,3.893985959115072,3.066313953660582,50.76826283652838,1.039409013673188e-12,1.4447785290057315e-10,DAG,3085.680233001709,5064.200336456299,3712.300239562988,222648.13648986816,3154.3002281188965,2700.920185089112,2623.120189666748
FA(30:1),-3.0416359955106973,6.406564307866418,50.51801200052432,1.1807611997029503e-12,1.5728723147709717e-10,FA,232970.9758605957,91610.24841308594,76421.46682739258,84402.92451477051,1024594.885559082,398587.3764190674,25251.52146911621
DG(42:9)|DG(41:2)_C16:1,-2.951399541960354,8.183846220869267,47.709267407657535,4.943492410141595e-12,6.321738094089071e-10,DAG,864935.7601966858,81167.96599197388,430558.98988342285,382365.8692626953,2355639.39453125,2659441.164428711,97521.02673339844
[TG(52:7)|TG(51:0)]_FA18:2,-2.9447017683564027,6.316155898738896,47.502129801192496,5.494421795954459e-12,6.756025569871695e-10,TAG,119245.9077758789,127277.9086303711,124679.2495727539,99181.94775390624,917530.7923583984,394159.5037841797,31425.24237060547
PI(35:5)|PI(O-36:5)|PI(P-36:4),-2.8916469169686843,5.779840903542938,45.88082034733134,1.2567033504834459e-11,1.4880298561094727e-9,PI,99700.68795776369,71653.2045288086,72486.544921875,79399.58547973633,624582.44384765625,236172.6385192871,43434.64291381836
[TG(52:8)|TG(51:1)]_FA18:3,-2.8602502359016233,6.411019139136815,44.93272213431359,2.039215817969176e-11,2.328347489302663e-9,TAG,139417.79043579102,137125.07153320312,131953.3494873047,116191.38861083984,1015453.549621582,353190.2056274414,36916.682678222656
DG(37:6)_C18:1,-2.732289835518349,2.831413343491565,41.12285831666986,1.429546604994781e-10,1.5754971634092033e-8,DAG,2882.4601974487305,3261.4802284240723,14119.700984954834,3892.060253143311,32787.36234283447,26657.621795654297,40443.82269287109
PC(22:1),-2.729191140676482,7.7186475044017895,41.057161490702214,1.4784146043877415e-10,1.5754971634092033e-8,PC,420061.4462890625,330137.50732421875,387008.828125,258722.79809570312,1989908.70703125,1416757.615234375,94402.546142578125
PG(16:0)|LPG(17:0)|LPG(O-18:0),-2.588060019588711,4.611978284498844,37.03818673491152,1.1583825915662678e-9,1.19462875652818e-7,PG,2115.7601585388184,2063.680145263672,3967.66032409668,147172.33005523682,184489.1510620117,162402.54961395264,39920.40306472778
[TG(51:4)]_FA16:0,-2.5725455204395407,5.787520228517756,36.60933072609714,1.44339160824058e-9,1.4420384286078545e-7,TAG,107678.84735107422,96780.5066833496,114919.3878173828,78458.086181640625,618238.2454833984,232995.87841796875,23257.22166442871
DG(37:3)_C18:1,-2.561399972313464,2.819791553905857,36.26243499763348,1.72456115878837e-9,1.670733946862551e-7,DAG,2912.7402153015137,2888.8001976013184,5565.220329284668,2904.4201889038086,26532.321689605717,2890.6602096557617,57847.16430664063
[TG(42:1)]_FA18:0 | DG(44:8)|DG(43:1)_C18:0,-2.487220283618427,7.0234056248044405,34.277242189586104,4.77938106889634e-9,4.4940239050769405e-7,TAG | DAG,296314.74698638916,240284.3766269684,220654.755317688,213294.66466140747,825508.0338726044,1245734.2363204956,68314.28453826904
DG(37:4)_C18:1,-2.475486119319644,2.4997844960741786,33.92812485643776,5.718603710090868e-9,5.22353601747443e-7,DAG,2883.1601905822754,2888.940196990967,7551.160514831543,2903.440212249756,28578.581958770752,2889.700218200684,40262.78248596192
[TG(51:5)]_FA16:1,-2.4667237356185265,5.884183883844589,33.72582564588265,6.34526790288523e-9,5.634950412645578e-7,TAG,123270.80853271484,111816.70697021484,124748.08923339844,88118.74618530273,651980.7847595215,237928.77462768555,26470.341918945312
DG(39:7)|DG(38:0)|DG(dO-40:0)_C18:0,-2.4282254289700975,3.523547431247532,32.68754590413392,1.0822846096722046e-8,9.351524046275778e-7,DAG,23265.54167175293,5127.280345916748,2605.020175933838,2637.400177001953,2595.5401725769043,69614.90439224243,83052.00598144531
DG(42:8)|DG(41:1)_C16:0,-2.386579567474145,8.192754361945825,31.609941586328205,1.8846229825620076e-8,1.5855630724344049e-6,DAG,1230918.872680664,88950.90585327148,724220.1270141602,349044.16302490234,2266488.723449707,2318157.7529296875,90573.2061767578
DG(37:5)_C18:1,-2.358384701090379,2.883774014299628,30.852853955193268,2.783524723564808e-8,2.2817765490350492e-6,DAG,2884.100215911865,2889.0202026367188,10883.44066619873,2903.9202041625977,31171.262130737305,3885.360290527344,56453.1436920166
[TG(56:8)|TG(55:1)]_FA20:4,2.828226156669899,12.309914922716766,30.44775463615302,3.429800825071867e-8,2.74126830943869e-6,TAG,6815579.649902344,61964373.32421875,49350677.8203125,19740478.2578125,5220897.544921875,1896033.593017578,159430.49194335938
[TG(56:9)|TG(55:2)]_FA20:4,2.7891628759176177,8.819067751593302,29.75170274614356,4.910747876125643e-8,3.82918559999358e-6,TAG,710774.0825805664,4966659.476318359,4864657.1708984375,1651173.499267578,432843.5347900391,219826.7360229492,48443.04309082031
DG(38:8)|DG(dO-40:8)|DG(37:1)_C18:1,2.776498964371119,6.489188789829672,29.5197547090155,5.5349666787932946e-8,4.213163921929086e-6,DAG,162984.59084320068,79788.12594223022,43560.68323135376,121319.96685791016,10357.580741882324,11872.740837097168,842503.0589599609
DG(30:1)_C18:0,-2.2727470827095053,5.78775983416089,28.70492226410897,8.428921821720386e-8,6.26680536373025e-6,DAG,60758.46392440796,59617.26406097412,59809.34450912476,241764.3993835449,317801.8178100586,457365.9363708496,75972.28582763672
[TG(56:6)]_FA22:5,2.7253256029493746,10.291169184466572,28.624407091118748,8.786765208631704e-8,6.384383720908081e-6,TAG,13262900.022216797,8557706.965576172,4996982.425537109,4788876.229736328,905491.1536865234,872445.4836425781,1283660.1729736328
[TG(55:11)|TG(54:4)]_FA18:0,2.7166738848940875,11.869217019899269,28.472624479547125,9.50327278052839e-8,6.609959372201343e-6,TAG,5812282.8251953125,47097884.64453125,36150200.33129883,11861102.490234377,3877553.6137695312,1803795.8386230469,142586.51037597656
LPC(12:0),-2.2633621447528602,5.897762790561492,28.47110522298499,9.51073290964222e-8,6.609959372201343e-6,PC,114545.72912597656,122554.48840332033,113070.66723632812,128153.42895507812,541875.3365478516,297524.462890625,53912.94366455078
[TG(54:5)]_FA18:0,2.704264677058177,8.375461752170771,28.254890139302006,1.0634562501688226e-7,7.233765174020693e-6,TAG,539686.3529052734,3904012.3850097656,3457017.958129883,989692.5030517578,319230.0787353516,189485.2533569336,45290.223083496094
[TG(51:5)]_FA14:0,-2.2325236943346067,5.1846848476404395,27.70774401329254,1.4109674956610947e-7,9.309923847013023e-6,TAG,81817.98571777344,61252.76434326172,73421.205322265625,79889.08532714844,342260.0234985352,161717.45098876953,34294.842529296875
[TG(58:7)|TG(57:0)]_FA20:4,2.670500115143865,8.645097289211975,27.665764916950142,1.4419212522436545e-7,9.309923847013023e-6,TAG,1004728.8587646484,4355432.104003906,3790415.492675781,1616543.579711914,381427.88830566406,249859.7368774414,40370.902770996094
DG(28:1)_C18:0,-2.229998215472413,7.225929487791775,27.646915437406278,1.4560406391950302e-7,9.309923847013023e-6,DAG,173716.77249526978,169083.0520324707,161182.0309562683,670170.61376953125,917692.150756836,1164888.330078125,197475.57421875
[TG(56:7)|TG(55:0)]_FA22:6,2.645476930397493,10.342848794288647,27.231580789827596,1.8048636766693315e-7,1.131401798884677e-5,TAG,13322937.991088867,8914077.662353516,5316626.635498047,5236031.092285156,1016296.2353515624,929873.0845947266,1257402.919128418
[TG(54:7)|TG(53:0)]_FA18:2,2.632453408916837,8.79050564022903,27.006155516835857,2.028085805843231e-7,1.2468827540924634e-5,TAG,707229.6955566406,4896680.862548828,4814550.408203125,1443515.5284423828,455835.07421875,254775.67834472656,46564.96325683594
[TG(54:6)]_FA18:2,2.6133814819589642,12.33697583812758,26.677447743606248,2.4041120660197483e-7,1.4399764745509722e-5,TAG,7462910.816894531,62955374.38867188,50233617.5546875,18335232.76660156,5947622.3974609375,2410375.92578125,172625.4111328125
DG(39:8)|DG(O-40:8)|DG(38:1)_C18:0,-2.18961132268645,3.548785717347117,26.654972313577673,2.43224052629817e-7,1.4399764745509722e-5,DAG,15996.761138916016,2603.220165252685,2604.920196533203,34815.582458496094,47887.06369781494,46566.22342300415,62609.46417236328
PC(O-12:1),-2.182815677372637,5.955232195876845,26.49844287843939,2.6375062404255097e-7,1.5331104455709733e-5,PC,135923.85076904297,114309.3677368164,127061.8077392578,141744.5301513672,543224.9783935547,317768.74072265625,56245.02416992188
