Lipid,Class,AK0139,AK0161,AK0170,AK0200,AK0202,AK0204,AK0145,AK0164,AK0174,AK0175,Blank-1x,Title1,Title2,Title,length1,length2,Blank_name
(11Z)-eicoseneoylcarnitine,CAR,1499141.0727539062,1159558.7852783203,1202099.1199951172,1561939.1799316406,1278446.3055419922,2960353.279296875,1128833.5732421875,1278053.767944336,1238776.1319580078,1282045.1535644531,285046.4786605835,Genotype: cKO | time point: healthy,Genotype: WT | time point: healthy,Genotype: cKO__time point: healthy vs Genotype: WT__time point: healthy8_9_23,6,4,Blank-1x
"(11Z,14Z)-eicosadienoylcarnitine",CAR,1380411.956298828,1179871.0670166016,1218773.5845947266,1302167.092163086,1176849.5888671875,2821156.5366210938,1130798.7427978516,1181701.8826904297,1254938.1559448242,1132406.2965698242,283604.8807868957,Genotype: cKO | time point: healthy,Genotype: WT | time point: healthy,Genotype: cKO__time point: healthy vs Genotype: WT__time point: healthy8_9_23,6,4,Blank-1x
"(13Z,16Z)-docosadienoylcarnitine",CAR,1488449.0466308594,1193195.6975708008,1149769.7707519531,1397754.8560791016,1063207.8836669922,2707231.5189208984,1079653.0477294922,1238666.0463256836,1221247.5565185547,1017794.9621582032,181664.57362365723,Genotype: cKO | time point: healthy,Genotype: WT | time point: healthy,Genotype: cKO__time point: healthy vs Genotype: WT__time point: healthy8_9_23,6,4,Blank-1x
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",CAR,2612464.2541503906,1584487.484008789,1759009.0557861328,2210718.679321289,2266709.955444336,4539267.546386719,2139352.323059082,2044519.1489868164,2786300.2643432617,2522326.7109375,114023.58724212646,Genotype: cKO | time point: healthy,Genotype: WT | time point: healthy,Genotype: cKO__time point: healthy vs Genotype: WT__time point: healthy8_9_23,6,4,Blank-1x
"(5Z,8Z)-tetradecadienoylcarnitine",CAR,1094941.124267578,718203.7386474609,721524.2933959961,936592.482421875,645266.2047119141,1766401.763671875,699176.3087768555,659514.9055175781,764933.9527587891,652278.2630615234,158361.42999267578,Genotype: cKO | time point: healthy,Genotype: WT | time point: healthy,Genotype: cKO__time point: healthy vs Genotype: WT__time point: healthy8_9_23,6,4,Blank-1x
"(7Z,10Z)-hexadecadienoylcarnitine",CAR,1456700.292602539,1046285.1735839844,971811.7346191406,1376905.823486328,1039734.9908447266,2592716.475341797,1080488.7222595215,994361.0492553712,1286415.7739868164,1079671.9899902344,148019.67110061646,Genotype: cKO | time point: healthy,Genotype: WT | time point: healthy,Genotype: cKO__time point: healthy vs Genotype: WT__time point: healthy8_9_23,6,4,Blank-1x
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",CAR,1363543.480041504,1135056.982788086,1079179.2010498047,1314794.0446166992,996268.9852294922,2561769.211425781,1076848.043701172,1079055.9274902344,1177549.126953125,1027356.7213745116,153256.1509437561,Genotype: cKO | time point: healthy,Genotype: WT | time point: healthy,Genotype: cKO__time point: healthy vs Genotype: WT__time point: healthy8_9_23,6,4,Blank-1x
(9Z)-3-hydroxyoctadecenoylcarnitine,CAR,5198610.055664063,4968568.333374023,4314156.84765625,4576701.091308594,5939488.359130859,8748329.255859375,4360791.6220703125,4894547.858154297,3856481.7958984375,4835780.072509766,341258.06032562256,Genotype: cKO | time point: healthy,Genotype: WT | time point: healthy,Genotype: cKO__time point: healthy vs Genotype: WT__time point: healthy8_9_23,6,4,Blank-1x
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",CAR,2002974.827270508,1913919.235534668,1748927.3958740234,1901714.705444336,2106989.879760742,3335229.4018554688,1580741.047241211,2097805.024169922,1671652.7352294922,1796628.9790039062,168484.0325164795,Genotype: cKO | time point: healthy,Genotype: WT | time point: healthy,Genotype: cKO__time point: healthy vs Genotype: WT__time point: healthy8_9_23,6,4,Blank-1x
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",CAR,5300942.361083984,4788771.525024414,3860608.9428710938,4220326.905151367,5549661.710693359,8361298.29296875,4388263.270019531,4789257.653442383,3928391.265625,4548470.571166992,263180.44006347656,Genotype: cKO | time point: healthy,Genotype: WT | time point: healthy,Genotype: cKO__time point: healthy vs Genotype: WT__time point: healthy8_9_23,6,4,Blank-1x
1-O-behenoyl-Cer(d18:1/16:0),Cer,5428.220371246338,3938.700275421143,4248.760307312012,4174.160293579102,5481.920394897461,4148.680309295654,5703.600429534912,4355.2003173828125,3850.560276031494,4372.38032913208,3583.220245361328,Genotype: cKO | time point: healthy,Genotype: WT | time point: healthy,Genotype: cKO__time point: healthy vs Genotype: WT__time point: healthy8_9_23,6,4,Blank-1x
1-O-carboceroyl-Cer(d18:1/16:0),Cer,4441.940341949463,3718.3802642822266,3969.8202781677246,3614.9802589416495,5576.680419921875,4055.04029083252,5085.420352935791,3836.640239715576,4237.000282287598,4758.760353088379,4646.720367431641,Genotype: cKO | time point: healthy,Genotype: WT | time point: healthy,Genotype: cKO__time point: healthy vs Genotype: WT__time point: healthy8_9_23,6,4,Blank-1x
1-O-carboceroyl-Cer(d18:1/18:0),Cer,8781.880512237549,7115.460487365723,7192.140544891357,6553.460472106934,9145.040660858154,6529.280418395996,10447.660861968994,6016.460430145264,6091.820507049561,6554.140449523926,5040.740333557129,Genotype: cKO | time point: healthy,Genotype: WT | time point: healthy,Genotype: cKO__time point: healthy vs Genotype: WT__time point: healthy8_9_23,6,4,Blank-1x
1-O-cerotoyl-Cer(d18:1/16:0),Cer,7282.660499572754,7886.500576019287,8310.960536956787,6413.280429840088,13825.741111755371,7550.240520477295,10870.080791473389,5406.520370483398,8394.460628509521,8751.120597839355,3809.9602699279785,Genotype: cKO | time point: healthy,Genotype: WT | time point: healthy,Genotype: cKO__time point: healthy vs Genotype: WT__time point: healthy8_9_23,6,4,Blank-1x
1-O-cerotoyl-Cer(d18:1/18:0),Cer,12557.66093826294,9755.960605621338,11369.340805053713,6788.320453643799,18681.461498260494,10655.400787353516,14279.840965270996,7214.720581054687,10750.760795593262,9342.600666046144,3463.600234985352,Genotype: cKO | time point: healthy,Genotype: WT | time point: healthy,Genotype: cKO__time point: healthy vs Genotype: WT__time point: healthy8_9_23,6,4,Blank-1x
1-O-eicosanoyl-Cer(d18:1/16:0),Cer,5131.020397186279,4800.280372619629,4450.040294647217,4905.880352020264,5853.100387573242,3852.060295104981,7359.920520782471,4873.900314331055,4322.100303649902,5289.940364837647,6539.220417022705,Genotype: cKO | time point: healthy,Genotype: WT | time point: healthy,Genotype: cKO__time point: healthy vs Genotype: WT__time point: healthy8_9_23,6,4,Blank-1x
1-O-lignoceroyl-Cer(d18:1/16:0),Cer,4048.440307617188,4089.560306549072,3639.14026260376,4162.040302276611,4686.000328063965,4047.54029083252,5020.460350036621,3765.000278472901,4020.000270843506,3772.820266723633,3428.300247192383,Genotype: cKO | time point: healthy,Genotype: WT | time point: healthy,Genotype: cKO__time point: healthy vs Genotype: WT__time point: healthy8_9_23,6,4,Blank-1x
1-O-myristoyl-Cer(d18:1/16:0),Cer,5036.300392150879,5093.560356140137,4900.880352020264,4447.700313568115,7014.320491790772,4389.240291595459,5587.720401763916,4566.740303039551,4604.6203536987305,4845.1403465271,3470.200260162353,Genotype: cKO | time point: healthy,Genotype: WT | time point: healthy,Genotype: cKO__time point: healthy vs Genotype: WT__time point: healthy8_9_23,6,4,Blank-1x
1-O-palmitoyl-Cer(d18:1/16:0),Cer,5919.900444030762,4777.000354766846,4846.0003662109375,5167.520366668701,7208.8204917907715,4643.700305938721,6407.380443572998,5189.2403564453125,4676.50036239624,6160.1803855896,6578.16040802002,Genotype: cKO | time point: healthy,Genotype: WT | time point: healthy,Genotype: cKO__time point: healthy vs Genotype: WT__time point: healthy8_9_23,6,4,Blank-1x
1-O-stearoyl-Cer(d18:1/16:0),Cer,5179.200378417969,4733.940368652344,4175.380310058594,4884.260334014893,6096.280429840088,4892.620365142822,6351.960472106934,4237.5002784729,4600.600368499756,4807.780326843262,3474.080253601074,Genotype: cKO | time point: healthy,Genotype: WT | time point: healthy,Genotype: cKO__time point: healthy vs Genotype: WT__time point: healthy8_9_23,6,4,Blank-1x
1-O-tricosanoyl-Cer(d18:1/16:0),Cer,4674.660354614258,3747.100273132324,3998.4402770996094,3961.74027633667,5636.340427398682,4099.060287475586,4586.880325317383,3911.700275421143,3936.3802757263184,4180.200305938721,3450.9802436828613,Genotype: cKO | time point: healthy,Genotype: WT | time point: healthy,Genotype: cKO__time point: healthy vs Genotype: WT__time point: healthy8_9_23,6,4,Blank-1x
1-O-tricosanoyl-Cer(d18:1/18:0),Cer,5767.840435028076,4322.880317687988,4530.180316925049,3721.3802642822266,5268.840389251709,4539.620319366455,5468.500392913818,4604.360305786133,4166.780300140381,4440.880332946777,5073.480350494385,Genotype: cKO | time point: healthy,Genotype: WT | time point: healthy,Genotype: cKO__time point: healthy vs Genotype: WT__time point: healthy8_9_23,6,4,Blank-1x
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",CAR,1908898.225830078,1574604.4770507812,1667023.7607421875,1676924.242553711,1899879.399047852,3586422.091796875,1500475.087890625,1676762.3806152344,1540232.3978271484,1754820.5119628906,327414.4421424866,Genotype: cKO | time point: healthy,Genotype: WT | time point: healthy,Genotype: cKO__time point: healthy vs Genotype: WT__time point: healthy8_9_23,6,4,Blank-1x
12:0 Cholesteryl ester,CE,471268.27630615234,465737.71697998047,389253.7262573242,441917.8123779297,194175.07411956787,407434.0056152344,398535.7490844727,455271.313293457,148931.1300354004,168155.63229370117,39510.12278747559,Genotype: cKO | time point: healthy,Genotype: WT | time point: healthy,Genotype: cKO__time point: healthy vs Genotype: WT__time point: healthy8_9_23,6,4,Blank-1x
12:0 Cholesteryl ester_2,CE,458960.1551513672,449034.6315917969,376567.6844482422,420603.6680908203,179248.3526916504,389112.5859375,385664.7283935547,456787.8705444336,147104.23055267334,141982.01022338867,35601.32247543335,Genotype: cKO | time point: healthy,Genotype: WT | time point: healthy,Genotype: cKO__time point: healthy vs Genotype: WT__time point: healthy8_9_23,6,4,Blank-1x
14:0 Cholesteryl ester,CE,408192.8278808594,378208.78729248047,331379.9051513672,374032.8856201172,157515.33116149902,348061.6057739258,352738.6250610352,402353.0107421875,115021.12748718262,144252.42919921875,33731.72247314453,Genotype: cKO | time point: healthy,Genotype: WT | time point: healthy,Genotype: cKO__time point: healthy vs Genotype: WT__time point: healthy8_9_23,6,4,Blank-1x
14:1 Cholesteryl ester,CE,425408.9488220215,390806.0271606445,346504.4039916992,385376.1858520508,154538.83144378662,357291.2670898437,366456.5667114258,413623.6901245117,135030.92964935303,150148.43026733398,33754.40241241455,Genotype: cKO | time point: healthy,Genotype: WT | time point: healthy,Genotype: cKO__time point: healthy vs Genotype: WT__time point: healthy8_9_23,6,4,Blank-1x
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester,CE,2066060.1552734373,2288244.3125,2131322.0258789062,2176563.486328125,888156.2966918945,2696200.427001953,1898855.300048828,1986375.2338867188,797935.5003662109,704290.8534545898,82824.66579437256,Genotype: cKO | time point: healthy,Genotype: WT | time point: healthy,Genotype: cKO__time point: healthy vs Genotype: WT__time point: healthy8_9_23,6,4,Blank-1x
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester_2,CE,2037224.7944335935,2290665.289794922,2097052.1955566409,2198090.9572753906,819131.1392211914,2698124.3142089844,1885534.850097656,2002967.8527832031,810840.9321746826,746897.0465087891,74475.86528015137,Genotype: cKO | time point: healthy,Genotype: WT | time point: healthy,Genotype: cKO__time point: healthy vs Genotype: WT__time point: healthy8_9_23,6,4,Blank-1x
15:0 Cholesteryl ester,CE,1055011.5732421875,1068373.348022461,984740.043701172,1039988.71484375,459047.3137817383,1155100.2397460938,960665.4267578124,1045205.1755371094,312532.9205474853,417044.6669921875,89103.66654205322,Genotype: cKO | time point: healthy,Genotype: WT | time point: healthy,Genotype: cKO__time point: healthy vs Genotype: WT__time point: healthy8_9_23,6,4,Blank-1x
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester,CE,1542870.7221679688,1550921.1469726562,1482237.663330078,1527319.0380859375,736405.7332763672,1717050.1225585938,1362550.8513183594,1545880.4645996094,496332.3787384033,585429.0845947266,105928.06745910645,Genotype: cKO | time point: healthy,Genotype: WT | time point: healthy,Genotype: cKO__time point: healthy vs Genotype: WT__time point: healthy8_9_23,6,4,Blank-1x
