lipid,logFC,logCPM,LR,PValue,FDR,type,AK0135,AK0139,AK0140,AK0142,AK0157,AK0161,AK0169,AK0170,AK0200,AK0202,AK0204,AK0141,AK0144,AK0145,AK0147,AK0154,AK0155,AK0164,AK0166,AK0168,AK0174,AK0175,Blank-1x
Cer(t18:0/26:0(2OH)),1.8536069827110535,5.6899152986417505,55.20846074316,1.0840112770290546e-13,1.6227648817124947e-10,Cer,36233.4628944397,10586.800743103027,291107.31967544556,9427.680702209473,7966.480533599853,12692.780986785889,41202.80269241333,30666.9022064209,225540.09686279297,276953.3325691223,15254.46109008789,5493.900371551514,17902.361499786377,7124.720485687256,7793.180530548096,29897.781887054443,19827.60152053833,20583.52146911621,17015.521141052246,15974.581268310549,5092.140342712402,84920.7845993042,3491.180248260498
C18:2,1.6451211306594542,10.843069611043646,44.05801097849326,3.187865034175404e-11,2.3861169780802897e-8,FA,1040349.2161865234,30382811.85083008,160454.29223632812,7957.600547790527,7950.060546875,1749622.048370361,3332640.4099121094,1030637.5733642578,3706070.332885742,1180134.9066505432,1968676.159423828,1423201.863647461,172735.37169647217,2159391.643737793,7953.320552825928,9033.100677490234,8685.620586395264,774634.73876953125,3199785.805130005,16305.48127746582,2530091.049926758,1219379.9229125977,191511.09341430664
Lyso_PG(19:0),1.4351478478425408,8.044930026574287,33.92350037161076,5.732212258161128e-9,2.269269126237994e-6,PG,162826.57122802734,179186.7508544922,132018.76953125,122010.1707763672,2211113.55859375,183937.95318603516,176559.6552734375,151746.9506225586,171232.19311523438,127475.068359375,159951.41247558594,218024.33264160156,139264.45001220703,134238.24963378906,108748.52783203124,87978.30645751953,128270.60961914062,172020.03247070312,110418.60803222656,141922.0707397461,162748.01080322266,122912.5087890625,88345.44665527344
PGo (20:0),1.4327431676684816,8.033624973710909,33.814185615293354,6.0635113593533575e-9,2.269269126237994e-6,PG,164372.23114013672,181747.5537109375,133047.82739257812,122954.17028808594,2180103.733215332,184163.97259521484,168507.89038085938,136698.67150878906,174197.67547607422,128417.12811279295,167486.85186767578,210765.3553466797,135874.2904663086,139410.3881225586,109801.88861083984,86562.44580078125,125636.78747558594,177893.5135498047,111012.52947998048,133783.1287841797,162655.6895751953,122257.3676147461,89735.94641113281
Cer(d20:0/26:0),1.2983813170762377,7.438146876727379,27.958079724332492,1.23972227392465e-7,3.711728488130402e-5,Cer,82489.00484466553,122976.50982284546,723109.9012832642,14138.560970306396,12971.66093826294,21008.941318511963,120564.42832946776,64888.283515930176,897382.4204978943,972553.6929969788,22905.541801452637,13559.880859375,181543.9899520874,12331.600761413574,9119.04063796997,299336.8090324402,33998.30194854736,41083.24278640747,21699.901554107662,31783.662128448486,8932.380596160889,244944.81497573853,3579.9602546691895
C18:4,1.203307690669051,9.383810160815719,24.121681928019797,9.043629314326553e-7,2.256385513924475e-4,FA,403199.9313354492,2894270.9978027344,134691.26972198486,12029.660949707031,14256.480979919434,405599.84588623047,3136273.7321777344,285829.51916503906,5712751.576690674,372092.9291992187,323099.70404052734,330942.0022583008,324024.7848510742,404067.07208251953,11947.060859680176,30201.92222976685,1258506.1556625366,266600.91885375977,490802.613861084,414682.72622680664,571434.2774658203,318459.9401245117,127843.58934020996
PSo (20:0),1.1256706313145,8.35734915958996,21.181381192277513,4.178036734485149e-6,8.935029987891813e-4,PS,256120.0780029297,267884.72021484375,198072.61596679688,183947.2091064453,2106511.7364501953,294503.0241699219,265162.4606933594,227207.99743652344,273074.81994628906,192258.21459960935,253803.578125,323651.7255859375,174724.11059570312,203554.17639160156,143394.68884277344,120375.14947509766,176793.5330810547,273925.3991699219,149620.4102783203,196371.21215820312,251084.49865722656,186577.2325439453,133555.9910888672
Lyso_PS(19:0),1.1090004993448044,8.449635720108503,20.573232951210684,5.739299749271753e-6,0.0010739664655824769,PS,258540.75805664065,281896.97998046875,210622.9978027344,182826.59521484375,2203699.3083496094,309416.9831542969,290594.58239746094,234416.197265625,275406.8210449219,204500.47564697263,255756.1953125,333677.6690673828,178452.73181152344,211703.71618652344,162822.65167236328,127855.54809570312,187016.9725341797,283030.5595703125,162719.9315185547,219346.1365966797,252878.8731689453,186196.95373535156,161312.19189453125
Cer(d20:0/26:0(2OH)),0.8420745904919698,7.03800064644941,11.980489337802283,5.376046480188262e-4,0.08942157312046477,Cer,60257.58404159546,70630.22485733032,548139.8922462463,11401.320793151855,9936.340759277344,24407.621559143063,94111.76588821413,78771.12669754028,568625.2210197449,494345.7305030823,124804.72968673706,27834.362232208252,23498.32154846191,47042.62385940552,10131.400749206545,15790.521091461182,33796.60206604004,36811.48260116577,18896.801445007324,25157.801864624023,934894.2044754028,190485.75704956055,11815.660804748535
C24:5,0.7511713724232376,11.472528616721757,9.560788718321426,0.0019877768420095694,0.2975701932488325,FA,2389622.010498047,28005625.03112793,1059367.071029663,1462845.2863464355,1830471.1362304688,3050610.21774292,3302428.7809906006,1810146.6446228027,4780553.716369629,1804504.928527832,2821938.868713379,3457478.7250061035,1571079.0035629272,3108907.9731445312,1520155.8265686035,1091810.442932129,2371646.8937835693,1778013.4094543457,1727106.060089111,3038400.655517578,3056002.0457000732,1619711.4777832031,505308.3322067261
