lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,AK0135,AK0140,AK0142,AK0169,AK0139,AK0161,AK0170,AK0200,AK0202,AK0204,Blank-1x
C20:0,6.725162629231744,9.537334347227581,308.934829828544,3.726199570862409e-69,5.578120757581026e-66,4,6,Genotype_ cKO | time point_ 28d ISCI,Genotype_ cKO | time point_ healthy,FA,7961.160514831543,553515.1601448059,6023808.558933258,7981.580581665039,7966.260536193848,129144.51029586792,7959.200504302978,7964.340545654297,7952.04052734375,7947.500576019287,7982.38060760498
C19:0,-4.572777204987682,10.989248474466583,127.94162400899222,1.1559336494272393e-29,8.652163365962886e-27,4,6,Genotype_ cKO | time point_ 28d ISCI,Genotype_ cKO | time point_ healthy,FA,7954.340511322021,82892.94589614868,403670.6224937439,14175.24090576172,2527474.6073150635,15742885.01977539,21070.661556243896,15163135.976463318,7946.460529327393,7939.080551147461,10814.50089263916
PI (38:7),2.0476285263444756,10.264014609315016,39.92496338204364,2.6390869383819557e-10,1.3169043822525958e-7,4,6,Genotype_ cKO | time point_ 28d ISCI,Genotype_ cKO | time point_ healthy,PI,875462.5455322266,2002109.792175293,3259074.746459961,3191525.4999694824,452580.5346679688,380938.3258666992,305529.56384277344,134219.82901000977,2377474.353790283,387633.4675292969,23601.92147064209
C18:2,-2.178018830144661,11.518779338978293,37.58130579658609,8.768080025939046e-10,3.281453949707688e-7,4,6,Genotype_ cKO | time point_ 28d ISCI,Genotype_ cKO | time point_ healthy,FA,1040349.2161865234,160454.29223632812,7957.600547790527,3332640.4099121094,30382811.85083008,1749622.048370361,1030637.5733642578,3706070.332885742,1180134.9066505432,1968676.159423828,191511.09341430664
TAG(54:7)_FA 16:0,1.8575256023912008,10.453880540785596,33.03572844120209,9.048077266373296e-9,2.7089943335521646e-6,4,6,Genotype_ cKO | time point_ 28d ISCI,Genotype_ cKO | time point_ healthy,TAG,2041557.714416504,998363.0891418456,1560656.8962402344,6912525.977722168,585770.8421020508,487220.3315429688,391416.926940918,511361.9538574219,2768370.0514526367,454828.3283691406,24154.861877441406
TAG(56:8)_FA 18:1,1.7627697564965468,10.330064728189893,29.818643981649082,4.7440779634435447e-08,1.1836474518791644e-5,4,6,Genotype_ cKO | time point_ 28d ISCI,Genotype_ cKO | time point_ healthy,TAG,1883734.0817871091,914075.9053955078,1447974.9493408203,6058347.846496582,521313.45513916016,494805.216796875,406284.0471801758,529813.23828125,2593478.863647461,463341.09509277344,28634.50213623047
TAG(56:7)_FA 18:0,1.7277730155495785,10.684238446408225,28.668106998607982,8.590695621575134e-8,1.837181620785425e-5,4,6,Genotype_ cKO | time point_ 28d ISCI,Genotype_ cKO | time point_ healthy,TAG,2383518.3403930664,1184902.6057128906,1850672.400970459,7715585.222473144,781737.5592041016,676558.5471801758,542158.3009033203,708741.8089599609,3261971.276123047,644395.7590942383,23058.56153869629
TAG(54:8)_FA 16:1,1.5638449586212828,10.0793961027055,23.555698441166896,1.2134950401564384e-6,2.2707525938927355e-4,4,6,Genotype_ cKO | time point_ 28d ISCI,Genotype_ cKO | time point_ healthy,TAG,1579035.663146973,793672.1771240234,1116935.9455566406,4770038.156799316,693039.7122802734,547743.8662109375,430548.4067077637,595706.5601806641,2005208.1481933596,542109.1633300781,29435.76211547852
PG (18:4),-1.6286794993622458,10.644541959607997,22.170518766615714,2.4947533944646026e-6,4.1496064794594557e-4,4,6,Genotype_ cKO | time point_ 28d ISCI,Genotype_ cKO | time point_ healthy,PG,287177.59954833984,158612.06994628906,146954.52981567383,203034.45635986328,972887.184753418,960278.9719848632,1100950.3084716797,1015164.6103515624,205683.87362670896,979080.7119750977,1866382.3871765137
Lyso_PG(18:4),-1.6203701679922977,10.625808873622521,21.961817166842593,2.7812905787619323e-6,4.1635919964066125e-4,4,6,Genotype_ cKO | time point_ 28d ISCI,Genotype_ cKO | time point_ healthy,PG,287372.07763671875,159701.9296875,145450.85116577148,201000.676361084,939979.0142822266,963266.14892578125,1111415.6381225586,1019557.4677734376,190692.7772216797,969426.8099365234,1838982.054840088
C20:3,1.437757755204874,7.353140434492315,19.941629260058107,7.98427496570378e-6,0.0010865872385144146,4,6,Genotype_ cKO | time point_ 28d ISCI,Genotype_ cKO | time point_ healthy,FA,7956.24055480957,223156.93649291992,696611.2298545837,7978.120544433594,7961.540561676025,899622.7589912415,7953.980541229248,20633.40142059326,7945.320518493652,7940.040546417236,7980.980609893799
Lyso_PG(15:0) | PGo (16:0)_2,1.342025182559679,1.5567379926793252,17.32777566113067,3.1455538988097944e-5,0.003427592206140442,4,6,Genotype_ cKO | time point_ 28d ISCI,Genotype_ cKO | time point_ healthy,PG,2014.3401184082031,1846.8601303100584,6181.240234375,1933.940139770508,1691.3801193237305,1705.8600997924805,1875.9601402282717,1587.580108642578,1743.1401023864746,1912.4601364135744,1658.9201278686523
