Lipid,Class,C-1PlasmaF_x,C-2PlasmaF_x,C-3PlasmaF_x,C-4PlasmaM_x,C-5PlasmaM_x,C-6PlasmaM_x,C-1PlasmaF_y,C-2PlasmaF_y,C-3PlasmaF_y,C-4PlasmaM_y,C-5PlasmaM_y,C-6PlasmaM_y,BlankBrain_NA,Title1,Title2,Title,length1,length2,Blank_name
1-O-behenoyl-Cer(d18:1/16:0),Cer,1187.8400802612305,1127.860065460205,1129.5000801086426,1131.2600746154785,1126.8000717163086,1127.160083770752,1187.8400802612305,1127.860065460205,1129.5000801086426,1131.2600746154785,1126.8000717163086,1127.160083770752,1125.580078125,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
1-O-carboceroyl-Cer(d18:1/18:0),Cer,1125.4800720214844,1128.3600730895996,1210.9600868225098,1130.8200759887695,1127.0400886535645,1126.340072631836,1125.4800720214844,1128.3600730895996,1210.9600868225098,1130.8200759887695,1127.0400886535645,1126.340072631836,1126.0800819396973,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
1-O-cerotoyl-Cer(d18:1/16:0),Cer,1125.1400909423828,1127.5200843811035,1222.580078125,1213.8200798034668,1127.3400650024414,1126.3600769042969,1125.1400909423828,1127.5200843811035,1222.580078125,1213.8200798034668,1127.3400650024414,1126.3600769042969,1126.1400833129883,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
1-O-cerotoyl-Cer(d18:1/18:0),Cer,1125.3800811767578,1163.5400848388672,1129.1400718688965,1131.6000785827637,1126.900074005127,1126.7200813293457,1125.3800811767578,1163.5400848388672,1129.1400718688965,1131.6000785827637,1126.900074005127,1126.7200813293457,1128.12007522583,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
1-O-eicosanoyl-Cer(d18:1/16:0),Cer,1084.0200805664062,1086.2600746154785,1086.9600563049316,1089.640064239502,1151.1000785827637,1084.920066833496,1084.0200805664062,1086.2600746154785,1086.9600563049316,1089.640064239502,1151.1000785827637,1084.920066833496,1083.3200721740723,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
1-O-lignoceroyl-Cer(d18:1/16:0),Cer,1163.4400939941406,1127.380069732666,1129.7600708007812,1131.8600769042969,1126.9000854492188,1156.5400772094727,1163.4400939941406,1127.380069732666,1129.7600708007812,1131.8600769042969,1126.9000854492188,1156.5400772094727,1125.9000854492188,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
1-O-pentacosanoyl-Cer(d18:1/16:0),Cer,1207.340087890625,1168.4800834655762,1191.5000762939453,1171.2600784301758,1126.7600746154785,1134.180088043213,1207.340087890625,1168.4800834655762,1191.5000762939453,1171.2600784301758,1126.7600746154785,1134.180088043213,1184.060073852539,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
1-O-tricosanoyl-Cer(d18:1/16:0),Cer,1125.7800750732422,1143.2800827026367,1196.0800857543945,1234.9400901794434,1127.3200721740723,1154.5000801086426,1125.7800750732422,1143.2800827026367,1196.0800857543945,1234.9400901794434,1127.3200721740723,1154.5000801086426,1199.3000755310059,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
1-O-tricosanoyl-Cer(d18:1/18:0),Cer,1126.0600776672363,1127.6400871276855,1145.9000778198242,1131.3200874328613,1126.2600898742676,1126.5400695800781,1126.0600776672363,1127.6400871276855,1145.9000778198242,1131.3200874328613,1126.2600898742676,1126.5400695800781,1125.6400871276855,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
CAR,CAR,2770.080207824707,2712.500171661377,2876.740177154541,2699.6401748657227,2393.9001693725586,2740.600170135498,2770.080207824707,2712.500171661377,2876.740177154541,2699.6401748657227,2393.9001693725586,2740.600170135498,2588.7201652526855,Type: Plasma | experiment: C,Type: Plasma | experiment: C,Type: Plasma__experiment: C vs Type: Plasma__experiment: C,6,6,BlankBrain_NA
