Lipid,Parent_Ion,Product_Ion,Intensity,Transition,Class,Sample_ID,Sample Name,Position,Name,Type,Sex,experiment,method_type,Blank Subtraction,subclasses,chain_length,saturation,between_parenthese,FA_Chain
CAR_QUAL,162.2,60.1,2772.180202484131,162.2 -> 60.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,0,None,None
CAR,162.2,85.1,2588.7201652526855,162.2 -> 85.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,0,None,None
CAR(2:0)_QUAL,204.1,60.1,2918.3402252197266,204.1 -> 60.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,0,(2:0),None
CAR(2:0),204.1,85.1,228032.9575805664,204.1 -> 85.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,0,(2:0),None
CAR(3:1)_QUAL,216.1,60.1,2529.4601860046387,216.1 -> 60.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,1,(3:1),None
CAR(3:1),216.1,85.1,20445.221389770508,216.1 -> 85.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,1,(3:1),None
CAR(3:0)_QUAL,218.1,60.1,2514.3801879882812,218.1 -> 60.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,0,(3:0),None
CAR(3:0),218.1,85.1,9091.040565490723,218.1 -> 85.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,0,(3:0),None
CAR(4:1)_QUAL,230.1,60.1,2918.6601791381836,230.1 -> 60.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,1,(4:1),None
CAR(4:1),230.1,85.1,24590.70191192627,230.1 -> 85.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,1,(4:1),None
CAR(4:0)_QUAL,232.2,60.1,2224.0001487731934,232.2 -> 60.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,0,(4:0),None
CAR(4:0),232.2,85.1,19013.361404418945,232.2 -> 85.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,0,(4:0),None
CAR(5:1)_QUAL,244.2,60.1,4210.700294494629,244.2 -> 60.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,1,(5:1),None
CAR(5:1),244.2,85.1,33777.04251098633,244.2 -> 85.1,CAR,AC_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,blank,AC,0.0,CAR,CAR,1,(5:1),None
