Sample Name,Position,Treatment,Cell Line
07052023_ELOVL1_5Xdilution_Blank-01,TEST,TEST,Blank
07052023_ELOVL1_5Xdilution_Blank-02,TEST,TEST,Blank
07052023_ELOVL1_5Xdilution_Blank-03,TEST,TEST,Blank
07052023_ELOVL1_5Xdilution_HEK293-01,TEST,TEST,HEK
07052023_ELOVL1_5Xdilution_HEK293-02,TEST,TEST,HEK
07052023_ELOVL1_5Xdilution_HEK293-03,TEST,TEST,HEK
07052023_ELOVL1_5Xdilution_HEPG2-01,TEST,TEST,HEP
07052023_ELOVL1_5Xdilution_HEPG2-02,TEST,TEST,HEP
07052023_ELOVL1_5Xdilution_HEPG2-03,TEST,TEST,HEP
ELOVL1_Blank_07052023,TEST,TEST,Blank
