,Biology,Cage,Correct_RT,Genotype,Group_Sample,Lipid,Match_Group,Mouse,New_ID,OzESI_Intensity,Parent_Ion,Product_Ion,Retention_Time,Sample_ID,Transition
0,liver,DOD73,13.95,5xFAD,3.0,[TG(50:3)]_FA18:1,550.0,M2,[TG(50:3)]_FA18:1-DOD73-M2-5xFAD-liver,31163.623046875,846.8,547.5,13.95,12012023_DOD73_M2_5xFAD_liver_O3on_01,846.8 -> 547.5
1,liver,FAD131,13.95,5xFAD,33.0,[TG(50:3)]_FA18:1,551.0,M1,[TG(50:3)]_FA18:1-FAD131-M1-5xFAD-liver,54680.6640625,846.8,547.5,13.95,12012023_FAD131_M1_5xFAD_liver_O3on_01,846.8 -> 547.5
2,liver,FAD131,13.95,5xFAD,63.0,[TG(50:3)]_FA18:1,552.0,M2,[TG(50:3)]_FA18:1-FAD131-M2-5xFAD-liver,75850.0078125,846.8,547.5,13.95,12012023_FAD131_M2_5xFAD_liver_O3on_01,846.8 -> 547.5
3,liver,FAD131,13.95,5xFAD,93.0,[TG(50:3)]_FA18:1,553.0,M4,[TG(50:3)]_FA18:1-FAD131-M4-5xFAD-liver,17651.98046875,846.8,547.5,13.95,12012023_FAD131_M4_5xFAD_liver_O3on_01,846.8 -> 547.5
4,liver,FAD173,13.95,5xFAD,123.0,[TG(50:3)]_FA18:1,554.0,M1,[TG(50:3)]_FA18:1-FAD173-M1-5xFAD-liver,31828.04296875,846.8,547.5,13.95,12012023_FAD173_M1_5xFAD_liver_O3on_01,846.8 -> 547.5
5,liver,DOD73,12.62,5xFAD,5.0,[TG(52:5)]_FA16:1,595.0,M2,[TG(52:5)]_FA16:1-DOD73-M2-5xFAD-liver,84342.0859375,870.8,599.5,12.62,12012023_DOD73_M2_5xFAD_liver_O3on_01,870.8 -> 599.5
6,liver,FAD131,12.75,5xFAD,35.0,[TG(52:5)]_FA16:1,596.0,M1,[TG(52:5)]_FA16:1-FAD131-M1-5xFAD-liver,98573.5234375,870.8,599.5,12.75,12012023_FAD131_M1_5xFAD_liver_O3on_01,870.8 -> 599.5
7,liver,FAD131,12.75,5xFAD,65.0,[TG(52:5)]_FA16:1,597.0,M2,[TG(52:5)]_FA16:1-FAD131-M2-5xFAD-liver,88834.7265625,870.8,599.5,12.71,12012023_FAD131_M2_5xFAD_liver_O3on_01,870.8 -> 599.5
8,liver,FAD131,12.75,5xFAD,95.0,[TG(52:5)]_FA16:1,598.0,M4,[TG(52:5)]_FA16:1-FAD131-M4-5xFAD-liver,31461.44140625,870.8,599.5,12.62,12012023_FAD131_M4_5xFAD_liver_O3on_01,870.8 -> 599.5
9,liver,FAD173,12.71,5xFAD,125.0,[TG(52:5)]_FA16:1,599.0,M1,[TG(52:5)]_FA16:1-FAD173-M1-5xFAD-liver,88708.703125,870.8,599.5,12.71,12012023_FAD173_M1_5xFAD_liver_O3on_01,870.8 -> 599.5
10,liver,DOD73,11.51,5xFAD,6.0,[TG(52:6)]_FA18:2,580.0,M2,[TG(52:6)]_FA18:2-DOD73-M2-5xFAD-liver,18093.701171875,868.8,571.5,11.51,12012023_DOD73_M2_5xFAD_liver_O3on_01,868.8 -> 571.5
11,liver,FAD131,11.51,5xFAD,36.0,[TG(52:6)]_FA18:2,581.0,M1,[TG(52:6)]_FA18:2-FAD131-M1-5xFAD-liver,18440.08203125,868.8,571.5,11.55,12012023_FAD131_M1_5xFAD_liver_O3on_01,868.8 -> 571.5
12,liver,FAD131,11.51,5xFAD,66.0,[TG(52:6)]_FA18:2,582.0,M2,[TG(52:6)]_FA18:2-FAD131-M2-5xFAD-liver,23867.72265625,868.8,571.5,11.51,12012023_FAD131_M2_5xFAD_liver_O3on_01,868.8 -> 571.5
13,liver,FAD131,11.51,5xFAD,96.0,[TG(52:6)]_FA18:2,583.0,M4,[TG(52:6)]_FA18:2-FAD131-M4-5xFAD-liver,4189.98046875,868.8,571.5,11.51,12012023_FAD131_M4_5xFAD_liver_O3on_01,868.8 -> 571.5
14,liver,FAD173,11.51,5xFAD,126.0,[TG(52:6)]_FA18:2,584.0,M1,[TG(52:6)]_FA18:2-FAD173-M1-5xFAD-liver,15068.5009765625,868.8,571.5,11.51,12012023_FAD173_M1_5xFAD_liver_O3on_01,868.8 -> 571.5
15,liver,FAD131,17.02,5xFAD,67.0,"[TG(52:7),TG(51:0)]_FA18:1",577.0,M2,"[TG(52:7),TG(51:0)]_FA18:1-FAD131-M2-5xFAD-liver",2350.66015625,866.8,567.5,17.02,12012023_FAD131_M2_5xFAD_liver_O3on_01,866.8 -> 567.5
