Unnamed: 0,Class,Intensity,Lipid,Parent_Ion,Product_Ion,Sample_ID,Transition
1715,,23879.921672821045,,790.6,615.5,11282023_FAD184_F4_WT_hippo_O3on_01,790.6 -> 615.5
1716,,30570.20221328736,,790.7,601.5,11282023_FAD184_F4_WT_hippo_O3on_01,790.7 -> 601.5
1717,,23873.94162750244,,790.7,629.5,11282023_FAD184_F4_WT_hippo_O3on_01,790.7 -> 629.5
1718,,23848.881687164307,,792.6,617.5,11282023_FAD184_F4_WT_hippo_O3on_01,792.6 -> 617.5
1719,,78316.74528121948,,792.7,603.5,11282023_FAD184_F4_WT_hippo_O3on_01,792.7 -> 603.5
1720,,38292.18272399902,,794.7,605.5,11282023_FAD184_F4_WT_hippo_O3on_01,794.7 -> 605.5
1721,,26112.88184738159,,796.7,607.5,11282023_FAD184_F4_WT_hippo_O3on_01,796.7 -> 607.5
1722,,23767.56167602539,,798.7,623.6,11282023_FAD184_F4_WT_hippo_O3on_01,798.7 -> 623.6
1723,,23790.74166870117,,798.7,651.6,11282023_FAD184_F4_WT_hippo_O3on_01,798.7 -> 651.6
1724,,23719.781661987305,,798.7,651.6,11282023_FAD184_F4_WT_hippo_O3on_01,798.7 -> 651.6
1725,,23741.921672821045,,798.8,637.6,11282023_FAD184_F4_WT_hippo_O3on_01,798.8 -> 637.6
1726,,23777.08164978028,,800.6,625.5,11282023_FAD184_F4_WT_hippo_O3on_01,800.6 -> 625.5
1727,,23769.161651611328,,800.6,653.5,11282023_FAD184_F4_WT_hippo_O3on_01,800.6 -> 653.5
1728,,23975.28170394897,,800.7,583.5,11282023_FAD184_F4_WT_hippo_O3on_01,800.7 -> 583.5
1729,,23865.36167907715,,802.6,627.5,11282023_FAD184_F4_WT_hippo_O3on_01,802.6 -> 627.5
1730,,23794.42168045044,,802.6,655.5,11282023_FAD184_F4_WT_hippo_O3on_01,802.6 -> 655.5
1731,,23781.08170700073,,804.6,629.5,11282023_FAD184_F4_WT_hippo_O3on_01,804.6 -> 629.5
1732,,23845.461639404297,,804.7,615.5,11282023_FAD184_F4_WT_hippo_O3on_01,804.7 -> 615.5
1733,,23818.581676483154,,804.7,657.6,11282023_FAD184_F4_WT_hippo_O3on_01,804.7 -> 657.6
1734,,23866.20167541504,,806.6,631.5,11282023_FAD184_F4_WT_hippo_O3on_01,806.6 -> 631.5
1735,,24080.66166687012,,806.7,617.5,11282023_FAD184_F4_WT_hippo_O3on_01,806.7 -> 617.5
1736,,23750.72169113159,,808.7,633.6,11282023_FAD184_F4_WT_hippo_O3on_01,808.7 -> 633.6
1737,,23960.42170715332,,812.8,623.6,11282023_FAD184_F4_WT_hippo_O3on_01,812.8 -> 623.6
1738,,23895.64171600341,,812.8,651.6,11282023_FAD184_F4_WT_hippo_O3on_01,812.8 -> 651.6
1739,,23983.00170898437,,814.7,597.5,11282023_FAD184_F4_WT_hippo_O3on_01,814.7 -> 597.5
1740,,23719.88164520264,,814.7,625.5,11282023_FAD184_F4_WT_hippo_O3on_01,814.7 -> 625.5
1741,,23822.96165084839,,816.7,599.5,11282023_FAD184_F4_WT_hippo_O3on_01,816.7 -> 599.5
1742,,23719.021686553955,,816.7,627.5,11282023_FAD184_F4_WT_hippo_O3on_01,816.7 -> 627.5
1743,,23797.82168960572,,818.7,601.5,11282023_FAD184_F4_WT_hippo_O3on_01,818.7 -> 601.5
1744,,24001.861728668213,,818.7,629.5,11282023_FAD184_F4_WT_hippo_O3on_01,818.7 -> 629.5
1745,,23766.641677856445,,818.7,629.5,11282023_FAD184_F4_WT_hippo_O3on_01,818.7 -> 629.5
1746,,24236.54167175293,,820.7,603.5,11282023_FAD184_F4_WT_hippo_O3on_01,820.7 -> 603.5
1747,,24157.48170471192,,820.7,631.5,11282023_FAD184_F4_WT_hippo_O3on_01,820.7 -> 631.5
1748,,24010.48171234131,,822.7,605.5,11282023_FAD184_F4_WT_hippo_O3on_01,822.7 -> 605.5
1749,,24703.621768951416,,822.8,633.6,11282023_FAD184_F4_WT_hippo_O3on_01,822.8 -> 633.6
1750,,23960.101642608643,,824.7,607.5,11282023_FAD184_F4_WT_hippo_O3on_01,824.7 -> 607.5
1751,,23746.681663513184,,826.7,651.6,11282023_FAD184_F4_WT_hippo_O3on_01,826.7 -> 651.6
