Lipid,Brain_std,Liver_std,Brain_std,Liver_std
[TG(52:5)]_FA16:1,2.8,11.5,0.6,4.7
"[TG(55:11),TG(54:4)]_FA16:1",,6.8,,0.5
"[TG(56:7),]_FA16:1",,72.0,,48.5
[TG(50:3)]_FA18:1,100.0,93.3,0.0,2.1
"[TG(52:7),]_FA18:1",,100.0,,0.0
"[TG(55:8),TG(54:1)]_FA18:1",100.0,97.1,0.0,3.0
"[TG(55:9),TG(54:2)]_FA18:1",100.0,95.0,0.0,2.9
"[TG(55:10),TG(54:3)]_FA18:1",99.2,88.4,1.4,1.9
"[TG(55:11),TG(54:4)]_FA18:1",98.6,85.4,2.6,1.4
[TG(54:5)]_FA18:1,99.3,93.4,1.6,1.2
[TG(54:6)]_FA18:1,100.0,93.4,0.0,2.3
"[TG(56:10),TG(55:3)]_FA18:1",,96.3,,5.0
"[TG(56:11),TG(55:4)]_FA18:1",,100.0,,0.0
"[TG(57:9),TG(56:2)]_FA18:1",100.0,96.8,0.0,3.2
"[TG(57:10),TG(56:3)]_FA18:1",,93.7,,4.1
"[TG(57:11),TG(56:4)]_FA18:1",100.0,94.3,0.0,3.7
"[TG(57:12),TG(56:5)]_FA18:1",,93.2,,6.6
[TG(56:6)]_FA18:1,,96.8,,2.5
"[TG(56:7),]_FA18:1",100.0,97.8,,2.1
"[TG(59:11),TG(58:4)]_FA18:1",,95.7,,5.0
"[TG(59:12),TG(58:5)]_FA18:1",,100.0,,0.0
"[TG(59:13),TG(58:6)]_FA18:1",,100.0,,0.0
"[TG(58:7),]_FA18:1",,100.0,,0.0
