,Lipid,Genotype,n-9_avg,std_dev
0,[TG(52:5)]_FA16:1,5xFAD,5.8,
1,[TG(50:3)]_FA18:1,WT,100.0,0.0
6,[TG(50:3)]_FA18:1,5xFAD,100.0,0.0
11,"[TG(55:8),TG(54:1)]_FA18:1",WT,100.0,0.0
14,"[TG(55:8),TG(54:1)]_FA18:1",5xFAD,100.0,
15,"[TG(55:9),TG(54:2)]_FA18:1",WT,94.7,6.8
20,"[TG(55:9),TG(54:2)]_FA18:1",5xFAD,98.4,3.6
25,"[TG(55:10),TG(54:3)]_FA18:1",WT,96.9,2.2
30,"[TG(55:10),TG(54:3)]_FA18:1",5xFAD,100.0,0.0
36,"[TG(55:11),TG(54:4)]_FA18:1",WT,96.2,3.2
41,"[TG(55:11),TG(54:4)]_FA18:1",5xFAD,99.4,1.5
47,[TG(54:5)]_FA18:1,WT,95.0,6.9
52,[TG(54:5)]_FA18:1,5xFAD,97.9,5.1
58,[TG(54:6)]_FA18:1,WT,100.0,
59,"[TG(57:9),TG(56:2)]_FA18:1",WT,100.0,0.0
62,"[TG(57:9),TG(56:2)]_FA18:1",5xFAD,100.0,
63,"[TG(57:10),TG(56:3)]_FA18:1",WT,100.0,0.0
65,"[TG(57:11),TG(56:4)]_FA18:1",WT,100.0,
66,"[TG(56:7),]_FA18:1",WT,100.0,
