Lipid,Brain_std,Liver_std,Brain_std,Liver_std
[TG(52:5)]_FA16:1,5.7,17.4,0.2,7.4
"[TG(55:11),TG(54:4)]_FA16:1",,10.7,,4.2
"[TG(56:7),]_FA16:1",,51.1,,42.6
[TG(50:3)]_FA18:1,99.6,89.4,1.4,2.5
"[TG(52:7),]_FA18:1",,100.0,,0.0
"[TG(55:8),TG(54:1)]_FA18:1",100.0,95.8,0.0,3.1
"[TG(55:9),TG(54:2)]_FA18:1",99.4,95.4,2.6,1.8
"[TG(55:10),TG(54:3)]_FA18:1",99.0,90.7,2.1,3.4
"[TG(55:11),TG(54:4)]_FA18:1",96.9,88.6,6.2,2.6
[TG(54:5)]_FA18:1,98.9,88.4,3.2,1.6
[TG(54:6)]_FA18:1,100.0,92.0,0.0,4.4
"[TG(56:10),TG(55:3)]_FA18:1",,95.3,,6.5
"[TG(56:11),TG(55:4)]_FA18:1",,96.7,,5.7
"[TG(57:9),TG(56:2)]_FA18:1",100.0,97.0,0.0,3.0
"[TG(57:10),TG(56:3)]_FA18:1",,91.9,,4.6
"[TG(57:11),TG(56:4)]_FA18:1",100.0,87.8,0.0,5.2
"[TG(57:12),TG(56:5)]_FA18:1",,89.0,,12.2
[TG(56:6)]_FA18:1,,95.0,,3.3
"[TG(56:7),]_FA18:1",100.0,96.4,,3.3
"[TG(59:11),TG(58:4)]_FA18:1",,95.7,,6.4
"[TG(59:12),TG(58:5)]_FA18:1",,100.0,,0.0
"[TG(59:13),TG(58:6)]_FA18:1",,100.0,,0.0
"[TG(58:7),]_FA18:1",,100.0,,0.0
