,Lipid,Sample_ID,db_pos,Product_Ion,Retention_Time,OzESI_Intensity,Parent_Ion,Biology,Genotype,Mouse,SLBG_group,Lipid_End,total_intensity,n-9%
14,[TG(52:5)]_FA16:1,11282023_DOD94_F3_WT_cereb_O3on_01,n-7,599.5,12.02,673,788.7,cereb,WT,DOD94_F3,34,FA16:1,673,0.0
15,[TG(52:5)]_FA16:1,11282023_DOD94_F3_WT_cortex_O3on_01,n-7,599.5,12.02,1126,788.7,cortex,WT,DOD94_F3,35,FA16:1,1126,0.0
16,[TG(52:5)]_FA16:1,11282023_DOD94_F3_WT_dienc_O3on_01,n-7,599.5,12.1,1567,788.7,dienc,WT,DOD94_F3,36,FA16:1,1567,0.0
17,[TG(52:5)]_FA16:1,11282023_FAD184_F3_WT_cortex_O3on_01,n-7,599.5,12.02,3221,788.7,cortex,WT,FAD184_F3,37,FA16:1,3221,0.0
18,[TG(52:5)]_FA16:1,11282023_FAD184_F3_WT_dienc_O3on_01,n-7,599.5,12.06,512,788.7,dienc,WT,FAD184_F3,38,FA16:1,512,0.0
19,[TG(52:5)]_FA16:1,11282023_FAD185_M4_WT_cereb_O3on_01,n-7,599.5,12.02,26428,788.7,cereb,WT,FAD185_M4,39,FA16:1,29367,0.0
20,[TG(52:5)]_FA16:1,11282023_FAD185_M4_WT_cereb_O3on_01,n-9,599.5,12.07,2939,760.7,cereb,WT,FAD185_M4,39,FA16:1,29367,10.007831920182518
21,[TG(52:5)]_FA16:1,11282023_FAD185_M4_WT_cortex_O3on_01,n-7,599.5,12.02,16896,788.7,cortex,WT,FAD185_M4,40,FA16:1,19950,0.0
22,[TG(52:5)]_FA16:1,11282023_FAD185_M4_WT_cortex_O3on_01,n-9,599.5,12.07,3054,760.7,cortex,WT,FAD185_M4,40,FA16:1,19950,15.308270676691729
23,[TG(52:5)]_FA16:1,11282023_FAD185_M4_WT_dienc_O3on_01,n-7,599.5,12.02,1840,788.7,dienc,WT,FAD185_M4,41,FA16:1,1840,0.0
24,[TG(52:5)]_FA16:1,11282023_FAD185_M4_WT_hippo_O3on_01,n-7,599.5,12.06,539,788.7,hippo,WT,FAD185_M4,42,FA16:1,539,0.0
25,[TG(52:5)]_FA16:1,11282023_FAD189_M3_WT_cereb_O3on_01,n-7,599.5,12.02,6437,788.7,cereb,WT,FAD189_M3,43,FA16:1,7482,0.0
26,[TG(52:5)]_FA16:1,11282023_FAD189_M3_WT_cereb_O3on_01,n-9,599.5,12.07,1045,760.7,cereb,WT,FAD189_M3,43,FA16:1,7482,13.966853782411121
27,[TG(52:5)]_FA16:1,11282023_FAD189_M3_WT_cortex_O3on_01,n-7,599.5,11.97,17455,788.7,cortex,WT,FAD189_M3,44,FA16:1,19093,0.0
28,[TG(52:5)]_FA16:1,11282023_FAD189_M3_WT_cortex_O3on_01,n-9,599.5,12.07,1638,760.7,cortex,WT,FAD189_M3,44,FA16:1,19093,8.579060388624104
29,[TG(52:5)]_FA16:1,11282023_FAD189_M3_WT_dienc_O3on_01,n-7,599.5,12.02,1849,788.7,dienc,WT,FAD189_M3,45,FA16:1,1849,0.0
16,[TG(52:5)]_FA16:1,11292023_DOD93_F4_5xFAD_dienc_O3on_01,n-7,599.5,12.24,586,788.7,dienc,5xFAD,DOD93_F4,46,FA16:1,586,0.0
17,[TG(52:5)]_FA16:1,11292023_DOD94_F4_5xFAD_cereb_O3on_01,n-7,599.5,12.24,1418,788.7,cereb,5xFAD,DOD94_F4,47,FA16:1,1418,0.0
18,[TG(52:5)]_FA16:1,11292023_DOD94_F4_5xFAD_cortex_O3on_01,n-7,599.5,12.24,931,788.7,cortex,5xFAD,DOD94_F4,48,FA16:1,931,0.0
19,[TG(52:5)]_FA16:1,11292023_FAD185_M1_5xFAD_cereb_O3on_01,n-7,599.5,12.24,1340,788.7,cereb,5xFAD,FAD185_M1,49,FA16:1,1340,0.0
20,[TG(52:5)]_FA16:1,11292023_FAD185_M1_5xFAD_cortex_O3on_01,n-7,599.5,12.28,2509,788.7,cortex,5xFAD,FAD185_M1,50,FA16:1,2509,0.0
21,[TG(52:5)]_FA16:1,11292023_FAD185_M1_5xFAD_dienc_O3on_01,n-7,599.5,12.24,906,788.7,dienc,5xFAD,FAD185_M1,51,FA16:1,906,0.0
22,[TG(52:5)]_FA16:1,11292023_FAD185_M1_5xFAD_hippo_O3on_01,n-7,599.5,12.33,603,788.7,hippo,5xFAD,FAD185_M1,52,FA16:1,603,0.0
23,[TG(52:5)]_FA16:1,11292023_FAD185_M3_5xFAD_cereb_O3on_01,n-7,599.5,12.24,1314,788.7,cereb,5xFAD,FAD185_M3,53,FA16:1,1314,0.0
24,[TG(52:5)]_FA16:1,11292023_FAD189_M1_5xFAD_cereb_O3on_01,n-7,599.5,12.28,27260,788.7,cereb,5xFAD,FAD189_M1,54,FA16:1,29072,0.0
25,[TG(52:5)]_FA16:1,11292023_FAD189_M1_5xFAD_cereb_O3on_01,n-9,599.5,12.42,1812,760.7,cereb,5xFAD,FAD189_M1,54,FA16:1,29072,6.232801320858558
26,[TG(52:5)]_FA16:1,11292023_FAD189_M1_5xFAD_cortex_O3on_01,n-7,599.5,12.28,30704,788.7,cortex,5xFAD,FAD189_M1,55,FA16:1,32899,0.0
27,[TG(52:5)]_FA16:1,11292023_FAD189_M1_5xFAD_cortex_O3on_01,n-9,599.5,12.33,2195,760.7,cortex,5xFAD,FAD189_M1,55,FA16:1,32899,6.671935317182894
28,[TG(52:5)]_FA16:1,11292023_FAD189_M1_5xFAD_dienc_O3on_01,n-7,599.5,12.33,5355,788.7,dienc,5xFAD,FAD189_M1,56,FA16:1,5995,0.0
29,[TG(52:5)]_FA16:1,11292023_FAD189_M1_5xFAD_dienc_O3on_01,n-9,599.5,12.38,640,760.7,dienc,5xFAD,FAD189_M1,56,FA16:1,5995,10.67556296914095
30,[TG(52:5)]_FA16:1,11292023_FAD189_M1_5xFAD_hippo_O3on_01,n-7,599.5,12.33,934,788.7,hippo,5xFAD,FAD189_M1,57,FA16:1,934,0.0
31,[TG(52:5)]_FA16:1,11292023_FAD189_M2_5xFAD_cereb_O3on_01,n-7,599.5,12.24,742,788.7,cereb,5xFAD,FAD189_M2,58,FA16:1,742,0.0
10,[TG(52:5)]_FA16:1,12012023_DOD73_M2_5xFAD_liver_O3on_01,n-10,599.5,12.83,501,746.6,liver,5xFAD,DOD73_M2,59,FA16:1,55278,0.0
11,[TG(52:5)]_FA16:1,12012023_DOD73_M2_5xFAD_liver_O3on_01,n-7,599.5,12.64,49192,788.7,liver,5xFAD,DOD73_M2,59,FA16:1,55278,0.0
12,[TG(52:5)]_FA16:1,12012023_DOD73_M2_5xFAD_liver_O3on_01,n-9,599.5,12.69,5585,760.7,liver,5xFAD,DOD73_M2,59,FA16:1,55278,10.10347697094685
