,Lipid,Sample_ID,db,Parent_Ion,Product_Ion,Retention_Time,OzESI_Intensity,Transition,Cluster_Label,Group,Area,Area_RT,Area_Ratio,FAC,TG
23,[TG(52:5)]_FA16:1,11282023_DOD94_F3_WT_cereb_O3on_01,n-7,788.7,599.5,12.02,673.0,788.7 -> 599.5,0,7,1346.0,0.0,,FA16:1,TG(52:5)
24,[TG(52:5)]_FA16:1,11282023_DOD94_F3_WT_cortex_O3on_01,n-7,788.7,599.5,12.02,1126.0,788.7 -> 599.5,0,7,3377.0,0.044150000000000134,,FA16:1,TG(52:5)
25,[TG(52:5)]_FA16:1,11282023_DOD94_F3_WT_dienc_O3on_01,n-7,788.7,599.5,12.1,1567.0,788.7 -> 599.5,0,7,8046.0,0.04466666666666619,,FA16:1,TG(52:5)
26,[TG(52:5)]_FA16:1,11282023_FAD184_F3_WT_cortex_O3on_01,n-7,788.7,599.5,12.02,3221.0,788.7 -> 599.5,0,7,20614.0,0.08906666666666752,,FA16:1,TG(52:5)
27,[TG(52:5)]_FA16:1,11282023_FAD184_F3_WT_dienc_O3on_01,n-7,788.7,599.5,12.06,512.0,788.7 -> 599.5,0,7,1024.0,0.0,,FA16:1,TG(52:5)
28,[TG(52:5)]_FA16:1,11282023_FAD185_M4_WT_cereb_O3on_01,n-7,788.7,599.5,12.02,26428.0,788.7 -> 599.5,0,7,272540.0,0.3555333333333337,0.04,FA16:1,TG(52:5)
29,[TG(52:5)]_FA16:1,11282023_FAD185_M4_WT_cereb_O3on_01,n-9,760.7,599.5,12.07,2939.0,760.7 -> 599.5,0,3,10651.0,0.04439999999999955,0.04,FA16:1,TG(52:5)
30,[TG(52:5)]_FA16:1,11282023_FAD185_M4_WT_cortex_O3on_01,n-7,788.7,599.5,12.02,16896.0,788.7 -> 599.5,0,7,152050.0,0.2664333333333335,0.07,FA16:1,TG(52:5)
31,[TG(52:5)]_FA16:1,11282023_FAD185_M4_WT_cortex_O3on_01,n-9,760.7,599.5,12.07,3054.0,760.7 -> 599.5,0,3,10362.0,0.08881666666666632,0.07,FA16:1,TG(52:5)
32,[TG(52:5)]_FA16:1,11282023_FAD185_M4_WT_dienc_O3on_01,n-7,788.7,599.5,12.02,1840.0,788.7 -> 599.5,0,7,10844.0,0.08906666666666574,,FA16:1,TG(52:5)
33,[TG(52:5)]_FA16:1,11282023_FAD185_M4_WT_hippo_O3on_01,n-7,788.7,599.5,12.06,539.0,788.7 -> 599.5,0,7,4644.0,0.1332333333333331,,FA16:1,TG(52:5)
34,[TG(52:5)]_FA16:1,11282023_FAD189_M3_WT_cereb_O3on_01,n-7,788.7,599.5,12.02,6437.0,788.7 -> 599.5,0,7,54886.0,0.2661666666666669,0.05,FA16:1,TG(52:5)
35,[TG(52:5)]_FA16:1,11282023_FAD189_M3_WT_cereb_O3on_01,n-9,760.7,599.5,12.07,1045.0,760.7 -> 599.5,0,3,2976.0,0.04441666666666677,0.05,FA16:1,TG(52:5)
36,[TG(52:5)]_FA16:1,11282023_FAD189_M3_WT_cortex_O3on_01,n-7,788.7,599.5,11.97,17455.0,788.7 -> 599.5,0,7,171277.0,0.3555166666666665,0.04,FA16:1,TG(52:5)
37,[TG(52:5)]_FA16:1,11282023_FAD189_M3_WT_cortex_O3on_01,n-9,760.7,599.5,12.07,1638.0,760.7 -> 599.5,0,3,7560.0,0.08880000000000088,0.04,FA16:1,TG(52:5)
38,[TG(52:5)]_FA16:1,11282023_FAD189_M3_WT_dienc_O3on_01,n-7,788.7,599.5,12.02,1849.0,788.7 -> 599.5,0,7,15183.0,0.13321666666666765,,FA16:1,TG(52:5)
0,[TG(50:3)]_FA18:1,11282023_DOD94_F3_WT_cereb_O3on_01,n-9,736.7,547.5,13.32,559.0,736.7 -> 547.5,0,1,4097.0,0.35526666666666706,,FA18:1,TG(50:3)
1,[TG(50:3)]_FA18:1,11282023_DOD94_F3_WT_cortex_O3on_01,n-9,736.7,547.5,13.8,483.0,736.7 -> 547.5,0,1,965.0,0.0,,FA18:1,TG(50:3)
2,[TG(50:3)]_FA18:1,11282023_DOD94_F3_WT_dienc_O3on_01,n-10,722.7,547.5,13.72,430.0,722.7 -> 547.5,0,0,860.0,0.0,,FA18:1,TG(50:3)
3,[TG(50:3)]_FA18:1,11282023_DOD94_F3_WT_dienc_O3on_01,n-9,736.7,547.5,13.32,1334.0,736.7 -> 547.5,0,1,9226.0,0.1776166666666672,,FA18:1,TG(50:3)
