,Lipid,Sample_ID,db,Parent_Ion,Product_Ion,Retention_Time,OzESI_Intensity,Transition,Cluster_Label,Group,Area,Area_RT,Area_Ratio,FAC,TG
11,[TG(52:5)]_FA16:1,12012023_DOD73_M2_5xFAD_liver_O3on_01,n-10,746.6,599.5,12.83,501.0,746.6 -> 599.5,0,3,5352.0,0.1332333333333331,,FA16:1,TG(52:5)
12,[TG(52:5)]_FA16:1,12012023_DOD73_M2_5xFAD_liver_O3on_01,n-12,718.6,599.5,12.25,730.0,718.6 -> 599.5,0,0,2919.0,0.0,,FA16:1,TG(52:5)
13,[TG(52:5)]_FA16:1,12012023_DOD73_M2_5xFAD_liver_O3on_01,n-7,788.7,599.5,12.55,2526.0,788.7 -> 599.5,0,14,1428360.0,0.6219666666666672,0.05,FA16:1,TG(52:5)
14,[TG(52:5)]_FA16:1,12012023_DOD73_M2_5xFAD_liver_O3on_01,n-9,760.7,599.5,12.64,816.0,760.7 -> 599.5,0,6,72918.0,0.3108500000000003,0.05,FA16:1,TG(52:5)
15,[TG(52:5)]_FA16:1,12012023_FAD131_M1_5xFAD_liver_O3on_01,n-10,746.6,599.5,12.43,439.0,746.6 -> 599.5,0,3,16163.0,0.7104999999999997,,FA16:1,TG(52:5)
16,[TG(52:5)]_FA16:1,12012023_FAD131_M1_5xFAD_liver_O3on_01,n-12,718.6,599.5,12.25,632.0,718.6 -> 599.5,0,0,15869.0,0.13321666666666587,,FA16:1,TG(52:5)
17,[TG(52:5)]_FA16:1,12012023_FAD131_M1_5xFAD_liver_O3on_01,n-7,788.7,599.5,12.59,9876.0,788.7 -> 599.5,0,14,1438108.0,0.6216833333333334,0.15,FA16:1,TG(52:5)
18,[TG(52:5)]_FA16:1,12012023_FAD131_M1_5xFAD_liver_O3on_01,n-9,760.7,599.5,12.69,4845.0,760.7 -> 599.5,0,6,219910.0,0.3996499999999994,0.15,FA16:1,TG(52:5)
19,[TG(52:5)]_FA16:1,12012023_FAD131_M2_5xFAD_liver_O3on_01,n-10,746.6,599.5,12.96,412.0,746.6 -> 599.5,0,3,8515.0,0.08881666666666632,,FA16:1,TG(52:5)
20,[TG(52:5)]_FA16:1,12012023_FAD131_M2_5xFAD_liver_O3on_01,n-12,718.6,599.5,12.25,1297.0,718.6 -> 599.5,0,0,17407.0,0.13321666666666765,,FA16:1,TG(52:5)
21,[TG(52:5)]_FA16:1,12012023_FAD131_M2_5xFAD_liver_O3on_01,n-7,788.7,599.5,12.55,561.0,788.7 -> 599.5,0,14,1383549.0,0.7993166666666678,0.2,FA16:1,TG(52:5)
22,[TG(52:5)]_FA16:1,12012023_FAD131_M2_5xFAD_liver_O3on_01,n-9,760.7,599.5,12.69,12299.0,760.7 -> 599.5,0,6,281599.0,0.5328833333333325,0.2,FA16:1,TG(52:5)
23,[TG(52:5)]_FA16:1,12012023_FAD131_M4_5xFAD_liver_O3on_01,n-10,746.6,599.5,12.87,539.0,746.6 -> 599.5,0,3,6440.0,0.13321666666666587,,FA16:1,TG(52:5)
24,[TG(52:5)]_FA16:1,12012023_FAD131_M4_5xFAD_liver_O3on_01,n-7,788.7,599.5,12.55,1148.0,788.7 -> 599.5,0,14,810706.0,0.6663666666666668,0.1,FA16:1,TG(52:5)
25,[TG(52:5)]_FA16:1,12012023_FAD131_M4_5xFAD_liver_O3on_01,n-9,760.7,599.5,12.64,949.0,760.7 -> 599.5,0,6,78841.0,0.35524999999999984,0.1,FA16:1,TG(52:5)
26,[TG(52:5)]_FA16:1,12012023_FAD173_M1_5xFAD_liver_O3on_01,n-10,746.6,599.5,12.96,461.0,746.6 -> 599.5,0,3,3456.0,0.04413333333333469,,FA16:1,TG(52:5)
27,[TG(52:5)]_FA16:1,12012023_FAD173_M1_5xFAD_liver_O3on_01,n-12,718.6,599.5,12.25,1969.0,718.6 -> 599.5,0,0,13984.0,0.0888166666666681,,FA16:1,TG(52:5)
28,[TG(52:5)]_FA16:1,12012023_FAD173_M1_5xFAD_liver_O3on_01,n-7,788.7,599.5,12.55,3848.0,788.7 -> 599.5,0,14,1358412.0,0.6663666666666668,0.16,FA16:1,TG(52:5)
29,[TG(52:5)]_FA16:1,12012023_FAD173_M1_5xFAD_liver_O3on_01,n-9,760.7,599.5,12.64,4428.0,760.7 -> 599.5,0,6,215097.0,0.44406666666666617,0.16,FA16:1,TG(52:5)
70,"[TG(55:11),TG(54:4)]_FA16:1",12012023_DOD73_M2_5xFAD_liver_O3on_01,n-7,818.7,629.5,14.89,1621.0,818.7 -> 629.5,0,30,146862.0,0.5775666666666677,,FA16:1,"TG(54:4), TG(55:11)"
71,"[TG(55:11),TG(54:4)]_FA16:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-12,748.6,629.5,14.65,477.0,748.6 -> 629.5,0,4,1909.0,0.0,,FA16:1,"TG(54:4), TG(55:11)"
72,"[TG(55:11),TG(54:4)]_FA16:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-7,818.7,629.5,14.89,1596.0,818.7 -> 629.5,0,30,323110.0,0.5775500000000005,0.08,FA16:1,"TG(54:4), TG(55:11)"
73,"[TG(55:11),TG(54:4)]_FA16:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-9,790.7,629.5,15.03,530.0,790.7 -> 629.5,0,17,24701.0,0.2220333333333322,0.08,FA16:1,"TG(54:4), TG(55:11)"
74,"[TG(55:11),TG(54:4)]_FA16:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-7,818.7,629.5,14.85,1082.0,818.7 -> 629.5,0,30,306536.0,0.6219666666666672,0.07,FA16:1,"TG(54:4), TG(55:11)"
75,"[TG(55:11),TG(54:4)]_FA16:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-9,790.7,629.5,14.99,577.0,790.7 -> 629.5,0,17,21162.0,0.13321666666666765,0.07,FA16:1,"TG(54:4), TG(55:11)"
76,"[TG(55:11),TG(54:4)]_FA16:1",12012023_FAD131_M4_5xFAD_liver_O3on_01,n-7,818.7,629.5,14.89,617.0,818.7 -> 629.5,0,30,78826.0,0.48848333333333294,,FA16:1,"TG(54:4), TG(55:11)"
77,"[TG(55:11),TG(54:4)]_FA16:1",12012023_FAD173_M1_5xFAD_liver_O3on_01,n-7,818.7,629.5,14.89,3780.0,818.7 -> 629.5,0,30,235343.0,0.577283333333332,,FA16:1,"TG(54:4), TG(55:11)"
134,"[TG(56:7),TG(55:0)]_FA16:1",12012023_DOD73_M2_5xFAD_liver_O3on_01,n-7,840.8,651.6,12.85,478.0,840.8 -> 651.6,0,40,28498.0,0.2664333333333335,,FA16:1,"TG(55:0), TG(56:7)"
135,"[TG(56:7),TG(55:0)]_FA16:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-7,840.8,651.6,12.89,987.0,840.8 -> 651.6,0,40,71959.0,0.7990500000000011,0.1,FA16:1,"TG(55:0), TG(56:7)"
136,"[TG(56:7),TG(55:0)]_FA16:1",12012023_FAD131_M1_5xFAD_liver_O3on_01,n-9,812.8,651.6,13.03,808.0,812.8 -> 651.6,0,24,7061.0,0.13321666666666587,0.1,FA16:1,"TG(55:0), TG(56:7)"
137,"[TG(56:7),TG(55:0)]_FA16:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-7,840.8,651.6,12.89,1044.0,840.8 -> 651.6,0,40,54376.0,0.7990499999999994,0.18,FA16:1,"TG(55:0), TG(56:7)"
138,"[TG(56:7),TG(55:0)]_FA16:1",12012023_FAD131_M2_5xFAD_liver_O3on_01,n-9,812.8,651.6,12.99,548.0,812.8 -> 651.6,0,24,10000.0,0.13321666666666765,0.18,FA16:1,"TG(55:0), TG(56:7)"
139,"[TG(56:7),TG(55:0)]_FA16:1",12012023_FAD131_M4_5xFAD_liver_O3on_01,n-7,840.8,651.6,12.98,577.0,840.8 -> 651.6,0,40,7780.0,0.48873333333333235,,FA16:1,"TG(55:0), TG(56:7)"
140,"[TG(56:7),TG(55:0)]_FA16:1",12012023_FAD173_M1_5xFAD_liver_O3on_01,n-7,840.8,651.6,12.85,1222.0,840.8 -> 651.6,0,40,25893.0,0.6217000000000006,0.11,FA16:1,"TG(55:0), TG(56:7)"
141,"[TG(56:7),TG(55:0)]_FA16:1",12012023_FAD173_M1_5xFAD_liver_O3on_01,n-9,812.8,651.6,12.99,689.0,812.8 -> 651.6,0,24,2754.0,0.0,0.11,FA16:1,"TG(55:0), TG(56:7)"
0,[TG(50:3)]_FA18:1,12012023_DOD73_M2_5xFAD_liver_O3on_01,n-7,764.7,547.5,13.8,464.0,764.7 -> 547.5,0,7,15748.0,0.22203333333333397,14.87,FA18:1,TG(50:3)
1,[TG(50:3)]_FA18:1,12012023_DOD73_M2_5xFAD_liver_O3on_01,n-9,736.7,547.5,13.72,586.0,736.7 -> 547.5,0,2,234097.0,0.6661000000000001,14.87,FA18:1,TG(50:3)
2,[TG(50:3)]_FA18:1,12012023_FAD131_M1_5xFAD_liver_O3on_01,n-10,722.7,547.5,14.03,472.0,722.7 -> 547.5,0,1,1888.0,0.0,,FA18:1,TG(50:3)
3,[TG(50:3)]_FA18:1,12012023_FAD131_M1_5xFAD_liver_O3on_01,n-7,764.7,547.5,13.8,976.0,764.7 -> 547.5,0,7,50561.0,0.35524999999999984,10.29,FA18:1,TG(50:3)
4,[TG(50:3)]_FA18:1,12012023_FAD131_M1_5xFAD_liver_O3on_01,n-9,736.7,547.5,13.76,691.0,736.7 -> 547.5,0,2,520187.0,0.7104999999999997,10.29,FA18:1,TG(50:3)
5,[TG(50:3)]_FA18:1,12012023_FAD131_M2_5xFAD_liver_O3on_01,n-7,764.7,547.5,13.75,846.0,764.7 -> 547.5,0,7,76078.0,0.3996666666666666,10.11,FA18:1,TG(50:3)
6,[TG(50:3)]_FA18:1,12012023_FAD131_M2_5xFAD_liver_O3on_01,n-9,736.7,547.5,13.76,972.0,736.7 -> 547.5,0,2,768868.0,0.7104999999999997,10.11,FA18:1,TG(50:3)
7,[TG(50:3)]_FA18:1,12012023_FAD131_M4_5xFAD_liver_O3on_01,n-7,764.7,547.5,13.89,1084.0,764.7 -> 547.5,0,7,9550.0,0.08881666666666632,12.72,FA18:1,TG(50:3)
8,[TG(50:3)]_FA18:1,12012023_FAD131_M4_5xFAD_liver_O3on_01,n-9,736.7,547.5,13.8,702.0,736.7 -> 547.5,0,2,121462.0,0.6661000000000001,12.72,FA18:1,TG(50:3)
9,[TG(50:3)]_FA18:1,12012023_FAD173_M1_5xFAD_liver_O3on_01,n-7,764.7,547.5,13.84,1100.0,764.7 -> 547.5,0,7,14472.0,0.22203333333333397,17.64,FA18:1,TG(50:3)
10,[TG(50:3)]_FA18:1,12012023_FAD173_M1_5xFAD_liver_O3on_01,n-9,736.7,547.5,13.54,579.0,736.7 -> 547.5,0,2,255292.0,0.9325333333333337,17.64,FA18:1,TG(50:3)
