Lipid,Sample_ID,db,Parent_Ion,Product_Ion,Retention_Time,OzESI_Intensity,Match_Group,Correct_RT,Max_Intensity,Cage,Mouse,Genotype,Biology,FAC,TG,Group,Cluster_RT,Cluster_Ground_Truth_Dif,Area,Area_DDT,Area_DDT_Ratio,SLBG_group
[TG(52:5)]_FA16:1,11282023_FAD184_F3_WT_cereb_O3on_01,n-7,788.7,599.5,12.02,337.0,1224,13.26,987.0,FAD184,FAD184_F3,WT,cereb,FA16:1,TG(52:5),42,12.02,0.019999999999999574,34.0,11.0,0.0,9
[TG(52:5)]_FA16:1,11282023_FAD185_M4_WT_cereb_O3on_01,n-7,788.7,599.5,12.02,26428.0,1232,12.02,26428.0,FAD185,FAD185_M4,WT,cereb,FA16:1,TG(52:5),43,12.02,0.019999999999999574,2885.0,2381.0,0.08,11
[TG(52:5)]_FA16:1,11282023_FAD185_M4_WT_cereb_O3on_01,n-9,760.7,599.5,12.07,2939.0,732,12.07,2939.0,FAD185,FAD185_M4,WT,cereb,FA16:1,TG(52:5),48,12.07,0.07000000000000028,201.0,188.0,0.08,11
[TG(52:5)]_FA16:1,11282023_DOD94_F3_WT_cortex_O3on_01,n-7,788.7,599.5,12.02,1126.0,1221,13.26,1414.0,DOD94,DOD94_F3,WT,cortex,FA16:1,TG(52:5),44,12.02,0.019999999999999574,75.0,54.0,0.0,8
[TG(52:5)]_FA16:1,11282023_FAD184_F3_WT_cortex_O3on_01,n-7,788.7,599.5,12.02,3221.0,1225,13.26,7540.0,FAD184,FAD184_F3,WT,cortex,FA16:1,TG(52:5),45,12.02,0.019999999999999574,251.0,241.0,0.0,10
[TG(52:5)]_FA16:1,11282023_FAD185_M4_WT_cortex_O3on_01,n-7,788.7,599.5,12.02,16896.0,1233,13.26,19727.0,FAD185,FAD185_M4,WT,cortex,FA16:1,TG(52:5),46,12.02,0.019999999999999574,1657.0,1621.0,0.13,12
[TG(52:5)]_FA16:1,11282023_FAD185_M4_WT_cortex_O3on_01,n-9,760.7,599.5,12.07,3054.0,733,12.07,3054.0,FAD185,FAD185_M4,WT,cortex,FA16:1,TG(52:5),51,12.07,0.07000000000000028,214.0,203.0,0.13,12
"[TG(55:11),TG(54:4)]_FA16:1",11282023_FAD185_M4_WT_cortex_O3on_01,n-7,818.7,629.5,14.4,1018.0,1813,14.4,1018.0,FAD185,FAD185_M4,WT,cortex,FA16:1,"TG(54:4), TG(55:11)",210,14.4,0.03999999999999915,110.0,110.0,0.0,47
[TG(50:3)]_FA18:1,11282023_DOD94_F3_WT_cereb_O3on_01,n-9,736.7,547.5,13.32,559.0,420,17.09,833.0,DOD94,DOD94_F3,WT,cereb,FA18:1,TG(50:3),24,13.32,0.030000000000001137,97.0,70.0,,0
[TG(50:3)]_FA18:1,11282023_FAD184_F3_WT_cereb_O3on_01,n-9,736.7,547.5,13.27,209.0,424,17.05,798.0,FAD184,FAD184_F3,WT,cereb,FA18:1,TG(50:3),25,13.27,0.019999999999999574,32.0,8.0,,2
[TG(50:3)]_FA18:1,11282023_FAD185_M4_WT_cereb_O3on_01,n-7,764.7,547.5,13.27,881.0,792,13.27,881.0,FAD185,FAD185_M4,WT,cereb,FA18:1,TG(50:3),18,13.27,0.019999999999999574,79.0,56.0,12.43,5
[TG(50:3)]_FA18:1,11282023_FAD185_M4_WT_cereb_O3on_01,n-9,736.7,547.5,13.36,5801.0,432,12.07,13981.0,FAD185,FAD185_M4,WT,cereb,FA18:1,TG(50:3),26,13.36,0.07000000000000028,776.0,696.0,12.43,5
[TG(50:3)]_FA18:1,11282023_DOD94_F3_WT_cortex_O3on_01,n-9,736.7,547.5,13.36,333.0,421,11.98,763.0,DOD94,DOD94_F3,WT,cortex,FA18:1,TG(50:3),27,13.36,0.07000000000000028,72.0,62.0,,1
[TG(50:3)]_FA18:1,11282023_FAD184_F3_WT_cortex_O3on_01,n-9,736.7,547.5,13.23,2524.0,425,13.23,2524.0,FAD184,FAD184_F3,WT,cortex,FA18:1,TG(50:3),28,13.23,0.05999999999999872,349.0,303.0,,3
[TG(50:3)]_FA18:1,11282023_FAD185_M4_WT_cortex_O3on_01,n-7,764.7,547.5,13.18,413.0,793,13.18,413.0,FAD185,FAD185_M4,WT,cortex,FA18:1,TG(50:3),21,13.18,0.10999999999999943,50.0,0.0,,6
[TG(50:3)]_FA18:1,11282023_FAD185_M4_WT_cortex_O3on_01,n-9,736.7,547.5,13.36,3674.0,433,13.36,3674.0,FAD185,FAD185_M4,WT,cortex,FA18:1,TG(50:3),29,13.36,0.07000000000000028,392.0,356.0,,6
[TG(50:3)]_FA18:1,11282023_FAD184_F3_WT_dienc_O3on_01,n-9,736.7,547.5,13.18,686.0,426,13.18,686.0,FAD184,FAD184_F3,WT,dienc,FA18:1,TG(50:3),30,13.18,0.10999999999999943,101.0,85.0,,4
[TG(50:3)]_FA18:1,11282023_FAD185_M4_WT_hippo_O3on_01,n-9,736.7,547.5,13.45,578.0,435,21.49,713.0,FAD185,FAD185_M4,WT,hippo,FA18:1,TG(50:3),31,13.45,0.16000000000000014,118.0,106.0,,7
[TG(54:5)]_FA18:1,11282023_DOD94_F3_WT_cereb_O3on_01,n-9,788.7,599.5,13.3,778.0,1220,13.3,778.0,DOD94,DOD94_F3,WT,cereb,FA18:1,TG(54:5),103,13.3,0.02000000000000135,78.0,132.0,,13
[TG(54:5)]_FA18:1,11282023_FAD184_F3_WT_cereb_O3on_01,n-9,788.7,599.5,13.26,987.0,1224,13.26,987.0,FAD184,FAD184_F3,WT,cereb,FA18:1,TG(54:5),104,13.26,0.019999999999999574,67.0,61.0,,15
[TG(54:5)]_FA18:1,11282023_FAD185_M4_WT_cereb_O3on_01,n-7,816.7,599.5,13.16,9256.0,1752,13.16,9256.0,FAD185,FAD185_M4,WT,cereb,FA18:1,TG(54:5),92,13.16,0.11999999999999922,536.0,511.0,5.64,20
[TG(54:5)]_FA18:1,11282023_FAD185_M4_WT_cereb_O3on_01,n-9,788.7,599.5,13.26,26171.0,1232,12.02,26428.0,FAD185,FAD185_M4,WT,cereb,FA18:1,TG(54:5),105,13.26,0.019999999999999574,2910.0,2882.0,5.64,20
[TG(54:5)]_FA18:1,11282023_DOD94_F3_WT_cortex_O3on_01,n-9,788.7,599.5,13.26,1414.0,1221,13.26,1414.0,DOD94,DOD94_F3,WT,cortex,FA18:1,TG(54:5),106,13.26,0.019999999999999574,117.0,101.0,,14
[TG(54:5)]_FA18:1,11282023_FAD184_F3_WT_cortex_O3on_01,n-7,816.7,599.5,13.21,1406.0,1745,13.21,1406.0,FAD184,FAD184_F3,WT,cortex,FA18:1,TG(54:5),94,13.21,0.06999999999999851,120.0,100.0,6.18,16
[TG(54:5)]_FA18:1,11282023_FAD184_F3_WT_cortex_O3on_01,n-9,788.7,599.5,13.26,7540.0,1225,13.26,7540.0,FAD184,FAD184_F3,WT,cortex,FA18:1,TG(54:5),107,13.26,0.019999999999999574,620.0,618.0,6.18,16
[TG(54:5)]_FA18:1,11282023_FAD184_F4_WT_cortex_O3on_01,n-9,788.7,599.5,13.3,813.0,1229,13.3,813.0,FAD184,FAD184_F4,WT,cortex,FA18:1,TG(54:5),108,13.3,0.02000000000000135,46.0,25.0,,18
[TG(54:5)]_FA18:1,11282023_FAD185_M4_WT_cortex_O3on_01,n-7,816.7,599.5,13.16,2219.0,1753,13.16,2219.0,FAD185,FAD185_M4,WT,cortex,FA18:1,TG(54:5),96,13.16,0.11999999999999922,230.0,144.0,13.4,21
[TG(54:5)]_FA18:1,11282023_FAD185_M4_WT_cortex_O3on_01,n-9,788.7,599.5,13.26,19727.0,1233,13.26,19727.0,FAD185,FAD185_M4,WT,cortex,FA18:1,TG(54:5),109,13.26,0.019999999999999574,1937.0,1930.0,13.4,21
[TG(54:5)]_FA18:1,11282023_FAD184_F3_WT_dienc_O3on_01,n-9,788.7,599.5,13.26,727.0,1226,13.26,727.0,FAD184,FAD184_F3,WT,dienc,FA18:1,TG(54:5),110,13.26,0.019999999999999574,67.0,97.0,,17
[TG(54:5)]_FA18:1,11282023_FAD184_F4_WT_dienc_O3on_01,n-9,788.7,599.5,13.26,617.0,1230,13.26,617.0,FAD184,FAD184_F4,WT,dienc,FA18:1,TG(54:5),111,13.26,0.019999999999999574,49.0,42.0,,19
[TG(54:5)]_FA18:1,11282023_FAD185_M4_WT_dienc_O3on_01,n-7,816.7,599.5,13.21,583.0,1754,13.21,583.0,FAD185,FAD185_M4,WT,dienc,FA18:1,TG(54:5),99,13.21,0.06999999999999851,51.0,23.0,9.96,22
