Lipid,Sample_ID,db,Parent_Ion,Product_Ion,Retention_Time,OzESI_Intensity,Biology,Genotype,FAC,TG,Group,Max_Intensity,Cluster_RT,Cluster_Ground_Truth_Dif,Area,Area_DDT,Area_DDT_Ratio,Mouse,SLBG_group
[TG(52:5)]_FA16:1,12012023_DOD73_M2_5xFAD_liver_O3on_01,n-10,746.6,599.5,12.83,501.0,liver,5xFAD,FA16:1,TG(52:5),20,501.0,12.82535,0.07535000000000025,53.0,85.0,0.08,DOD73_M2,5
[TG(52:5)]_FA16:1,12012023_DOD73_M2_5xFAD_liver_O3on_01,n-7,788.7,599.5,12.64,49192.0,liver,5xFAD,FA16:1,TG(52:5),30,49192.0,12.636866666666668,0.11313333333333198,6570.0,6674.0,0.08,DOD73_M2,5
[TG(52:5)]_FA16:1,12012023_DOD73_M2_5xFAD_liver_O3on_01,n-9,760.7,599.5,12.69,5585.0,liver,5xFAD,FA16:1,TG(52:5),35,5585.0,12.689166666666667,0.06083333333333307,700.0,537.0,0.08,DOD73_M2,5
[TG(52:5)]_FA16:1,12012023_FAD131_M1_5xFAD_liver_O3on_01,n-10,746.6,599.5,12.88,954.0,liver,5xFAD,FA16:1,TG(52:5),21,954.0,12.958866666666667,0.2088666666666672,29.0,61.0,0.3,FAD131_M1,6
[TG(52:5)]_FA16:1,12012023_FAD131_M1_5xFAD_liver_O3on_01,n-7,788.7,599.5,12.68,43297.0,liver,5xFAD,FA16:1,TG(52:5),31,43297.0,12.681283333333335,0.0687166666666652,7031.0,6880.0,0.3,FAD131_M1,6
[TG(52:5)]_FA16:1,12012023_FAD131_M1_5xFAD_liver_O3on_01,n-9,760.7,599.5,12.73,14527.0,liver,5xFAD,FA16:1,TG(52:5),36,14527.0,12.733600000000001,0.016399999999999082,2186.0,2063.0,0.3,FAD131_M1,6
[TG(52:5)]_FA16:1,12012023_FAD131_M2_5xFAD_liver_O3on_01,n-10,746.6,599.5,12.88,737.0,liver,5xFAD,FA16:1,TG(52:5),22,737.0,12.914466666666668,0.16446666666666765,37.0,69.0,0.44,FAD131_M2,7
[TG(52:5)]_FA16:1,12012023_FAD131_M2_5xFAD_liver_O3on_01,n-7,788.7,599.5,12.64,44874.0,liver,5xFAD,FA16:1,TG(52:5),32,44874.0,12.6369,0.11309999999999931,6147.0,5736.0,0.44,FAD131_M2,7
[TG(52:5)]_FA16:1,12012023_FAD131_M2_5xFAD_liver_O3on_01,n-9,760.7,599.5,12.73,20182.0,liver,5xFAD,FA16:1,TG(52:5),37,20182.0,12.733616666666668,0.016383333333331862,2832.0,2548.0,0.44,FAD131_M2,7
[TG(52:5)]_FA16:1,12012023_FAD131_M4_5xFAD_liver_O3on_01,n-10,746.6,599.5,12.88,665.0,liver,5xFAD,FA16:1,TG(52:5),23,665.0,12.869783333333334,0.11978333333333424,48.0,81.0,0.22,FAD131_M4,8
