Lipid,Class,DOD73-5xFAD-M2liver_x,FAD131-5xFAD-M1liver_x,FAD131-5xFAD-M2liver_x,FAD131-5xFAD-M4liver_x,FAD173-5xFAD-M1liver_x,DOD73-5xFAD-M2liver_y,FAD131-5xFAD-M1liver_y,FAD131-5xFAD-M2liver_y,FAD131-5xFAD-M4liver_y,FAD173-5xFAD-M1liver_y,blank_033123,Title1,Title2,Title,length1,length2,Blank_name
(11Z)-eicoseneoylcarnitine,CAR,333833.80224609375,330179.2646484375,360457.18359375,340042.5224609375,405221.28759765625,333833.80224609375,330179.2646484375,360457.18359375,340042.5224609375,405221.28759765625,447168.9921875,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
"(11Z,14Z)-eicosadienoylcarnitine",CAR,323973.94287109375,312251.02392578125,344173.2451171875,322782.0625,393336.70947265625,323973.94287109375,312251.02392578125,344173.2451171875,322782.0625,393336.70947265625,435177.21435546875,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
"(13Z,16Z)-docosadienoylcarnitine",CAR,228522.23498535156,220136.9151611328,241193.7977294922,231012.71716308594,267345.19873046875,228522.23498535156,220136.9151611328,241193.7977294922,231012.71716308594,267345.19873046875,261170.6397705078,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
"(5Z,8Z)-tetradecadienoylcarnitine",CAR,339255.2021484375,266274.33740234375,310373.0419921875,272216.9201660156,329208.5830078125,339255.2021484375,266274.33740234375,310373.0419921875,272216.9201660156,329208.5830078125,284662.72021484375,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
"(7Z,10Z)-hexadecadienoylcarnitine",CAR,173395.271484375,171719.25268554688,185115.91381835938,179216.03247070312,216482.55639648438,173395.271484375,171719.25268554688,185115.91381835938,179216.03247070312,216482.55639648438,196940.693359375,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",CAR,212029.17529296875,203605.61474609375,223207.55737304688,211958.2744140625,258782.97802734375,212029.17529296875,203605.61474609375,223207.55737304688,211958.2744140625,258782.97802734375,246472.37866210938,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
1-O-behenoyl-Cer(d18:1/16:0),Cer,34993.262214660645,49269.7829246521,65962.30405426025,11506.880954742432,35531.70199584961,34993.262214660645,49269.7829246521,65962.30405426025,11506.880954742432,35531.70199584961,7376.800495147705,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
1-O-carboceroyl-Cer(d18:1/16:0),Cer,113573.20904159546,235828.2760810852,286637.5709724426,26846.222297668457,188823.78869247437,113573.20904159546,235828.2760810852,286637.5709724426,26846.222297668457,188823.78869247437,8982.840637207031,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
1-O-carboceroyl-Cer(d18:1/18:0),Cer,7887.820468902588,10345.180625915527,10388.600868225098,4972.780319213867,8970.620422363281,7887.820468902588,10345.180625915527,10388.600868225098,4972.780319213867,8970.620422363281,5592.080406188965,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
1-O-cerotoyl-Cer(d18:1/16:0),Cer,56626.68326950073,118284.70900344849,124009.04661560059,21522.681526184082,91505.28868865967,56626.68326950073,118284.70900344849,124009.04661560059,21522.681526184082,91505.28868865967,7552.680511474609,Brain Region: Liver,Brain Region: Liver,Brain Region: Liver vs Brain Region: LiverExtra Name,5,5,blank_033123
