Lipid,Class,FAD199_m1_66_D,FAD199_m3_66_D,FAD201_m5_61_D,FAD265_m3_59_D,FAD261_m3_81_A,FAD265_m2_74_A,FAD309_55_A,FAD325_39_A,Blank_Blank_Blank,Title1,Title2,Title,length1,length2,Blank_name
1-O-behenoyl-Cer(d18:1/16:0),Cer,1144.8200798034668,1266.4200859069824,1217.5800819396973,1178.0200881958008,1115.7600860595703,1111.0400772094727,1239.980079650879,1116.3000755310059,1139.1600761413574,Group: D,Group: A,Group: D vs Group: A,4,4,Blank_Blank_Blank
1-O-carboceroyl-Cer(d18:1/18:0),Cer,1112.7000770568848,1212.04008102417,1128.840072631836,1161.2600898742676,1115.2600784301758,1111.0200843811035,1152.6400756835938,1131.0800743103027,1228.360092163086,Group: D,Group: A,Group: D vs Group: A,4,4,Blank_Blank_Blank
1-O-cerotoyl-Cer(d18:1/16:0),Cer,1112.060073852539,1135.6400718688965,1114.6400756835938,1201.6000938415527,1115.4600830078125,1210.4800872802734,1150.5800819396973,1145.460075378418,1109.600082397461,Group: D,Group: A,Group: D vs Group: A,4,4,Blank_Blank_Blank
1-O-cerotoyl-Cer(d18:1/18:0),Cer,1150.2800674438477,1171.0800819396973,1130.1000785827637,1179.3600883483887,1115.4800834655762,1140.1800842285156,1195.2000885009766,1134.9400825500488,1108.6000785827637,Group: D,Group: A,Group: D vs Group: A,4,4,Blank_Blank_Blank
1-O-eicosanoyl-Cer(d18:1/16:0),Cer,1101.4200744628906,1100.3200721740723,1133.2400817871094,1069.320083618164,1074.7000732421875,1070.820068359375,1120.500072479248,1189.6200904846191,1104.2000846862793,Group: D,Group: A,Group: D vs Group: A,4,4,Blank_Blank_Blank
1-O-lignoceroyl-Cer(d18:1/16:0),Cer,1141.940071105957,1134.9600791931152,1201.7600784301758,1165.7000846862793,1115.7000770568848,1139.2200775146484,1207.3600769042969,1309.2200965881348,1208.6400985717773,Group: D,Group: A,Group: D vs Group: A,4,4,Blank_Blank_Blank
1-O-pentacosanoyl-Cer(d18:1/16:0),Cer,1199.3600883483887,1822.7801399230957,2010.2401313781738,2156.8801345825195,1131.1000747680664,1566.880111694336,1576.4001159667969,2372.3801879882812,1130.740077972412,Group: D,Group: A,Group: D vs Group: A,4,4,Blank_Blank_Blank
1-O-tricosanoyl-Cer(d18:1/16:0),Cer,1525.8801307678223,3167.3401794433594,2807.220203399658,2755.9601707458496,1379.4600944519043,1829.2201309204102,3016.9401931762695,2987.7401962280273,1164.400089263916,Group: D,Group: A,Group: D vs Group: A,4,4,Blank_Blank_Blank
1-O-tricosanoyl-Cer(d18:1/18:0),Cer,1113.2600746154785,1114.5000686645508,1114.6000785827637,1109.740089416504,1115.500072479248,1110.8000869750977,1116.7800750732422,1115.8800811767578,1164.000072479248,Group: D,Group: A,Group: D vs Group: A,4,4,Blank_Blank_Blank
CAR,CAR,2822.6001892089844,2178.24015045166,3656.060230255127,3088.500217437744,2004.8201484680176,2958.800205230713,2742.140182495117,3412.6202392578125,1858.7201194763184,Group: D,Group: A,Group: D vs Group: A,4,4,Blank_Blank_Blank
CAR(10:0),CAR,2424.4601821899414,2052.8801460266113,3898.3002700805664,3012.440216064453,1994.2201499938965,3377.3402519226074,3290.200222015381,3180.3402366638184,2661.9001693725586,Group: D,Group: A,Group: D vs Group: A,4,4,Blank_Blank_Blank
CAR(10:0)_QUAL,CAR,3308.2402381896973,2574.680164337158,4765.580360412598,3706.280246734619,2130.540153503418,4588.060325622559,4821.200332641602,5206.3004150390625,2898.900215148926,Group: D,Group: A,Group: D vs Group: A,4,4,Blank_Blank_Blank
CAR(10:1),CAR,3281.2202186584473,2258.8601608276367,3818.0602951049805,3514.520233154297,2141.70015335083,2971.320243835449,3747.080238342285,3518.9002113342285,2162.0001487731934,Group: D,Group: A,Group: D vs Group: A,4,4,Blank_Blank_Blank
CAR(10:1)_QUAL,CAR,3253.720241546631,2809.1201934814453,5163.160358428955,3681.6802673339844,2558.9201889038086,4871.080333709717,4702.100345611572,4794.360282897949,3336.540256500244,Group: D,Group: A,Group: D vs Group: A,4,4,Blank_Blank_Blank
CAR(10:2),CAR,2853.400203704834,2036.140151977539,4015.0802841186523,2852.0602111816406,1970.1601333618164,3249.2401962280273,3199.800235748291,3692.520278930664,2405.200164794922,Group: D,Group: A,Group: D vs Group: A,4,4,Blank_Blank_Blank
CAR(10:2)_QUAL,CAR,22179.781616210938,20332.621459960938,44016.34289550781,28926.301788330078,15282.721103668213,35610.582427978516,36903.942306518555,41608.982818603516,23348.381622314453,Group: D,Group: A,Group: D vs Group: A,4,4,Blank_Blank_Blank
CAR(10:3),CAR,1989.1401290893555,1957.4401359558105,2752.040199279785,1988.8801307678223,1580.3200988769531,2688.6601753234863,2408.0001831054688,2391.980178833008,1812.9601249694824,Group: D,Group: A,Group: D vs Group: A,4,4,Blank_Blank_Blank
CAR(10:3)_QUAL,CAR,2557.880172729492,1961.5601425170898,3620.000286102295,3057.2402267456055,1927.240119934082,3856.7002754211426,3365.160243988037,3818.1202850341797,3044.8602256774902,Group: D,Group: A,Group: D vs Group: A,4,4,Blank_Blank_Blank
CAR(11:0),CAR,2124.5801391601562,1939.0801239013672,2765.180160522461,2832.3802032470703,1861.7201385498047,2388.6601943969727,2682.8601684570312,3123.2602157592773,2144.900146484375,Group: D,Group: A,Group: D vs Group: A,4,4,Blank_Blank_Blank
CAR(11:0)_QUAL,CAR,3342.040237426758,3205.1001930236816,5227.060363769531,3571.9002723693848,2360.020175933838,5043.440380096436,4665.480331420898,5279.680416107178,3157.1801986694336,Group: D,Group: A,Group: D vs Group: A,4,4,Blank_Blank_Blank
CAR(12:0),CAR,1710.3201026916504,1671.8601303100586,1974.1601448059082,1869.1201286315918,1540.7201118469238,1970.420150756836,2089.2801666259766,2275.1001892089844,1750.320125579834,Group: D,Group: A,Group: D vs Group: A,4,4,Blank_Blank_Blank
CAR(12:0)_QUAL,CAR,3343.880226135254,2690.3001708984375,4647.280326843262,3616.0802421569824,2366.8601722717285,4845.880352020264,4238.80029296875,4580.680324554443,2939.100200653076,Group: D,Group: A,Group: D vs Group: A,4,4,Blank_Blank_Blank
CAR(14:0),CAR,2128.9601669311523,2138.320171356201,2935.6002044677734,2706.2602005004883,1995.4201316833496,2439.220169067383,2513.64017868042,2524.480182647705,1947.8601341247559,Group: D,Group: A,Group: D vs Group: A,4,4,Blank_Blank_Blank
CAR(14:0)_QUAL,CAR,5522.320407867432,4207.580333709717,8759.020622253418,6038.120456695557,3393.4602432250977,7529.900581359863,7802.920669555664,8388.960525512695,4949.740325927734,Group: D,Group: A,Group: D vs Group: A,4,4,Blank_Blank_Blank
CAR(14:1),CAR,2185.8601455688477,2163.600154876709,2269.4001541137695,2514.2601737976074,1869.300136566162,2310.060157775879,2349.1601638793945,2575.6001777648926,1837.2401237487793,Group: D,Group: A,Group: D vs Group: A,4,4,Blank_Blank_Blank
CAR(14:1)_QUAL,CAR,4601.700336456299,4431.140281677246,8566.240615844727,5965.080406188965,3414.4002571105957,7693.740501403809,7311.340591430664,7821.260566711426,5046.040378570557,Group: D,Group: A,Group: D vs Group: A,4,4,Blank_Blank_Blank
CAR(14:2),CAR,3130.2002449035645,2801.0202293395996,5129.980354309082,3784.1402702331543,2508.720184326172,4118.480285644531,4432.740314483643,4698.90030670166,3186.260227203369,Group: D,Group: A,Group: D vs Group: A,4,4,Blank_Blank_Blank
CAR(14:2)_QUAL,CAR,52433.423583984375,44321.98294067383,103665.9877319336,62098.084411621094,35312.24249267578,77973.94537353516,84386.845703125,93783.54663085938,51347.30401611328,Group: D,Group: A,Group: D vs Group: A,4,4,Blank_Blank_Blank
CAR(16:0),CAR,2460.660167694092,2631.700206756592,3576.720241546631,2691.920181274414,2025.660140991211,3241.8802223205566,2834.100185394287,3368.520221710205,2108.1201553344727,Group: D,Group: A,Group: D vs Group: A,4,4,Blank_Blank_Blank
CAR(16:0)_QUAL,CAR,4344.620315551758,3650.7402572631836,7294.520469665527,5058.500354766846,3533.4002227783203,6461.580436706543,6075.060436248779,7199.6605224609375,3809.7002716064453,Group: D,Group: A,Group: D vs Group: A,4,4,Blank_Blank_Blank
CAR(16:1),CAR,1958.7801361083984,2011.7601585388184,2366.3801612854004,2093.040153503418,1758.9401168823242,2051.640125274658,2344.460178375244,2376.400161743164,1816.640121459961,Group: D,Group: A,Group: D vs Group: A,4,4,Blank_Blank_Blank
CAR(16:1)_QUAL,CAR,5912.940441131592,4842.860385894775,10138.320751190186,6586.320465087891,3924.6802711486816,12480.160873413086,8538.260593414307,9331.640617370605,7357.380523681641,Group: D,Group: A,Group: D vs Group: A,4,4,Blank_Blank_Blank
CAR(16:2),CAR,2089.5401573181152,2191.2001724243164,3101.1802253723145,2836.2602195739746,1942.9801406860352,2516.740177154541,2580.380184173584,3111.400215148926,1863.6401290893555,Group: D,Group: A,Group: D vs Group: A,4,4,Blank_Blank_Blank
CAR(16:2)_QUAL,CAR,2888.5002212524414,2414.200164794922,4120.200290679932,2915.220226287842,2251.880157470703,4361.220310211182,3785.1202659606934,3741.3202362060547,2864.0202140808105,Group: D,Group: A,Group: D vs Group: A,4,4,Blank_Blank_Blank
CAR(17:0),CAR,3096.440200805664,2518.240188598633,4507.420330047607,3148.700252532959,2054.1601524353027,3510.6202697753906,3703.080238342285,4191.720287322998,2831.5202255249023,Group: D,Group: A,Group: D vs Group: A,4,4,Blank_Blank_Blank
CAR(17:0)_QUAL,CAR,6794.740501403809,5169.180362701416,11420.220840454102,7304.7404861450195,4312.360294342041,9461.260692596436,10135.780708312988,11151.200866699219,5544.080337524414,Group: D,Group: A,Group: D vs Group: A,4,4,Blank_Blank_Blank
CAR(18:0),CAR,2665.7601928710938,1911.820140838623,3432.740261077881,2919.960216522217,2092.06014251709,2822.620204925537,3448.080238342285,3207.3602333068848,2296.820167541504,Group: D,Group: A,Group: D vs Group: A,4,4,Blank_Blank_Blank
