Lipid,Q1,Q3,Intensity,Filename
DG(24:0)_C18:0,474.42,173.12,7200,20241023_Blank31.wiff.scan
DG(26:0)_C18:0,502.45,201.15,1720,20241023_Blank31.wiff.scan
DG(28:2)_C18:0,526.45,225.15,1440,20241023_Blank31.wiff.scan
DG(28:1)_C18:0,528.46,227.16,2680,20241023_Blank31.wiff.scan
"""DG(28:0),DG(dO-30:0)_C18:0""",530.55,229.25,2560,20241023_Blank31.wiff.scan
DG(29:2)_C18:0,540.46,239.16,6560,20241023_Blank31.wiff.scan
DG(29:1)_C18:0,542.48,241.18,5960,20241023_Blank31.wiff.scan
DG(29:0)_C18:0,544.49,243.19,2360,20241023_Blank31.wiff.scan
DG(30:3)_C18:0,552.46,251.16,1880,20241023_Blank31.wiff.scan
DG(30:2)_C18:0,554.48,253.18,3200,20241023_Blank31.wiff.scan
DG(30:1)_C18:0,556.49,255.19,3120,20241023_Blank31.wiff.scan
DG(30:0)_C18:0,558.51,257.21,4360,20241023_Blank31.wiff.scan
DG(31:3)_C18:0,566.48,265.18,2200,20241023_Blank31.wiff.scan
"""DG(31:2),DG(P-14:0/18:1)_C18:0""",568.53,267.23,3560,20241023_Blank31.wiff.scan
DG(31:1)_C18:0,570.51,269.21,2880,20241023_Blank31.wiff.scan
DG(31:0)_C18:0,572.53,271.23,2320,20241023_Blank31.wiff.scan
DG(32:5)_C18:0,576.46,275.16,1800,20241023_Blank31.wiff.scan
"""DG(32:4),DG(dO-34:4)_C18:0""",578.55,277.25,2320,20241023_Blank31.wiff.scan
DG(32:3)_C18:0,580.49,279.19,1480,20241023_Blank31.wiff.scan
DG(32:2)_C18:0,582.51,281.21,24440,20241023_Blank31.wiff.scan
DG(32:1)_C18:0,584.53,283.23,8040,20241023_Blank31.wiff.scan
DG(32:0)_C18:0,586.54,285.24,12120,20241023_Blank31.wiff.scan
DG(33:5)_C18:0,590.48,289.18,720,20241023_Blank31.wiff.scan
DG(33:4)_C18:0,592.49,291.19,720,20241023_Blank31.wiff.scan
DG(33:3)_C18:0,594.51,293.21,1000,20241023_Blank31.wiff.scan
DG(33:2)_C18:0,596.53,295.23,2680,20241023_Blank31.wiff.scan
"""DG(33:1),DG(O-34:1)_C18:0""",598.58,297.28,1480,20241023_Blank31.wiff.scan
DG(33:0)_C18:0,600.56,299.26,4520,20241023_Blank31.wiff.scan
DG(34:6)_C18:0,602.48,301.18,1880,20241023_Blank31.wiff.scan
DG(34:5)_C18:0,604.49,303.19,760,20241023_Blank31.wiff.scan
"""DG(34:4),DG(dO-36:4)_C18:0""",606.58,305.28,800,20241023_Blank31.wiff.scan
DG(34:3)_C18:0,608.53,307.23,1720,20241023_Blank31.wiff.scan
DG(34:2)_C18:0,610.54,309.24,6280,20241023_Blank31.wiff.scan
DG(34:1)_C18:0,612.56,311.26,5320,20241023_Blank31.wiff.scan
DG(34:0)_C18:0,614.57,313.27,430880,20241023_Blank31.wiff.scan
DG(35:6)_C18:0,616.49,315.19,29840,20241023_Blank31.wiff.scan
DG(35:5)_C18:0,618.51,317.21,1000,20241023_Blank31.wiff.scan
"""DG(35:4),DG(O-36:4),DG(dO-37:4)_C18:0""",620.6,319.3,1520,20241023_Blank31.wiff.scan
DG(35:3)_C18:0,622.54,321.24,1480,20241023_Blank31.wiff.scan
"""DG(dO-38:9),DG(35:2)_C18:0""",624.56,323.26,760,20241023_Blank31.wiff.scan
"""DG(36:8),DG(35:1)_C18:0""",626.57,325.27,3520,20241023_Blank31.wiff.scan
"""DG(36:7),DG(35:0)_C18:0""",628.59,327.29,7720,20241023_Blank31.wiff.scan
DG(36:6)_C18:0,630.51,329.21,2760,20241023_Blank31.wiff.scan
DG(36:5)_C18:0,632.53,331.23,2280,20241023_Blank31.wiff.scan
"""DG(36:4),DG(O-37:4)_C18:0""",634.58,333.28,1080,20241023_Blank31.wiff.scan
DG(36:3)_C18:0,636.56,335.26,1160,20241023_Blank31.wiff.scan
"""DG(O-38:9),DG(36:2)_C18:0""",638.57,337.27,5840,20241023_Blank31.wiff.scan
"""DG(O-38:8),DG(36:1)_C18:0""",640.59,339.29,2640,20241023_Blank31.wiff.scan
"""DG(37:7),DG(36:0)_C18:0""",642.6,341.3,146680,20241023_Blank31.wiff.scan
DG(37:6)_C18:0,644.53,343.23,8840,20241023_Blank31.wiff.scan
DG(37:5)_C18:0,646.54,345.24,5720,20241023_Blank31.wiff.scan
DG(37:4)_C18:0,648.56,347.26,920,20241023_Blank31.wiff.scan
DG(37:3)_C18:0,650.57,349.27,720,20241023_Blank31.wiff.scan
"""DG(38:9),DG(dO-40:9),DG(37:2)_C18:0""",652.59,351.29,920,20241023_Blank31.wiff.scan
"""DG(38:8),DG(dO-40:8),DG(37:1)_C18:0""",654.6,353.3,16280,20241023_Blank31.wiff.scan
"""DG(38:7),DG(37:0)_C18:0""",656.62,355.32,3600,20241023_Blank31.wiff.scan
"""DG(38:6),DG(dO-40:6)_C18:0""",658.61,357.31,2240,20241023_Blank31.wiff.scan
DG(38:5)_C18:0,660.56,359.26,2080,20241023_Blank31.wiff.scan
DG(38:4)_C18:0,662.57,361.27,1680,20241023_Blank31.wiff.scan
DG(38:3)_C18:0,664.59,363.29,640,20241023_Blank31.wiff.scan
"""DG(O-40:9),DG(38:2)_C18:0""",666.6,365.3,1720,20241023_Blank31.wiff.scan
"""DG(39:8),DG(O-40:8),DG(38:1)_C18:0""",668.62,367.32,1640,20241023_Blank31.wiff.scan
"""DG(39:7),DG(38:0),DG(dO-40:0)_C18:0""",670.71,369.41,4600,20241023_Blank31.wiff.scan
DG(39:6)_C18:0,672.56,371.26,2440,20241023_Blank31.wiff.scan
DG(39:5)_C18:0,674.57,373.27,1800,20241023_Blank31.wiff.scan
DG(39:4)_C18:0,676.59,375.29,1000,20241023_Blank31.wiff.scan
"""DG(40:10),DG(39:3)_C18:0""",678.6,377.3,1600,20241023_Blank31.wiff.scan
"""DG(40:9),DG(39:2)_C18:0""",680.62,379.32,1200,20241023_Blank31.wiff.scan
"""DG(40:8),DG(39:1)_C18:0""",682.63,381.33,10840,20241023_Blank31.wiff.scan
"""DG(40:7),DG(39:0)_C18:0""",684.65,383.35,3480,20241023_Blank31.wiff.scan
"""DG(40:6),DG(dO-40:0)_C18:0""",686.7,385.4,2160,20241023_Blank31.wiff.scan
DG(40:5)_C18:0,688.59,387.29,8680,20241023_Blank31.wiff.scan
DG(40:4)_C18:0,690.6,389.3,3840,20241023_Blank31.wiff.scan
DG(40:3)_C18:0,692.62,391.32,880,20241023_Blank31.wiff.scan
DG(40:2)_C18:0,694.63,393.33,1440,20241023_Blank31.wiff.scan
DG(40:1)_C18:0,696.65,395.35,1280,20241023_Blank31.wiff.scan
"""DG(41:7),DG(40:0)_C18:0""",698.67,397.37,3360,20241023_Blank31.wiff.scan
DG(41:6)_C18:0,700.59,399.29,2120,20241023_Blank31.wiff.scan
DG(41:5)_C18:0,702.6,401.3,2240,20241023_Blank31.wiff.scan
"""DG(42:11),DG(41:4)_C18:0""",704.62,403.32,1200,20241023_Blank31.wiff.scan
"""DG(42:10),DG(41:3)_C18:0""",706.63,405.33,1680,20241023_Blank31.wiff.scan
"""DG(42:9),DG(41:2)_C18:0""",708.65,407.35,1080,20241023_Blank31.wiff.scan
"""DG(42:8),DG(41:1)_C18:0""",710.67,409.37,1640,20241023_Blank31.wiff.scan
"""DG(42:7),DG(41:0)_C18:0""",712.68,411.38,1880,20241023_Blank31.wiff.scan
DG(42:6)_C18:0,714.6,413.3,6000,20241023_Blank31.wiff.scan
DG(42:5)_C18:0,716.62,415.32,10280,20241023_Blank31.wiff.scan
DG(42:4)_C18:0,718.63,417.33,1600,20241023_Blank31.wiff.scan
DG(42:3)_C18:0,720.65,419.35,1960,20241023_Blank31.wiff.scan
DG(42:2)_C18:0,722.67,421.37,2160,20241023_Blank31.wiff.scan
DG(42:1)_C18:0,724.68,423.38,1400,20241023_Blank31.wiff.scan
DG(42:0)_C18:0,726.7,425.4,1560,20241023_Blank31.wiff.scan
DG(43:6)_C18:0,728.62,427.32,1880,20241023_Blank31.wiff.scan
"""DG(44:12),DG(43:5)_C18:0""",730.63,429.33,1240,20241023_Blank31.wiff.scan
"""DG(44:11),DG(43:4)_C18:0""",732.65,431.35,1280,20241023_Blank31.wiff.scan
"""DG(44:10),DG(43:3)_C18:0""",734.67,433.37,2000,20241023_Blank31.wiff.scan
"""DG(44:9),DG(43:2)_C18:0""",736.68,435.38,1440,20241023_Blank31.wiff.scan
"""DG(44:8),DG(43:1)_C18:0""",738.7,437.4,14160,20241023_Blank31.wiff.scan
"""DG(44:7),DG(43:0)_C18:0""",740.71,439.41,3360,20241023_Blank31.wiff.scan
DG(44:6)_C18:0,742.63,441.33,3160,20241023_Blank31.wiff.scan
DG(44:5)_C18:0,744.65,443.35,1360,20241023_Blank31.wiff.scan
DG(44:4)_C18:0,746.67,445.37,1400,20241023_Blank31.wiff.scan
DG(44:3)_C18:0,748.68,447.38,520,20241023_Blank31.wiff.scan
DG(44:2)_C18:0,750.7,449.4,440,20241023_Blank31.wiff.scan
DG(44:1)_C18:0,752.71,451.41,920,20241023_Blank31.wiff.scan
DG(44:0)_C18:0,754.73,453.43,13800,20241023_Blank31.wiff.scan
