,Parent_Ion,Product_Ion,Retention_Time,OzESI_Intensity,Sample_ID,Transition,Match_Group,Lipid,Correct_RT,Max_Intensity,Purity,Group_Sample
56674,872.8,573.6,14.32,12676.0,CrudeCanola_O3off_150gN3_02082023,872.8 -> 573.6,75,[TG(52:4)]_FA18:1,14.32,12676.0,Crude,0
131793,872.8,573.6,14.32,10049.0,DegummedCanola_O3off_150gN3_02082023,872.8 -> 573.6,76,[TG(52:4)]_FA18:1,14.32,10049.0,Degummed,11
186528,872.8,573.6,14.32,10206.0,RBDCanola_O3off_150gN3_02082023,872.8 -> 573.6,77,[TG(52:4)]_FA18:1,14.32,10206.0,RBD,22
54422,870.8,571.6,12.59,1538.0,CrudeCanola_O3off_150gN3_02082023,870.8 -> 571.6,72,[TG(52:5)]_FA18:1,12.59,1538.0,Crude,1
129542,870.8,571.6,12.61,631.0,DegummedCanola_O3off_150gN3_02082023,870.8 -> 571.6,73,[TG(52:5)]_FA18:1,12.61,631.0,Degummed,12
185059,870.8,571.6,12.58,766.0,RBDCanola_O3off_150gN3_02082023,870.8 -> 571.6,74,[TG(52:5)]_FA18:1,12.58,766.0,RBD,23
52159,868.7,569.6,10.69,517.0,CrudeCanola_O3off_150gN3_02082023,868.7 -> 569.6,69,[TG(52:6)]_FA18:1,10.69,517.0,Crude,2
125602,868.7,569.6,18.35,394.0,DegummedCanola_O3off_150gN3_02082023,868.7 -> 569.6,70,[TG(52:6)]_FA18:1,18.35,394.0,Degummed,13
182827,868.7,569.6,20.6,463.0,RBDCanola_O3off_150gN3_02082023,868.7 -> 569.6,71,[TG(52:6)]_FA18:1,20.6,463.0,RBD,24
58931,874.8,575.6,16.12,64546.0,CrudeCanola_O3off_150gN3_02082023,874.8 -> 575.6,78,"[TG(53:10),TG(52:3)]_FA18:1",16.12,64546.0,Crude,3
134050,874.8,575.6,16.12,47292.0,DegummedCanola_O3off_150gN3_02082023,874.8 -> 575.6,79,"[TG(53:10),TG(52:3)]_FA18:1",16.12,47292.0,Degummed,14
188000,874.8,575.6,16.12,45869.0,RBDCanola_O3off_150gN3_02082023,874.8 -> 575.6,80,"[TG(53:10),TG(52:3)]_FA18:1",16.12,45869.0,RBD,25
61196,876.8,577.6,18.04,196563.0,CrudeCanola_O3off_150gN3_02082023,876.8 -> 577.6,81,"[TG(53:9),TG(52:2)]_FA18:1",18.04,196563.0,Crude,4
136315,876.8,577.6,18.04,140356.0,DegummedCanola_O3off_150gN3_02082023,876.8 -> 577.6,82,"[TG(53:9),TG(52:2)]_FA18:1",18.04,140356.0,Degummed,15
189480,876.8,577.6,18.02,181087.0,RBDCanola_O3off_150gN3_02082023,876.8 -> 577.6,83,"[TG(53:9),TG(52:2)]_FA18:1",18.02,181087.0,RBD,26
67408,898.8,599.6,14.3,170065.0,CrudeCanola_O3off_150gN3_02082023,898.8 -> 599.6,90,[TG(54:5)]_FA18:1,14.3,170065.0,Crude,5
142528,898.8,599.6,14.32,116238.0,DegummedCanola_O3off_150gN3_02082023,898.8 -> 599.6,91,[TG(54:5)]_FA18:1,14.32,116238.0,Degummed,16
193341,898.8,599.6,14.3,120108.0,RBDCanola_O3off_150gN3_02082023,898.8 -> 599.6,92,[TG(54:5)]_FA18:1,14.3,120108.0,RBD,27
65146,896.8,597.6,12.43,43608.0,CrudeCanola_O3off_150gN3_02082023,896.8 -> 597.6,87,[TG(54:6)]_FA18:1,12.43,43608.0,Crude,6
140264,896.8,597.6,12.41,16859.0,DegummedCanola_O3off_150gN3_02082023,896.8 -> 597.6,88,[TG(54:6)]_FA18:1,12.41,16859.0,Degummed,17
191863,896.8,597.6,12.43,17994.0,RBDCanola_O3off_150gN3_02082023,896.8 -> 597.6,89,[TG(54:6)]_FA18:1,12.43,17994.0,RBD,28
62895,894.8,595.6,10.73,6016.0,CrudeCanola_O3off_150gN3_02082023,894.8 -> 595.6,84,"[TG(54:7),TG(53:0)]_FA18:1",10.73,6016.0,Crude,7
138014,894.8,595.6,10.73,2532.0,DegummedCanola_O3off_150gN3_02082023,894.8 -> 595.6,85,"[TG(54:7),TG(53:0)]_FA18:1",10.73,2532.0,Degummed,18
190397,894.8,595.6,10.75,2978.0,RBDCanola_O3off_150gN3_02082023,894.8 -> 595.6,86,"[TG(54:7),TG(53:0)]_FA18:1",10.75,2978.0,RBD,29
71928,902.8,603.6,17.99,1665935.0,CrudeCanola_O3off_150gN3_02082023,902.8 -> 603.6,96,"[TG(55:10),TG(54:3)]_FA18:1",17.99,1665935.0,Crude,8
147047,902.8,603.6,17.99,1207703.0,DegummedCanola_O3off_150gN3_02082023,902.8 -> 603.6,97,"[TG(55:10),TG(54:3)]_FA18:1",17.99,1207703.0,Degummed,19
196292,902.8,603.6,17.97,1357807.0,RBDCanola_O3off_150gN3_02082023,902.8 -> 603.6,98,"[TG(55:10),TG(54:3)]_FA18:1",17.97,1357807.0,RBD,30
69664,900.8,601.6,16.08,657517.0,CrudeCanola_O3off_150gN3_02082023,900.8 -> 601.6,93,"[TG(55:11),TG(54:4)]_FA18:1",16.08,657517.0,Crude,9
