lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,DOD73-5xFAD-M2liver_033123,FAD131-5xFAD-M1liver_033123,FAD131-5xFAD-M2liver_033123,FAD131-5xFAD-M4liver_033123,FAD173-5xFAD-M1liver_033123,DOD73m2_500x_N1__liverLD__8_8_23,FAD131m1_500x_N1__liverLD__8_8_23,FAD131m2_500x_N1__liverLD__8_8_23,FAD131m4_500x_N1__liverLD__8_8_23,FAD173m1_500x_N1__liverLD__8_8_23,Blank_500x_N1__liverLD__8_8_23
C20:0,-9.273367804469736,17.316797674086555,986.1054378740065,1.881325577846417e-216,1.1588965559533928e-213,5,5,Time Period_ Older Data,Time Period_ New Data,FA,51124.02349853515,30520.202072143555,88291.20574951172,69975.42487716675,102983.40768051147,2752565.697265625,2762564.39453125,2810568.265625,2665492.2744140625,2743455.185546875,2564121.353515625
C34:0,-8.793380130103401,13.007711631408165,920.9333575047847,2.7619637200099773e-202,8.50684825763073e-200,5,5,Time Period_ Older Data,Time Period_ New Data,FA,4688.840328216553,5685.300399780273,4910.900318145752,5078.140312194824,4569.480339050293,145935.21020507812,139074.66943359375,153991.55078125,128613.92980957033,149589.73046875,108167.7078857422
C18:0,-8.473405027743473,16.532293103479333,878.1533098099167,5.509261390622363e-193,1.1312350055411252e-190,5,5,Time Period_ Older Data,Time Period_ New Data,FA,74532.825439453125,80053.16662597656,65888.664794921875,72870.60485839844,56996.963623046875,1564533.484375,1766853.1171875,1603816.03125,1530548.29296875,1617240.10546875,1391278.875
C28:0,-8.450416579040994,13.519988876319402,874.8696813073349,2.8505974371028804e-192,4.389920053138436e-190,5,5,Time Period_ Older Data,Time Period_ New Data,FA,9509.200622558594,8957.880760192871,8603.660606384277,7908.40047454834,9930.70068359375,213857.89501953125,209184.255859375,203960.65356445312,185559.93432617188,206251.916015625,157839.27172851562
C26:0,-8.302818071279532,13.436918683119904,854.9973108451087,5.958598794286727e-188,7.340993714561249e-186,5,5,Time Period_ Older Data,Time Period_ New Data,FA,8593.300605773926,9950.04076385498,9932.800750732422,8630.180557250977,9203.220657348633,183435.07354736328,196148.27264404297,197070.5328369141,175716.4126586914,194878.43353271484,160921.02989196777
C22:0,-8.214970629080316,16.22203300549241,843.3516596100708,2.0273849974317303e-185,2.0814485973632434e-183,5,5,Time Period_ Older Data,Time Period_ New Data,FA,69413.66516113281,70126.16491699219,65914.54406738281,67336.18518066406,61859.204833984375,1278306.0625,1312721.728515625,1300567.28515625,1258958.5327148438,1296348.5966796875,1176931.611328125
C12:0,-7.964098598728458,14.443177455449169,809.5561584694792,4.51227490488707e-178,3.9708019163006214e-176,5,5,Time Period_ Older Data,Time Period_ New Data,FA,25020.86181640625,25642.541717529297,21358.921325683594,24290.981689453125,21423.401489257812,397419.16796875,404795.4096679687,357318.04443359375,357572.20361328125,391951.4091796875,317237.04248046875
C26:1,-7.891337401718698,13.65152430727276,799.7224813151415,6.200100015542212e-176,4.7740770119675035e-174,5,5,Time Period_ Older Data,Time Period_ New Data,FA,14668.400955200195,14744.301040649414,14093.840942382812,14348.221069335938,12539.700859069824,214568.755859375,221483.2352294922,217743.55407714844,210119.4156494141,219799.93627929688,198837.61322021484
C12:1,-7.653939039638303,14.764640182467328,767.9324952053565,5.061651730494522e-169,3.464419406649584e-167,5,5,Time Period_ Older Data,Time Period_ New Data,FA,33992.34246826172,36459.182189941406,33573.602294921875,34736.72253417969,34995.642578125,426497.6689453125,497496.1767578125,424308.33056640625,482191.3525390625,437906.232421875,493761.1142578125
C24:0,-7.62600095967458,13.552381810310573,764.1183223986518,3.4167072770488844e-168,2.1046916826621128e-166,5,5,Time Period_ Older Data,Time Period_ New Data,FA,16464.14109802246,16985.46124267578,16515.06120300293,15017.701034545898,14924.441024780272,203958.99472045896,203980.3159866333,209732.3956604004,193793.35398864743,211180.456741333,175408.8727493286
C24:5,-7.616911180265788,13.970190399789178,762.9313598717544,6.189992251521639e-168,3.466395660852118e-166,5,5,Time Period_ Older Data,Time Period_ New Data,FA,21285.121643066406,22620.441864013672,21180.161560058594,21634.0615234375,21450.941497802734,279957.46337890625,290178.83984375,282014.162109375,245801.31689453125,279969.77880859375,225283.4560546875
C19:0,-7.491251350427138,16.138530527105843,746.1582304605372,2.7462712685816015e-164,1.4097525845385555e-162,5,5,Time Period_ Older Data,Time Period_ New Data,FA,107847.40795898438,109346.90881347656,115323.8074951172,111864.2081298828,82008.185302734375,1213776.84375,1286329.58984375,1193957.34765625,1149673.83984375,1298124.09375,1051877.1337890625
C24:1,-7.364341210512666,13.218535942167012,729.0475514951613,1.4431256031921093e-160,6.838195165894918e-159,5,5,Time Period_ Older Data,Time Period_ New Data,FA,14847.381103515623,15827.581085205078,14899.301010131836,15040.621109008787,14172.481079101562,158470.0103302002,162320.91107940674,160566.03108215332,153225.45236968994,164290.27043914795,149376.490234375
C22:1,-7.221595757631481,14.07776172669763,710.0162658839063,1.9843725715123525e-156,8.73123931465435e-155,5,5,Time Period_ Older Data,Time Period_ New Data,FA,30213.10223388672,29934.22198486328,26990.041778564453,29742.282104492188,28434.64196777344,259253.17919921875,299025.6416015625,286784.28173828125,291241.0002441406,270040.63720703125,306812.91943359375
C24:6,-7.171552774544525,13.748301642755788,703.315975214319,5.683632246269797e-155,2.3340783091347966e-153,5,5,Time Period_ Older Data,Time Period_ New Data,FA,25008.501586914062,26783.10189819336,23670.181671142574,26500.182037353516,22417.721557617188,227795.8779296875,253592.15673828125,240040.35791015625,216336.59399414065,226447.85546875,206195.2138671875
C20:1,-6.988514174658955,14.699427976929236,678.924437869658,1.1450474954944236e-149,4.408432857653531e-148,5,5,Time Period_ Older Data,Time Period_ New Data,FA,50567.26362609863,37218.88252258301,66577.18469238281,61702.344398498535,61857.70422363281,441928.91015625,467829.6142578125,529655.955078125,396131.97021484375,453412.7529296875,363224.00634765625
C22:4,-6.874622393658154,14.096056599466513,663.7275873984958,2.31035597303957e-146,8.371642819955147e-145,5,5,Time Period_ Older Data,Time Period_ New Data,FA,40848.32287597656,42451.36297607422,36462.06268310547,39453.18273925781,33471.282344818115,279612.8603515625,310981.48193359375,307725.20361328125,278677.72021484375,290028.00146484375,272245.138671875
PI (36:2),6.025107360501783,12.984716362530188,550.6043761457835,9.300662523744261e-122,3.1828933970147025e-120,5,5,Time Period_ Older Data,Time Period_ New Data,PI,1084970.2041015625,3922840.4086914062,5829154.800048828,237335.97369384769,1709628.7700805664,2100.2801399230957,2674.6001777648926,2975.6802291870117,2440.0801696777344,2333.4001693725586,1972.7001495361328
Lyso_PI(16:0) | PI (16:0),-5.2644191436506516,7.307915330551474,449.9413254168091,7.428220654353658e-100,2.4083073279378173e-98,5,5,Time Period_ Older Data,Time Period_ New Data,PI,973.000072479248,1027.9000816345217,963.320068359375,990.4200744628906,961.2800636291504,1883.04012298584,2961.420207977295,2538.940170288086,2983.860202789306,1874.7801322937012,3238.28023147583
