Lipid,Class,SV13_p1_G1,SV13_p2_G1,SV13_p3_G1,SV13_s1_G1,SV13_s2_G1,SV13_s3_G1,SV14_p1_G1,SV14_p2_G1,SV14_p3_G1,SV14_s1_G1,SV14_s2_G1,SV14_s3_G1,SV21_p1_G1,SV21_p2_G1,SV21_p3_G1,SV21_s1_G1,SV21_s2_G1,SV21_s3_G1,SV22_p1_G1,SV22_p2_G1,SV22_p3_G1,SV22_s1_G1,SV22_s2_G1,SV22_s3_G1,SV23_p1_G1,SV23_p2_G1,SV23_p3_G1,SV23_s1_G1,SV23_s2_G1,SV23_s3_G1,SV24_p1_G1,SV24_p2_G1,SV24_p3_G1,SV24_s1_G1,SV24_s2_G1,SV24_s3_G1,DMSO_p1_G2,DMSO_p2_G2,DMSO_p3_G2,DMSO_s1_G2,DMSO_s2_G2,DMSO_s3_G2,Title1,Title2,Title,Length1,Length2
FA(10:0),FA,83534,69821,74606,62210,76715,66932,285159,132282,90317,68764,108402,103936,46699,104363,65446,75812,42438,124887,111389,76605,54895,127281,53338,37864,41373,125493,55006,146950,93088,61360,104792,92393,168137,136545,84831,70614,56635,35226,81511,46114,77629,46231,Group 1 Title,Group 2 Title,Group 1 Title vs Group 2 Title,36,6
FA(11:0),FA,5175,5442,5503,5757,5648,6007,6421,5422,4904,6199,5871,5564,4479,5479,5568,4899,5039,6102,6651,6001,5404,5457,4905,4557,4630,6094,5904,4660,5837,6611,6402,6923,7125,6509,6435,6196,4617,4830,4908,4350,5461,6173,Group 1 Title,Group 2 Title,Group 1 Title vs Group 2 Title,36,6
FA(12:0),FA,5033,5144,5183,5258,5138,5494,4902,4639,4510,5673,5050,4752,4411,5386,5155,4542,5058,5103,5171,5189,4437,4976,4313,4435,4342,4824,5572,4485,5047,5061,5232,5391,5484,5401,5452,5827,4387,4431,4399,4338,4711,5002,Group 1 Title,Group 2 Title,Group 1 Title vs Group 2 Title,36,6
FA(12:1),FA,5559,5686,6664,6319,6745,6502,6031,5519,4878,6826,6757,5641,4416,5532,5742,5385,5250,6142,6489,6067,4954,5946,4907,4893,4921,5927,6362,4950,6817,6764,6299,7021,6910,6768,6240,6164,4680,4839,5021,5166,6243,6238,Group 1 Title,Group 2 Title,Group 1 Title vs Group 2 Title,36,6
FA(13:0),FA,5421,5170,5679,5279,5646,5580,5407,5167,4563,5580,5932,5094,4402,5249,5451,4880,5028,5218,5717,5595,4388,4738,4765,4492,5155,5033,5477,4786,5644,5596,5338,5840,6015,5773,5658,5636,4452,4740,4729,4665,5101,5234,Group 1 Title,Group 2 Title,Group 1 Title vs Group 2 Title,36,6
FA(14:0),FA,5657,6140,7190,5570,5911,6391,5866,6042,5154,5974,5697,5806,4921,6606,5583,5294,4846,6591,6776,5975,5667,5152,4846,4647,5527,6266,6160,4598,5521,5464,7009,6926,7148,5950,5817,5573,4906,5011,5685,4431,4553,4914,Group 1 Title,Group 2 Title,Group 1 Title vs Group 2 Title,36,6
FA(14:1),FA,7577,7752,6825,6889,6541,7985,6655,7483,6216,6690,6725,7063,5991,8409,7324,5723,5897,7575,7504,7701,6599,5784,4957,6093,6641,7618,6628,6225,7090,7215,8201,7662,8505,6648,7260,7240,5771,6693,6238,5726,6018,6284,Group 1 Title,Group 2 Title,Group 1 Title vs Group 2 Title,36,6
FA(15:0),FA,4731,4995,4976,5206,5404,5727,5238,4415,4354,5377,5631,4701,4517,4798,4932,4686,5012,5215,5129,5272,4760,4346,4615,4235,4324,4972,4988,4726,5233,5221,5255,5107,5358,5178,4995,5106,4139,4441,4351,4674,4699,4851,Group 1 Title,Group 2 Title,Group 1 Title vs Group 2 Title,36,6
FA(15:1),FA,4735,4758,5235,4838,4962,5462,5397,4902,4473,5071,5280,4813,4710,5384,5152,4894,4690,5335,5066,5226,4541,4469,4269,4490,4778,4936,4776,4482,5021,5445,5219,5220,5079,4991,5561,5019,4341,4513,4573,4457,4505,4925,Group 1 Title,Group 2 Title,Group 1 Title vs Group 2 Title,36,6
FA(16:0),FA,4654,10933,68047,4990,5450,5396,6023,6621,4630,5881,5323,4895,4408,5993,5441,4385,5167,7319,5231,5198,4548,4661,4554,4523,4314,4831,5176,5058,4928,6768,5522,5012,5323,5291,5076,5141,4457,4316,4645,4867,4468,5058,Group 1 Title,Group 2 Title,Group 1 Title vs Group 2 Title,36,6
