IDs,Names,Lipid,Transition,Class
LMFA07070020,"(5Z,8Z)-tetradecadienoylcarnitine",CAR(14:2),368.3 -> 85.1,CAR
LMFA07070057,cis-5-Tetradecenoylcarnitine,CAR(14:1),370.3 -> 85.1,CAR
"LMFA07070107, LMFA07070102","Tetradecanoylcarnitine, O-tetradecanoylcarnitine",CAR(14:0),372.3 -> 85.1,CAR
LMFA07070021,"(7Z,10Z)-hexadecadienoylcarnitine",CAR(16:2),396.3 -> 85.1,CAR
"LMFA07070109, LMFA07070097","trans-Hexadec-2-enoyl carnitine, O-palmitoleoylcarnitine",CAR(16:1),398.3 -> 85.1,CAR
"LMFA07070004, LMFA07070079, LMFA07070098","Palmitoylcarnitine, L-palmitoylcarnitine, O-palmitoylcarnitine",CAR(16:0),400.3 -> 85.1,CAR
LMFA07070106,Stearidonyl carnitine,CAR(18:4),420.3 -> 85.1,CAR
"LMFA07070092, LMFA07070009, LMFA07070078","O-linoleoylcarnitine, 9,12-Octadecadienoyl carnitine, Linoelaidyl carnitine",CAR(18:2),424.3 -> 85.1,CAR
"LMFA07070063, LMFA07070096","Elaidic carnitine, O-oleoylcarnitine",CAR(18:1),426.4 -> 85.1,CAR
"LMFA07070051, LMFA07070008","Acylcarnitine C18:0, Stearoylcarnitine",CAR(18:0),428.4 -> 85.1,CAR
LMFA07070088,O-arachidonoylcarnitine,CAR(20:4),448.3 -> 85.1,CAR
LMFA07070011,"(11Z,14Z)-eicosadienoylcarnitine",CAR(20:2),452.4 -> 85.1,CAR
LMFA07070010,(11Z)-eicoseneoylcarnitine,CAR(20:1),454.4 -> 85.1,CAR
LMFA07070052,Arachidyl carnitine,CAR(20:0),456.4 -> 85.1,CAR
"LMFA07070058, LMFA07070023, LMFA07070061","Clupanodonyl carnitine, (7Z,10Z,13Z,16Z,19Z)-docosapentaenoylcarnitine, Docosa-4,7,10,13,16-pentaenoyl carnitine",CAR(22:5),474.4 -> 85.1,CAR
LMFA07070022,"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",CAR(22:4),476.4 -> 85.1,CAR
LMFA07070012,"(13Z,16Z)-docosadienoylcarnitine",CAR(22:2),480.4 -> 85.1,CAR
