Class,Intensity,Lipid,Parent_Ion,Product_Ion,Sample_ID,Transition
,3655455.2760009766,,760.6,571.6,TailoredTAG18-1_O3off_Blank50ACN50IPA_v4_020723,760.6 -> 571.6
,4520303.720336914,,762.6,573.6,TailoredTAG18-1_O3off_Blank50ACN50IPA_v4_020723,762.6 -> 573.6
,3607648.714477539,,764.6,575.6,TailoredTAG18-1_O3off_Blank50ACN50IPA_v4_020723,764.6 -> 575.6
,3323873.536315918,,766.7,577.6,TailoredTAG18-1_O3off_Blank50ACN50IPA_v4_020723,766.7 -> 577.6
,2403051.0898742676,,782.6,593.6,TailoredTAG18-1_O3off_Blank50ACN50IPA_v4_020723,782.6 -> 593.6
,2308523.403198242,,784.6,595.6,TailoredTAG18-1_O3off_Blank50ACN50IPA_v4_020723,784.6 -> 595.6
,1791067.9065704346,,786.6,569.6,TailoredTAG18-1_O3off_Blank50ACN50IPA_v4_020723,786.6 -> 569.6
,3717714.2819213867,,786.6,597.6,TailoredTAG18-1_O3off_Blank50ACN50IPA_v4_020723,786.6 -> 597.6
,1645233.0569152832,,788.6,571.6,TailoredTAG18-1_O3off_Blank50ACN50IPA_v4_020723,788.6 -> 571.6
,6202497.837524414,,788.6,599.6,TailoredTAG18-1_O3off_Blank50ACN50IPA_v4_020723,788.6 -> 599.6
,2538862.139984131,,790.6,601.6,TailoredTAG18-1_O3off_Blank50ACN50IPA_v4_020723,790.6 -> 601.6
,2487722.655029297,,790.7,573.6,TailoredTAG18-1_O3off_Blank50ACN50IPA_v4_020723,790.7 -> 573.6
,3303370.755004883,,792.6,603.6,TailoredTAG18-1_O3off_Blank50ACN50IPA_v4_020723,792.6 -> 603.6
,1796284.6079406738,,792.7,575.6,TailoredTAG18-1_O3off_Blank50ACN50IPA_v4_020723,792.7 -> 575.6
,4335266.748840332,,794.6,605.6,TailoredTAG18-1_O3off_Blank50ACN50IPA_v4_020723,794.6 -> 605.6
,2551020.779602051,,794.7,577.6,TailoredTAG18-1_O3off_Blank50ACN50IPA_v4_020723,794.7 -> 577.6
,2717127.4739379883,,796.7,579.6,TailoredTAG18-1_O3off_Blank50ACN50IPA_v4_020723,796.7 -> 579.6
,1481975.9854736328,,812.7,595.6,TailoredTAG18-1_O3off_Blank50ACN50IPA_v4_020723,812.7 -> 595.6
,1958262.4766693115,,814.7,597.6,TailoredTAG18-1_O3off_Blank50ACN50IPA_v4_020723,814.7 -> 597.6
,2701230.8092041016,,816.7,599.6,TailoredTAG18-1_O3off_Blank50ACN50IPA_v4_020723,816.7 -> 599.6
,1525692.9884719849,,818.7,601.6,TailoredTAG18-1_O3off_Blank50ACN50IPA_v4_020723,818.7 -> 601.6
,2732379.6338500977,,820.7,603.6,TailoredTAG18-1_O3off_Blank50ACN50IPA_v4_020723,820.7 -> 603.6
,2443777.4135894775,,822.7,605.6,TailoredTAG18-1_O3off_Blank50ACN50IPA_v4_020723,822.7 -> 605.6
TAG,2284159.9799804688,[TG(52:6)]_FA18:1,868.7,569.6,TailoredTAG18-1_O3off_Blank50ACN50IPA_v4_020723,868.7 -> 569.6
TAG,2221218.6952209473,[TG(52:6)]_FA18:1,868.7,569.6,TailoredTAG18-1_O3off_Blank50ACN50IPA_v4_020723,868.7 -> 569.6
TAG,3482053.646331787,[TG(52:5)]_FA18:1,870.8,571.6,TailoredTAG18-1_O3off_Blank50ACN50IPA_v4_020723,870.8 -> 571.6
TAG,3416309.7225646973,[TG(52:4)]_FA18:1,872.8,573.6,TailoredTAG18-1_O3off_Blank50ACN50IPA_v4_020723,872.8 -> 573.6
