,Q1,Q3,Intensity,Transition,Lipid,Class
0,818.8,517.8,5381.340366363525,818.8 -> 517.8,TAG(48:3)_FA 18:0,
1,818.8,519.8,6589.040451049805,818.8 -> 519.8,TAG(48:3)_FA 18:1,
2,818.8,545.8,6784.720489501953,818.8 -> 545.8,TAG(48:3)_FA 16:0,
3,818.8,547.8,12441.22089767456,818.8 -> 547.8,TAG(48:3)_FA 16:1,
4,820.8,519.8,6923.880554199219,820.8 -> 519.8,TAG(48:2)_F A18:0,
5,820.8,521.8,10135.7607421875,820.8 -> 521.8,TAG(48:2)_FA 18:1,
6,820.8,547.8,12971.920761108398,820.8 -> 547.8,TAG(48:2)_FA 16:0,
7,820.8,549.8,27865.681869506836,820.8 -> 549.8,TAG(48:2)_FA 16:1,
8,822.8,521.8,9404.540657043457,822.8 -> 521.8,TAG(48:1)_FA18:0,
9,822.8,523.8,26688.221954345703,822.8 -> 523.8,TAG(48:1)_FA 18:1,
10,822.8,549.8,29862.922760009766,822.8 -> 549.8,TAG(48:1)_FA 16:0,
11,822.8,551.8,98744.94775390625,822.8 -> 551.8,TAG(48:1)_FA 16:1,
12,824.8,523.8,25693.56182861328,824.8 -> 523.8,TAG(48:0)_FA 18:0,
13,824.8,525.8,6267.4804611206055,824.8 -> 525.8,TAG(48:0)_FA 18:1,
14,824.8,551.8,103135.2470703125,824.8 -> 551.8,TAG(48:0)_FA 16:0,
15,824.8,553.8,14860.081130981445,824.8 -> 553.8,TAG(48:0)_FA 16:1,
16,829.8,570.8,8240.480529785156,829.8 -> 570.8,STD_15:0-18:1(d7)-15:0 TAG,
17,846.8,545.8,5965.620475769043,846.8 -> 545.8,TAG(50:4)_FA 18:0,
18,846.8,547.8,9465.620601654053,846.8 -> 547.8,TAG(50:4)_FA 18:1,
19,846.8,573.8,8462.100574493408,846.8 -> 573.8,TAG(50:4)_FA 16:0,
20,846.8,575.8,19419.481311798096,846.8 -> 575.8,TAG(50:4)_FA 16:1,
21,848.8,547.8,7698.620620727539,848.8 -> 547.8,TAG(50:3)_FA 18:0,
22,848.8,549.8,20870.28141784668,848.8 -> 549.8,TAG(50:3)_FA 18:1,
23,848.8,575.8,22339.001487731934,848.8 -> 575.8,TAG(50:3)_FA 16:0,
24,848.8,577.8,70601.60420227051,848.8 -> 577.8,TAG(50:3)_FA 16:1,
25,850.8,549.8,17839.161499023438,850.8 -> 549.8,TAG(50:2)_FA 18:0,
26,850.8,551.8,77042.28594970703,850.8 -> 551.8,TAG(50:2)_FA 18:1,
27,850.8,577.8,72992.8844909668,850.8 -> 577.8,TAG(50:2)_FA 16:0,
28,850.8,579.8,53829.683654785156,850.8 -> 579.8,TAG(50:2)_FA 16:1,
29,852.8,551.8,44046.642974853516,852.8 -> 551.8,TAG(50:1)_FA 18:0,
30,852.8,553.8,11890.82088470459,852.8 -> 553.8,TAG(50:1)_FA 18:1,
31,852.8,579.8,52220.54348754883,852.8 -> 579.8,TAG(50:0)_FA 16:0,
32,852.8,581.8,11109.580741882324,852.8 -> 581.8,TAG(50:0)_FA 16:1,
33,868.7,567.7,7394.940483093262,868.7 -> 567.7,TAG(52:6)_FA 18:0,
34,868.7,569.7,9771.000717163086,868.7 -> 569.7,TAG(52:6)_FA 18:1,
35,868.7,595.7,9047.280708312988,868.7 -> 595.7,TAG(52:6)_FA 16:0,
36,868.7,597.7,8752.080699920654,868.7 -> 597.7,TAG(52:6)_FA 16:1,
37,870.8,569.8,8388.260662078857,870.8 -> 569.8,TAG(52:5)_FA 18:0,
38,870.8,571.8,5766.460418701172,870.8 -> 571.8,TAG(52:5)_FA 18:1,
39,870.8,597.8,7682.22057723999,870.8 -> 597.8,TAG(52:5)_FA 16:0,
40,870.8,599.8,30579.062202453613,870.8 -> 599.8,TAG(52:5)_FA 16:1,
41,872.8,571.8,5864.380439758301,872.8 -> 571.8,TAG(52:4)_FA 18:0,
42,872.8,573.8,7420.080570220947,872.8 -> 573.8,TAG(52:4)_FA 18:1,
43,872.8,599.8,31996.002738952637,872.8 -> 599.8,TAG(52:4)_FA 16:0,
44,872.8,601.8,19854.061195373535,872.8 -> 601.8,TAG(52:4)_FA 16:1,
45,874.8,573.8,7221.62043762207,874.8 -> 573.8, TAG(52:3)_FA 18:0,
46,874.8,575.8,21232.861167907715,874.8 -> 575.8, TAG(52:3)_FA 18:1,
47,874.8,601.8,18141.78129196167,874.8 -> 601.8,TAG(52:3)_FA 16:0,
48,874.8,603.8,54858.56328582764,874.8 -> 603.8,TAG(52:3)_FA 16:1,
49,876.8,575.8,18063.721282958984,876.8 -> 575.8,TAG(52:2)_FA 18:0,
50,876.8,577.8,70136.9652709961,876.8 -> 577.8,TAG(52:2)_FA 18:1,
51,876.8,603.8,55359.6838684082,876.8 -> 603.8,TAG(52:2)_FA 16:0,
52,876.8,605.8,49043.72360229492,876.8 -> 605.8,TAG(52:2)_FA 16:1,
53,878.8,577.8,51148.704162597656,878.8 -> 577.8,TAG(52:1)_FA 18:0,
54,878.8,579.8,67498.80487060547,878.8 -> 579.8,TAG(52:1)_FA 18:1,
55,878.8,605.8,46446.72344970703,878.8 -> 605.8,TAG(52:1)_FA 16:0,
56,878.8,607.8,24272.521774291992,878.8 -> 607.8,TAG(52:1)_FA 16:1,
57,880.8,579.8,39827.12292480469,880.8 -> 579.8,TAG(52:0)_FA 18:0,
58,880.8,581.8,12407.640953063965,880.8 -> 581.8,TAG(52:0)_FA 18:1,
59,880.8,607.8,24059.08169555664,880.8 -> 607.8,TAG(52:0)_FA 16:0,
60,880.8,609.8,12092.040939331055,880.8 -> 609.8,TAG(52:0)_FA 16:1,
61,892.7,591.7,11272.86068725586,892.7 -> 591.7,TAG(54:8)_FA 18:0,
62,892.7,593.7,15592.241088867188,892.7 -> 593.7,TAG(54:8)_FA 18:1,
63,892.7,619.7,10913.120780944824,892.7 -> 619.7,TAG(54:8)_FA 16:0,
64,892.7,621.7,13168.860916137695,892.7 -> 621.7,TAG(54:8)_FA 16:1,
65,894.8,593.8,12140.440910339355,894.8 -> 593.8,TAG(54:7)_FA 18:0,
66,894.8,595.8,7959.400543212891,894.8 -> 595.8,TAG(54:7)_FA 18:1,
67,894.8,621.8,10965.02082824707,894.8 -> 621.8,TAG(54:7)_FA 16:0,
68,894.8,623.8,13627.000942230225,894.8 -> 623.8,TAG(54:7)_FA 16:1,
69,896.8,595.8,6963.7604904174805,896.8 -> 595.8,TAG(54:6)_FA 18:0,
70,896.8,597.8,7147.440578460693,896.8 -> 597.8,TAG(54:6)_FA 18:1,
71,896.8,623.8,11455.020729064941,896.8 -> 623.8,TAG(54:6)_FA 16:0,
