,Q1,Q3,Intensity,Transition,Lipid,Class
0,818.8,517.8,4669.720294952393,818.8 -> 517.8,TAG(48:3)_FA 18:0,
1,818.8,519.8,5513.480365753174,818.8 -> 519.8,TAG(48:3)_FA 18:1,
2,818.8,545.8,4908.000373840332,818.8 -> 545.8,TAG(48:3)_FA 16:0,
3,818.8,547.8,7961.380481719971,818.8 -> 547.8,TAG(48:3)_FA 16:1,
4,820.8,519.8,5340.400367736816,820.8 -> 519.8,TAG(48:2)_F A18:0,
5,820.8,521.8,8930.2406539917,820.8 -> 521.8,TAG(48:2)_FA 18:1,
6,820.8,547.8,9511.84070968628,820.8 -> 547.8,TAG(48:2)_FA 16:0,
7,820.8,549.8,13259.740982055664,820.8 -> 549.8,TAG(48:2)_FA 16:1,
8,822.8,521.8,8083.400604248047,822.8 -> 521.8,TAG(48:1)_FA18:0,
9,822.8,523.8,21086.621368408203,822.8 -> 523.8,TAG(48:1)_FA 18:1,
10,822.8,549.8,13534.440887451172,822.8 -> 549.8,TAG(48:1)_FA 16:0,
11,822.8,551.8,79316.74597167969,822.8 -> 551.8,TAG(48:1)_FA 16:1,
12,824.8,523.8,18138.14144897461,824.8 -> 523.8,TAG(48:0)_FA 18:0,
13,824.8,525.8,6584.900531768799,824.8 -> 525.8,TAG(48:0)_FA 18:1,
14,824.8,551.8,74948.125,824.8 -> 551.8,TAG(48:0)_FA 16:0,
15,824.8,553.8,12534.040832519531,824.8 -> 553.8,TAG(48:0)_FA 16:1,
16,829.8,570.8,5253.700386047363,829.8 -> 570.8,STD_15:0-18:1(d7)-15:0 TAG,
17,846.8,545.8,5686.720436096191,846.8 -> 545.8,TAG(50:4)_FA 18:0,
18,846.8,547.8,8564.120567321777,846.8 -> 547.8,TAG(50:4)_FA 18:1,
19,846.8,573.8,7807.700607299805,846.8 -> 573.8,TAG(50:4)_FA 16:0,
20,846.8,575.8,11526.300811767578,846.8 -> 575.8,TAG(50:4)_FA 16:1,
21,848.8,547.8,8178.480545043945,848.8 -> 547.8,TAG(50:3)_FA 18:0,
22,848.8,549.8,10949.060707092285,848.8 -> 549.8,TAG(50:3)_FA 18:1,
23,848.8,575.8,10194.420761108398,848.8 -> 575.8,TAG(50:3)_FA 16:0,
24,848.8,577.8,172845.05158996582,848.8 -> 577.8,TAG(50:3)_FA 16:1,
25,850.8,549.8,11138.800834655762,850.8 -> 549.8,TAG(50:2)_FA 18:0,
26,850.8,551.8,52188.14343261719,850.8 -> 551.8,TAG(50:2)_FA 18:1,
27,850.8,577.8,182729.29745483398,850.8 -> 577.8,TAG(50:2)_FA 16:0,
28,850.8,579.8,91099.06536865234,850.8 -> 579.8,TAG(50:2)_FA 16:1,
29,852.8,551.8,31860.342041015625,852.8 -> 551.8,TAG(50:1)_FA 18:0,
30,852.8,553.8,10301.320724487305,852.8 -> 553.8,TAG(50:1)_FA 18:1,
31,852.8,579.8,93373.90631103516,852.8 -> 579.8,TAG(50:0)_FA 16:0,
32,852.8,581.8,18461.901573181152,852.8 -> 581.8,TAG(50:0)_FA 16:1,
33,868.7,567.7,7523.140567779541,868.7 -> 567.7,TAG(52:6)_FA 18:0,
34,868.7,569.7,6621.880447387695,868.7 -> 569.7,TAG(52:6)_FA 18:1,
35,868.7,595.7,8920.380645751953,868.7 -> 595.7,TAG(52:6)_FA 16:0,
36,868.7,597.7,7938.5605545043945,868.7 -> 597.7,TAG(52:6)_FA 16:1,
37,870.8,569.8,5044.100345611572,870.8 -> 569.8,TAG(52:5)_FA 18:0,
