,Lipid,Sample_ID,db_pos,LipidParent_Ion,Product_Ion,Retention_Time,OzESI_Intensity,Transition,Cluster_Label,Area,Area_RT,Group,Parent_Ion,Purity
0,[TG(52:4)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-7,,573.6,14.31,615.0,790.7 -> 573.6,0,9641.7607421875,0.0978500000000011,9.0,790.7,Crude
1,[TG(52:4)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-9,,573.6,14.3,1875.0,762.6 -> 573.6,0,65134.965087890625,0.19569999999999865,1.0,762.6,Crude
2,[TG(52:4)]_FA18:1,DegummedCanola_O3on_150gN3_02082023,n-7,,573.6,14.2,640.0,790.7 -> 573.6,0,23367.281494140625,0.14676666666666627,9.0,790.7,Degummed
3,[TG(52:4)]_FA18:1,DegummedCanola_O3on_150gN3_02082023,n-9,,573.6,14.19,1897.0,762.6 -> 573.6,0,62332.08435058594,0.22831666666666628,1.0,762.6,Degummed
4,[TG(52:4)]_FA18:1,RBDCanola_O3on_150gN3_02082023,n-9,,573.6,14.35,1317.0,762.6 -> 573.6,0,52319.683349609375,0.2446166666666656,1.0,762.6,RBD
5,[TG(52:5)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-9,,571.6,12.41,579.0,760.6 -> 571.6,-1,6881.200439453125,0.032616666666667626,0.0,760.6,Crude
6,"[TG(53:10),TG(52:3)]_FA18:1",CrudeCanola_O3on_150gN3_02082023,n-7,,575.6,16.04,1083.0,792.7 -> 575.6,0,56164.72399902344,0.293549999999998,11.0,792.7,Crude
7,"[TG(53:10),TG(52:3)]_FA18:1",CrudeCanola_O3on_150gN3_02082023,n-9,,575.6,16.09,3420.0,764.6 -> 575.6,0,1707160.763305664,9.947866666666668,2.0,764.6,Crude
8,"[TG(53:10),TG(52:3)]_FA18:1",DegummedCanola_O3on_150gN3_02082023,n-7,,575.6,15.98,955.0,792.7 -> 575.6,0,27993.601806640625,0.358766666666666,11.0,792.7,Degummed
9,"[TG(53:10),TG(52:3)]_FA18:1",DegummedCanola_O3on_150gN3_02082023,n-9,,575.6,16.01,2387.0,764.6 -> 575.6,0,1637117.8742675781,9.866300000000003,2.0,764.6,Degummed
10,"[TG(53:10),TG(52:3)]_FA18:1",RBDCanola_O3on_150gN3_02082023,n-7,,575.6,16.07,1009.0,792.7 -> 575.6,0,44037.283447265625,0.30985000000000085,11.0,792.7,RBD
11,"[TG(53:10),TG(52:3)]_FA18:1",RBDCanola_O3on_150gN3_02082023,n-9,,575.6,16.16,3097.0,764.6 -> 575.6,0,1645568.3562011719,9.915233333333335,2.0,764.6,RBD
12,"[TG(53:9),TG(52:2)]_FA18:1",CrudeCanola_O3on_150gN3_02082023,n-7,,577.6,18.05,3815.0,794.7 -> 577.6,5,795529.4165039062,5.64255,13.0,794.7,Crude
13,"[TG(53:9),TG(52:2)]_FA18:1",CrudeCanola_O3on_150gN3_02082023,n-9,,577.6,18.05,16153.0,766.7 -> 577.6,1,467063.0,0.22829999999999728,3.0,766.7,Crude
